"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
6.74,120.16,87.32,113.3,4.39,24.46,0,1.77,92.08,44.06,233.5,24.85,65.13,28.94,7.17,11.46,0,4.77,10.02,143.74,38.48,86.59,194.96
6.85,119.41,86.16,112.79,4.4,24.33,0,1.84,92.47,45.69,236.89,25.51,66.66,28.9,7.05,11.47,0,4.87,10.34,144.44,38.73,88.53,199.57
6.88,122.01,87.5,114.47,4.48,24.6,0,1.77,93.24,46.27,248.61,26.21,68.79,28.64,6.93,11.51,0,5.05,10.35,143.85,39.2,90.21,198.52
6.75,121.78,87.31,113.95,4.49,24.4,0,1.76,93.01,45.38,243.3,26.4,67.7,29.2,6.92,11.47,0,5.06,10.24,138.75,39.01,89.33,199.48
6.8,120.28,87.48,113.6,4.43,24.52,0,1.75,91.85,45.62,238.63,26.1,67.75,28.96,6.97,11.44,0,5.02,10.2,139.95,39.2,88.41,175.2
6.85,121.72,89.1,115.25,4.49,24.71,0,1.72,92.01,45.78,236.71,25.81,67.7,28.43,6.91,11.48,0,4.92,10.37,140.27,38.94,90.35,175.57
6.88,119.76,88.09,114.32,4.52,24.3,0,1.71,92.16,45.35,237.57,26.17,69.05,28.34,6.67,11.41,0,4.92,10.69,140.49,39,91.82,179.98
6.85,121.49,89.98,116.59,4.58,24.6,0,1.77,93.4,45.89,237.27,26.44,68.05,28.24,6.77,11.36,0,4.81,10.74,142.04,39.16,92.44,184.08
6.8,121.78,89.37,118.09,4.81,24.8,0,1.76,94.56,46.4,233.57,26.5,66.94,28.77,6.9,11.31,0,4.76,10.57,141.86,38.94,92.44,185.6
6.77,121.14,89.5,118.43,4.91,24.89,0,1.71,94.87,46.51,242.24,26.57,65.82,29.05,7.05,11.19,0,4.82,10.53,144.11,38.31,92.8,181.71
6.79,120.16,88.89,117.74,4.98,25.02,0,1.69,91.7,46.66,237.5,26.32,65.48,28.71,7.25,11.45,0,4.82,10.51,144.57,38.14,93.17,185.24
6.91,120.22,88.82,117.34,5.03,24.69,0,1.72,91.93,46.68,239.08,26.56,66.97,29.14,7.19,11.45,0,4.94,10.63,146.89,39.14,94.4,191.3
6.67,123.57,91.06,117.57,5.01,24.54,0,1.77,91.62,46.63,235.37,27.17,66.65,29.71,7.4,11.56,0,4.86,10.89,147.05,39.08,93.47,190.29
6.73,123.97,90.41,117.22,5.02,24.52,0,1.78,92.01,46.29,241.65,27.49,68.42,30.07,7.45,11.56,0,4.95,10.88,147.18,39.09,93.51,188.26
6.69,125.35,89.86,116.93,5.02,24.64,0,1.74,92.39,46.99,244.37,27.57,68.19,29.9,7.45,11.99,0,4.93,10.6,149.41,38.98,94.86,187.78
