"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.28,85.06,10.81,126.22,6.67,3.64,2.32,126.81,261.09,72.29,214.16,291.07,57.91,55.87,57.24,109.83,11.04,171.88,61.28,6.29,174.63,142.98
1.31,88.06,11.03,130.31,6.9,3.73,2.35,127.74,261.77,73.24,218.57,293.82,61.7,57.28,58.45,109.42,10.49,172.53,59.33,6.31,178.47,144.64
1.3,89.12,10.98,130.14,6.9,3.72,2.44,129.03,273.15,75.25,223.99,299.43,61.4,58.02,59.81,110.92,10.58,178.4,56.24,6.32,172.99,144.52
1.32,91.89,11.1,131.75,7.04,3.7,2.53,128.6,274.01,75.16,220.48,299.34,61.18,55.24,59.91,110.5,10.38,176.98,56.15,6.32,172.56,145.5
1.34,89.07,11,130.02,6.82,3.66,2.54,127.97,279.53,75.06,226.31,303.23,60.4,56,60.17,109.98,10.05,177.98,56.25,6.32,172.63,147.21
1.32,87.23,11.12,132.16,6.83,3.68,2.51,128.06,282.9,75.48,228,306.67,60.02,57.52,60.66,110.85,10.51,182.25,58.36,6.32,175.49,148.49
1.33,87.3,11.24,131.87,7.01,3.73,2.57,129.98,285.89,77.02,234.07,309.64,50.69,60.63,46.25,114.33,10.61,184.96,57.83,6.32,182.27,150.17
1.32,90.25,11.2,131.64,7.01,3.7,2.54,131.99,284.11,77.46,220.03,308.5,50.64,61.04,46.44,112.1,10.44,184.63,58.2,6.31,182.17,150.56
1.32,90.64,10.22,130.89,6.95,3.62,2.58,131.79,285.75,77.09,223.73,313.12,52.24,60.4,47.24,110.73,10.38,184.48,58.1,6.29,181.62,150.29
1.35,86.28,10.39,130.95,6.96,3.65,2.54,129.98,277.6,75.7,214,305.05,49.98,58.58,44.22,107.32,10.42,180.97,58.07,6.28,180.46,148.16
1.35,89.1,10.45,132.27,7.11,3.65,2.56,128.14,273.67,76.15,213.18,305.78,50.29,59.17,42.32,108.04,10.45,180.07,57.57,6.26,180.58,147.66
1.36,90.53,10.25,129.85,7.06,3.59,2.57,124.87,270.72,76.02,213.46,303.38,49.58,56.54,43.85,107.74,10.55,179.75,57.02,6.25,176.57,147.54
1.35,89.95,9.93,128.64,7,3.6,2.59,123.81,272.34,76.52,215.11,305.48,49.53,56.87,43.46,110.19,10.73,182.3,56.94,6.23,180.66,147.81
1.36,87.44,9.76,128.7,6.93,3.57,2.53,125.76,272.66,76.71,216.42,301.17,49.94,57.17,44.9,108.87,10.41,183.15,56.19,6.22,180.42,148.56
1.36,87.07,9.6,126.91,6.82,3.54,2.5,125.85,269.26,75.41,211.83,294.48,46.99,55.45,43.28,106.42,10.14,179.34,55.97,6.21,175.99,147.46
1.36,86.01,9.48,125.3,6.69,3.49,2.42,125.16,266.74,74.31,209.74,293.86,45.17,54.92,41.78,105.62,10.13,175.92,55.89,6.21,174.38,144.01
1.36,88.93,9.51,127.08,6.78,3.62,2.47,127.57,267.73,74.15,210.42,294.33,46.66,55.1,43.19,107.17,10.31,176.76,55.99,6.21,176.75,144.11
1.36,90.23,9.52,125.7,6.66,3.55,2.44,127.8,267.23,75.07,210.12,295.03,46.99,54.71,43.47,107.52,10.26,177.4,55.95,6.23,175.44,143.92
1.36,90.8,9.66,124.66,6.65,3.61,2.44,128.75,266.59,76.09,211.54,295.53,46.6,55,42.86,107.6,10.17,178.27,55.87,6.25,174.9,143.3
1.36,96.52,9.87,125.64,6.73,3.73,2.45,131.5,265.96,75.48,212.88,295.12,46.86,56.21,42.74,107.85,10.19,179.68,55.68,6.27,177.14,143.21
1.32,91.36,9.94,124.72,6.61,3.72,2.47,130.99,260.29,72.36,204.04,295.27,46.52,55.42,43.29,105.62,9.89,178.65,55,6.29,170.53,142.93
1.32,91.73,9.84,123.97,6.43,3.7,2.52,132.19,263.15,72.36,213.93,299.95,45.37,57.35,44.96,108.61,9.79,182.03,54.99,6.32,170.91,144.32
1.32,94.45,9.97,123.68,6.44,3.77,2.53,130.67,260.7,71.46,214.85,302.45,44.03,56.19,45.02,108.47,9.37,182.17,53.03,6.34,168.3,145.76
1.32,93.78,10.04,124.78,6.45,3.77,2.48,133.8,259.57,71.88,215.37,300.28,43.47,56.3,45.22,110.4,9.35,184.86,53.61,6.35,164.96,146.75
1.35,100.35,10.3,126.33,6.58,3.92,2.45,134.55,261.48,72.91,213.86,296.79,45.15,56.92,45.15,110.75,9.39,181.54,54,6.36,164.32,149
1.36,93.94,10.09,122.93,6.22,3.81,2.43,133.54,249.83,71.33,203.62,286.77,43.64,53.88,43.02,107.7,9.09,173.21,51.84,6.37,157.05,142.69
1.38,95.65,9.98,122.18,6.04,3.69,2.46,134.26,251.18,71.35,201.8,285.53,43.89,52.99,42.63,105.95,8.77,171.51,51.99,6.37,156.87,141.12
1.33,89.6,9.54,119.7,5.85,3.53,2.46,130.27,256.93,71.66,202.61,286.38,44.5,53.51,42.81,104.97,9.36,170.97,53.09,6.37,159.02,141.54
1.34,88.66,9.58,120.05,5.91,3.5,2.47,130.61,257.48,70.45,198.49,285.32,43.51,53.6,41.84,103.55,10.81,167.37,52.78,6.37,157.15,138.65
1.36,86.93,9.29,117.74,5.96,3.37,2.42,131.07,270.69,70.41,199.56,298.35,44.3,54.89,41.55,103.12,10.39,172.22,52.63,6.36,159.24,137.94
1.34,85.84,9.47,120.62,5.97,3.47,2.39,134.63,268,70.16,200.55,292.23,44.18,54.45,41.12,102.4,10.18,172.27,53.01,6.35,159.02,136.79
1.33,91.38,9.52,123.74,6.02,3.63,2.31,135.38,270.2,70.58,202.64,292.59,45.59,55.38,42.05,105.63,10.01,171.22,53.69,6.33,163.02,138.31
1.34,91.33,9.43,121.84,6.02,3.64,2.31,134.95,267.9,70.34,199.69,292.16,45.12,55.19,42.17,104.2,9.8,171.01,52.68,6.32,161.19,138.78
1.35,89.67,9.41,119.82,5.99,3.59,2.22,132.82,262.87,70.06,198.27,287.7,44.64,55.23,41.82,103.34,9.78,169,53.1,6.3,159.23,136.47
1.36,87.85,9.25,118.55,5.97,3.59,2.17,133.31,257.2,68.01,197.42,279.18,43.8,53.3,41.14,101.51,9.72,163.45,53.05,6.29,152.94,134.43
1.4,89.95,9.39,119.07,6.01,3.6,2.18,133.2,256.87,68.29,197.18,279.48,44.45,53.76,40.74,103.85,9.74,162.82,53.29,6.28,152.13,135.15
1.4,89.65,9.52,118.55,5.98,3.65,2.23,134.98,253.26,67.11,188.71,273.88,44.81,52.82,40.1,101.51,9.75,158.94,52.55,6.28,151.56,133.2
1.4,87.11,9.22,117.57,5.98,3.57,2.19,130.64,243.58,64.63,185.22,265.24,41.36,51.95,38.75,100.03,9.68,154.56,52.44,6.28,147.56,130.63
1.39,88.64,8.92,116.42,5.97,3.6,2.26,126.22,235.46,62.56,179.56,256.47,41.81,49.64,37.19,99.27,9.6,150.56,51.04,6.28,141.84,129.45
1.39,89.61,8.74,114.33,5.93,3.56,2.27,122.17,226.43,60.2,176.93,245.27,39.74,48.91,36.76,97.12,9.43,148.28,50.55,6.29,139.26,124.92
1.39,89.17,8.67,113.08,5.89,3.54,2.23,124.93,226.15,60.89,179.18,244.22,39.85,49.45,37.17,97.25,9.47,149.15,51.44,6.3,141,125.56
1.39,88.33,8.67,113.13,5.9,3.56,2.24,123.52,232.66,62.5,183.82,251.59,41.76,50.7,37.55,99.44,9.59,152.16,52.28,6.31,143.24,129.52
1.39,88.06,8.74,114.4,5.98,3.59,2.24,122.49,239.56,62.34,187.54,259.75,42.96,51.97,37.23,101.39,9.61,155.04,52.17,6.33,143.13,131.6
1.4,89.33,8.85,116.24,6.07,3.63,2.22,123.46,242.21,62.11,188.16,261.19,42.99,51.97,36.93,100.71,9.68,155.27,52.58,6.35,143.94,130.73
1.42,92.28,8.97,117.05,6.03,3.68,2.24,123.12,244.87,62.79,190.35,261.86,43.75,52.29,38.21,102.12,9.87,157.19,53.15,6.38,144,132.09
1.41,94.4,9.01,118.14,6.06,3.69,2.24,123.52,248.25,64.35,193.33,265.45,45.23,52.25,39.17,104.11,9.99,158.92,54,6.41,143.47,133.09
1.39,92.53,8.86,117.17,6.1,3.6,2.18,122.63,246.3,63.87,192.55,264.58,45.12,51.57,38.89,103.02,10.01,157.19,53.96,6.45,141.91,131.8
1.39,88.17,8.66,114.42,6.11,3.5,2.1,124.47,239.8,60.99,188.86,257.95,43.28,51.05,38.09,99.45,9.96,153.28,52.58,6.49,140.8,129.97
1.39,92.99,9.01,117.63,6.21,3.67,2.13,127.37,247.75,63.1,195.47,265,46,52.5,39.59,102.89,9.96,157.72,52.83,6.55,144.6,134.52
1.39,94.91,9.01,115.32,6.12,3.6,2.13,129.81,249.8,63.07,195.91,268.22,48.12,52.71,39.79,102.52,10.1,158.61,53.87,6.61,143.11,135.35
1.4,95.23,9.14,116.82,6.24,3.78,2.13,129.89,250.87,64.22,194.67,269.88,49.41,54.1,40.32,104.75,10.35,158.61,54.58,6.68,147.11,135.04
1.39,96.66,9.28,119.13,6.39,3.84,2.13,132.05,252.15,64.46,192.25,270.55,50.22,54.25,40.64,105.35,10.32,160.87,54.7,6.75,148.46,135.7
1.39,95.99,9.18,119.07,6.45,3.82,2.19,130.3,257.54,65.09,192.53,277.4,49.68,53.84,40.63,107.47,10.28,162.33,54.83,6.82,148.58,137.71
1.39,94.75,9.17,118.2,6.51,3.87,2.16,128.72,255.99,64.85,194.49,277.69,49.43,54.3,40.63,107.39,10.42,163.76,55.58,6.88,149.51,137.33
1.42,96.13,8.95,116.53,6.52,3.84,2.15,126.59,259.93,65.36,195.98,277.51,49.78,53.34,40.55,106.37,10.34,164.48,55.72,6.93,147.74,137.58
1.44,95.81,8.61,116.13,6.64,3.93,2.17,129.12,258.89,65.51,197.5,276,49.3,53.9,41.07,107.98,10.22,163.13,55.34,6.97,149.11,137.72
1.45,96.13,8.79,114.28,6.64,3.94,2.21,131.5,255.67,65.38,195.58,272.28,49.59,54.09,41.98,108.86,10.3,163.58,55.81,6.98,150.23,138.02
1.48,95.35,8.75,113.73,6.53,3.84,2.19,128.43,264,66.51,197.13,278.7,50.22,55.4,43.03,110.92,10.24,165.72,56.34,6.98,153.54,139.89
1.51,97.15,9.09,115.11,6.7,3.97,2.25,130.41,267.78,67.18,200.33,282.9,50.15,55.8,44.2,112.01,10.24,168.58,55.97,6.96,154.93,141.74
1.49,97.84,9.32,116.42,6.76,4,2.25,129.46,265.09,65.58,199.15,281.02,49.55,55.46,44.27,110.27,10.2,168.22,55.36,6.93,154.59,140.9
1.52,97.4,9.2,116.36,6.72,3.96,2.26,130.44,264.61,65.61,196.49,279.75,48.69,54.86,43.58,108.69,10.07,167.23,55.24,6.91,154.2,139.82
1.52,99.15,9.2,113.15,6.68,3.88,2.3,130.81,270.16,69.03,196.61,283.56,48.03,54.55,43.2,109.69,9.79,168.77,55.37,6.88,154.84,140.76
1.52,103.74,9.43,110.66,6.74,3.88,2.33,129.78,269.78,68.18,199.13,285.28,48.41,55.27,44.24,110.46,9.35,170.75,53.95,6.87,156.02,141.17
1.52,103.58,9.52,110.71,6.71,3.86,2.34,129.29,272.8,68.28,202.12,286.98,49.06,55.04,45.07,112.06,9.28,171.19,54.19,6.86,157.45,141.67
1.49,104.25,9.56,111.17,6.62,3.81,2.33,129,274.3,67.86,204.58,287.72,49.12,54.14,45.17,112.28,9.22,172.16,54.12,6.87,156.03,140.44
1.46,104.78,9.59,110.57,6.73,3.87,2.37,129,280.13,69.49,206.45,292.05,49.02,54.57,45.59,112.81,9.09,176,53.37,6.88,157.7,141.74
1.47,105.24,9.62,112.76,6.75,3.94,2.45,128.54,280.76,70.26,208.75,291.6,49.74,55.11,45.94,113.68,9.21,170.89,53.36,6.91,158.77,143.25
1.45,104.25,9.74,111.47,6.72,3.93,2.39,129,275.63,69.65,206.38,289.64,50.98,56.37,46.4,113.53,9.26,171.1,54.48,6.93,167.18,143.66
1.46,104.62,9.82,113.91,6.78,4,2.31,129.64,272.88,70.15,206.33,290.46,50.64,56.84,46.8,112.95,9.26,168.98,53.97,6.96,168.41,144.47
1.54,104.04,9.98,114.56,6.74,3.99,2.26,127.83,278.73,70.28,211.33,298.77,52.91,58.47,48.05,114.17,9.29,174.55,54.96,6.99,172.42,147.9
1.56,104.64,10.08,117.63,6.85,4.06,2.22,129.23,278.29,71.2,211.76,299.3,52.49,59.16,48.39,116.17,9.92,172.2,57.09,7.02,175.23,148.65
1.54,106.09,10.18,117.86,6.86,4.04,2.21,130.3,280.43,71.58,211.09,299.83,52.12,58.61,48.51,116.13,9.62,172.73,57.14,7.04,175.51,148.88
1.54,104.2,9.83,114.9,6.81,4.01,2.21,131.3,278.55,71.24,210.18,300.13,51.95,58.18,48.58,115.71,9.44,173.6,56.26,7.06,175.58,148.12
1.59,104.11,9.86,115.49,6.83,4,2.21,131.04,280.55,72.25,209.21,301.49,51.43,57.98,48.41,116.49,9.26,172.05,55.96,7.08,175.5,148.63
1.59,103.21,9.99,115.84,6.84,4.06,2.27,132.36,281.3,72.36,210.47,300.08,53.12,57.25,48.61,115.72,9.3,170.91,56.34,7.08,174.05,148.46
1.62,104.92,10.1,115.61,6.76,4.06,2.2,132.57,284.01,73.11,214.27,304.06,53.26,57.38,49.13,117.48,9.45,172.72,57.22,7.08,174.03,150.35
1.59,106.72,10.2,116.76,6.79,4.18,2.17,133.6,283.21,73.37,215.88,304.35,53.7,57.18,49.38,117.94,9.4,173.44,57.37,7.06,176.88,151.48
1.61,106.86,10.12,119.64,6.91,4.22,2.23,135.18,280.51,73.21,214.42,300.94,54.59,57.18,50.07,118.08,9.49,172.09,57.74,7.04,178.2,150.52
1.65,106.44,10.27,122.35,6.92,4.31,2.26,136.76,286.92,75.37,219.6,307.23,55.43,58.65,51.43,120.17,9.73,175.31,58.99,7.01,180.06,153.31
1.66,107.71,10.3,123.39,6.89,4.32,2.28,136.21,288.57,76.11,219.22,307.15,55.7,58.23,51.68,120.32,9.84,175.79,59.05,6.98,179.81,153.59
1.65,107.18,10.14,123.16,6.72,4.33,2.26,136.99,287.35,75.89,217.98,305.05,55.81,57.88,51.53,120.06,9.88,174.78,59.05,6.95,180.12,153.28
1.65,109.32,10.28,123.68,6.63,4.39,2.28,138.37,288.22,75.74,220.76,307.15,55.99,58.39,51.83,121.19,9.89,174.52,59.49,6.92,182.66,154.62
1.72,107.41,9.98,123.28,6.1,4.36,2.34,137.85,287.5,74.49,217,304.51,55.49,54.03,51.85,120.9,9.78,171.6,57.76,6.89,182,152.61
1.67,107.66,10.1,124.08,6.18,4.36,2.38,137.76,288.67,75.35,217.11,307.13,55.74,53.23,53.02,121.37,9.85,172.54,59.2,6.87,183.88,153.21
1.7,109.78,10.23,125.53,6.25,4.34,2.33,138.71,287,75.63,213.6,305.76,58.05,53.83,52.87,121.6,9.65,173.14,58.82,6.86,182.59,154.01
1.68,108.63,10.29,124.26,6.21,4.34,2.38,140.32,286.55,75.02,212.06,305.76,60.2,53.29,53.07,119.19,9.62,169.99,57.88,6.84,179.69,153.93
1.69,107.69,10.31,123.51,6.17,4.37,2.28,138.42,286.77,74.85,210.2,307.58,55.45,54.39,53.13,124.26,9.82,169.35,58.14,6.83,180.95,154.6
1.61,108.52,10.22,124.78,6.12,4.24,2.28,137.05,290,74.13,209.37,309.39,53.82,54.35,52.34,123.28,9.62,170.2,56.89,6.81,182.28,154.04
1.57,118.03,10.16,123.51,6.17,4.02,2.21,137.05,287.05,74.19,210.02,309.54,54.45,54.98,51.74,122.6,9.95,169.31,57.53,6.78,184.3,155.67
1.59,116.36,10.03,123.85,6.25,3.98,2.24,138.65,283.24,74.18,206.37,304.76,51.2,54.8,50.46,121.08,9.02,166.76,53.79,6.74,182.83,154.54
1.59,118.2,10.1,125.87,6.26,4.06,2.25,138.14,282.9,74.29,206.48,305.77,51.4,54.38,50.41,120.39,8.74,168.1,52.24,6.69,181.49,154.16
1.62,117.51,10.1,124.66,6.26,4,2.22,137.56,280.46,73.97,204.56,303.37,49.98,53.42,49.06,117.43,8.58,166.47,51.6,6.64,179.25,153.76
1.68,114.63,9.95,122.76,6.2,4,2.14,137.71,276.45,73.39,201.43,303,48.45,53.19,49.28,115.9,8.73,166.34,51.67,6.59,179.26,152.5
1.67,112.69,9.77,124.14,6.11,3.92,2.11,136.87,276.03,73.14,200.09,300.93,46.86,53.93,48.7,114.55,7.65,166.11,51.12,6.56,179.37,151.57
1.67,113.57,9.96,123.91,6.12,3.93,2.07,138.34,279.21,74.32,200.49,304.36,47.97,54.17,49.05,114.33,7.4,169.51,50.61,6.53,182.13,153.16
1.67,112.85,10.05,122.93,6.14,3.94,2.15,135.87,275.21,73.56,203.72,301.85,48.32,53.71,49.64,114.31,7.36,168.77,50.79,6.53,180.59,153.5
1.68,114.14,9.96,123.16,6.08,3.95,2.1,135.58,279.17,74.69,207.88,303.38,47.59,53.42,49.54,115.04,7.19,171.72,50.56,6.55,183.52,155.01
1.67,113.24,11.27,126.04,6.17,3.99,2.13,133.63,274.69,74.83,207.3,298.48,47.04,54.02,49.08,114.58,7.18,169.6,50.01,6.58,185.46,155.27
1.68,114.97,11.47,127.26,6.27,3.99,2.15,135.06,271.21,74.3,204.32,296.22,47.97,53.47,49.35,112.31,7.4,169.6,50.33,6.63,183.51,155.35
1.67,115.32,11.78,127.31,6.38,4.03,2.18,135.01,274.9,74.84,207.41,297.65,50.01,54.72,50.39,115.13,7.35,171.63,51.29,6.67,184.65,156.93
1.65,117.4,11.99,126.91,6.37,4.08,2.18,133.83,271.06,74.65,205.12,296.64,52.04,53.7,50,114.03,7.44,170.74,51.64,6.71,183.43,157.27
1.64,114.51,11.98,124.78,6.36,4.09,2.13,134.98,270.5,73.89,204.69,295.98,52.65,53.45,49.57,115.51,7.3,168.48,50.96,6.73,181.78,156.29
1.64,113.36,11.96,124.72,6.39,4.11,2.12,135.09,272.48,74.82,207.82,299.06,54.54,53.8,49.8,116.3,7.24,169.8,52.01,6.74,185.77,158.47
1.64,108.77,11.68,121.89,6.17,4.02,2.07,132.97,268.3,73.83,203.04,294.01,52.05,51.9,48.08,112.89,7.15,165.83,50.8,6.73,180.27,155.8
1.61,108.26,11.64,121.37,6.01,3.98,2.08,130.58,268.65,73.97,203.33,294.12,52.89,52.53,48.5,112.44,7.33,166.63,51.59,6.71,182.15,155.94
1.62,107.76,11.8,122.3,5.96,3.96,2.03,133.54,265.85,74.39,203.21,294.92,53.36,53.07,48.77,111.98,7.27,166.94,52.08,6.7,183.29,157.46
1.57,107.8,11.65,120.97,6.13,3.96,1.87,134.29,263.92,74.49,202.94,293.96,52.51,53.03,48.19,112.47,7.3,166.57,53.05,6.69,181.46,157.1
1.55,104.94,11.82,121.14,6.16,4,1.91,134.55,267.08,75.07,205.12,295.6,53.81,53.73,49.43,113.06,7.26,167.76,53.02,6.7,182.5,158.52
1.64,106.72,11.94,123.1,6.33,4.01,1.98,134.86,269.7,76.03,207.23,300.16,54.37,54.02,49.59,113.31,7.17,169.27,52.98,6.74,181.98,158.93
1.59,110.64,12,125.7,6.34,4.08,1.97,137.51,274.02,78.55,212.42,304.18,55.26,54.35,50.82,112.47,7.1,172.25,52.87,6.81,185.84,161.45
1.61,111.24,11.95,124.6,6.36,4.03,1.93,140.58,273.36,77.81,210.83,303.1,54.34,53.37,50.18,111.96,7.04,169.93,52.51,6.91,181.66,161.04
1.65,113.04,12.07,124.32,6.51,4.03,1.94,139.4,266.69,77.42,208.58,297.27,55.35,53.76,49.95,110.05,7.18,167.72,53.25,7.02,182.66,160.29
1.66,112.48,12.11,124.89,6.52,4.02,2,137.76,271.03,78.27,209.49,299.61,55.08,53.41,50.45,112.44,7.37,169.17,53.78,7.13,182.64,161.08
1.68,110.82,12.15,124.78,6.62,4.12,2.03,140.35,276.24,78.86,212.79,302.57,57.73,54.79,50.9,113,7.47,171.09,54.42,7.23,184.41,161.7
1.69,112.14,12.1,124.37,6.62,4.05,1.97,140.41,276.9,78.75,214.31,305.71,60.32,54.77,51.15,113.18,7.39,172.3,55.7,7.3,184.21,162.02
1.68,110.13,11.85,121.61,6.62,3.99,2,143.78,273.51,78.01,212.89,302.74,58.65,54.36,50.45,110.67,7.31,169.18,54.16,7.33,181.44,160.85
1.67,108.95,11.78,120.51,6.61,3.95,1.97,147.04,270.53,77.7,212.16,299.12,60.11,54.76,50.71,110.15,7.44,169.37,54.18,7.32,183.56,159.97
1.68,109.58,11.8,122.24,6.65,3.91,1.97,146.98,277.39,78.34,217.55,305.48,60.87,55.74,51.19,111.87,7.53,171.43,54.38,7.27,185.31,160.9
1.72,113.01,12.09,122.18,6.68,3.96,1.95,150.06,283.03,79.78,219.24,309.7,61.84,55.62,52.02,112.14,7.43,174.93,54.43,7.21,186.39,162.49
1.72,115.27,12.32,123.51,6.62,3.96,1.95,148.96,280.22,79.34,219.05,308.67,60.72,55.46,52.13,112.33,7.37,172.06,54.67,7.14,186.82,162.01
1.77,115.44,12.33,123.91,6.7,4,1.97,147.67,281.55,79.8,221.05,310.02,61.51,55.47,52.17,112.75,7.33,173.71,54.8,7.07,186.96,162.89
1.79,115.72,12.3,122.41,6.71,4.03,1.99,145.6,278.77,80.07,219.95,310.28,61.49,55.37,51.43,110.5,7.49,174.53,54.2,7.01,186.19,162.9
1.84,117.4,12.24,123.8,6.46,4.03,1.97,142.73,281.16,80.81,220.91,314.26,59.76,55.53,51.91,112.37,7.49,176.82,54.68,6.98,186.38,169.04
1.84,117.41,12.24,123.99,6.35,4.04,1.97,143.34,279.63,80.5,218.65,311.29,59.29,55.4,51.7,112.25,7.42,176.17,54.29,6.97,186.38,169.28
1.81,116.4,12.27,123.37,6.4,4.05,1.95,141.99,282.86,80.77,219,315.34,60.73,55.93,51.7,112.17,7.41,177.06,53.74,6.98,187.48,168.23
1.81,116.24,12.26,124.2,6.48,4.07,1.98,143.31,292.61,82.6,225.73,332.98,62.85,57.73,52.68,114.66,7.5,182.31,54.48,7,190.42,171.8
1.87,117.45,12.17,126.97,6.47,4.1,1.99,143.31,280.04,82.31,225.41,330.12,62.53,58.92,51.94,114.08,7.54,180.73,56.06,7.04,190.59,171.27
1.89,116.93,12.13,127.54,6.47,4.15,1.95,141.64,278.98,82.39,223.25,328.85,62.86,59.48,51.05,113.44,7.57,176.84,56.5,7.09,187.75,170.41
1.87,117.17,12.09,129.04,6.51,4.1,1.98,141.81,283.14,83.02,221.42,328.33,62.83,60.2,50.92,114.73,7.66,178.03,57.35,7.15,189.52,172.24
1.87,118.49,12.01,129.5,6.53,4.13,1.93,144.71,285.97,83.81,220.83,328.55,63.37,61.25,51.11,115.04,7.57,179.15,56.62,7.21,190.61,172.53
1.89,117.86,11.87,122.7,6.49,4.1,1.9,143.82,289.85,84.11,222.53,333.27,63.5,61.99,51.1,113.9,7.57,178.67,55.93,7.26,194.96,173.59
1.9,116.74,11.79,120.12,6.46,4.1,1.88,144.68,289.29,83.49,223.24,331.75,63.78,62.18,50.72,114.31,7.55,176.35,55.23,7.31,190.05,170.94
1.9,117.11,11.74,121.2,6.33,4.13,1.87,142.36,289.95,82.46,207.62,332.51,64.21,62.95,49.71,114.53,7.54,174.55,55.69,7.35,202.58,171.38
1.87,118.26,11.62,121.66,6.32,4.18,1.89,143.22,291.97,83.53,212.02,333.92,65.27,63.83,49.73,115.84,7.57,176.65,55.73,7.38,204.72,173.5
1.84,113.59,11.4,120.39,6.27,4.14,1.86,141.15,291.34,82.69,210.56,335.76,65.81,62.99,50.52,115.83,7.57,175.36,55.54,7.38,204.43,172.62
1.81,109.55,11.27,118.09,6.2,4.09,1.89,141.76,288.32,79.88,208.57,330.8,64.63,62.65,50,113.2,7.57,170.5,54.46,7.37,199.46,169.89
1.81,113.75,11.25,117.57,6.17,4.09,1.81,142.73,290.56,80.82,206.76,333.98,66.97,62.74,50.22,113.57,7.22,168.28,50.74,7.34,200.02,170.34
1.8,117.34,11.56,115.95,6.17,4.09,1.75,142.79,294.92,80.71,207.34,339.34,66.59,63.01,49.86,113.6,7.24,172.04,51.1,7.3,203.01,170.35
1.79,118.49,11.59,115.9,6.16,4.11,1.72,141.78,300.72,80.9,208.42,341.25,63.72,62.92,49.93,115.04,7.17,173.09,51.69,7.25,203.91,171.58
1.89,112.94,11.05,114.12,6.06,4.02,1.65,140.58,295.52,77.81,205.17,335.37,64.76,61.43,48.24,109.31,7.16,167.88,51.87,7.21,197.07,166.76
1.87,116.76,11.15,113.75,6.11,4.06,1.69,142.16,295.68,79.01,205.74,336.16,66.32,61.99,48.86,112.86,7.24,168.48,53.25,7.18,198.32,168.17
1.88,118.09,11.36,115.44,6.11,4.1,1.65,143.11,294.56,79.03,205.01,333.99,65.38,62.07,48.8,114.11,7.18,167.74,53.28,7.17,202.21,169.38
1.9,118.61,11.56,117.68,6.1,4.19,1.65,141.87,304.56,79.77,209.03,339.3,68.17,62.89,48.95,117.65,7.2,169.81,53,7.19,205.64,170.75
1.95,116.88,11.56,117.4,6.12,4.2,1.75,142.33,306.66,78.84,206.86,337.84,68,62.18,48.1,116.15,7.07,166.34,51.89,7.22,203.75,169.92
1.97,114.97,11.46,116.99,6.03,4.21,1.65,142.76,314.51,78.72,210.05,341.92,65.41,61.31,47.5,115.11,6.95,169.23,51.57,7.27,203.28,168.59
1.98,117.28,11.65,117.11,6.05,4.11,1.64,145.58,316.24,80.21,212.01,343.85,67.83,62.62,48.62,117.6,6.8,171.46,51.66,7.33,205.52,169.61
2.04,117.91,11.75,116.59,6.03,4.12,1.54,147.61,316.49,79.86,209.89,341.25,68.27,62.71,48.06,116.99,6.85,169.24,52.04,7.38,208.82,169.31
2.09,114.44,11.58,114.35,5.95,3.98,1.56,145.89,311.09,76.96,204.27,340.01,67.02,61.09,47.67,115.76,7.04,163.61,52.22,7.41,204.99,166.4
2.06,114.44,11.63,114.28,5.91,3.98,1.6,148.02,312.09,77.5,205.58,338.77,67.11,61.56,47.8,115.23,6.91,164.08,51.85,7.42,205.35,166.68
2.08,114.95,11.38,113.94,5.9,3.97,1.58,146.24,311.59,77.43,205.87,337.65,68,62.1,47.87,114.89,6.85,164.6,51.83,7.41,204.91,166.54
2.1,115.49,11.13,113.73,5.88,3.92,1.61,147.33,308.03,76.63,204.6,337.47,68.44,62.1,47.95,114.21,6.8,163.58,51.76,7.38,202.88,165.23
2.12,111.17,10.87,112.32,5.83,3.87,1.61,147.5,305.88,76.35,204.26,339.34,68.02,61.84,47.89,113.32,6.64,162.32,51.33,7.35,201.24,164.3
2.05,111.38,11.29,113.57,5.83,3.9,1.68,148.96,309.83,75.74,204.86,341.96,68.01,61.7,46.87,113.16,6.64,162.18,51.16,7.32,201.95,165.41
2.11,109.53,11.46,113.66,5.94,3.85,1.7,146.78,303.26,74.49,205.03,338.5,66.76,61.3,46.51,111.42,6.44,160.83,49.69,7.32,203.44,164.24
2.05,109.35,11.73,114.65,6.07,3.88,1.69,151.09,306.87,74.78,207.77,344.49,67.46,60.84,46.85,112.61,6.41,163.13,49.91,7.34,201.24,166.41
2.07,113.98,11.94,113.29,6.13,3.94,1.68,155.11,312.31,76.32,211.13,349.22,67.58,62.72,47.97,117.35,6.46,167.74,50.56,7.4,205,168.15
2.08,114.77,11.94,114.47,6.11,3.95,1.67,152.18,316.75,77.45,215.74,352.7,68,62.62,47.97,117.07,6.41,171.93,50.37,7.48,204.31,169.38
