"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
0.8,70.09,10.59,73.68,6.41,2.68,0.78,91.76,184.17,51.01,134.34,209.12,16.31,27.18,28.03,64.62,18.05,131.47,65.59,3.17,94.75,99.86
0.8,72.04,10.74,75.18,6.55,2.88,0.8,91.38,190.08,51.96,134.72,212.68,17.13,27.02,29.3,65.41,17.8,135.01,64.26,3.18,93.73,101.03
0.84,72.48,10.87,75.64,6.63,2.81,0.81,91.61,192.73,52.09,132.8,214.12,17.11,27.43,29.36,65.86,18.28,135.07,66.44,3.2,92.04,101.36
0.86,71.52,10.73,76.08,6.63,2.73,0.79,93.42,190.78,51.99,132.95,213.61,17.11,28.18,29.78,65.78,18.13,135.25,65.69,3.22,93.26,102.13
0.85,72.62,10.89,76.92,6.69,2.8,0.81,95.26,192.29,54.49,134.53,214.96,17.26,28.8,30.08,66.69,17.86,136.62,64.97,3.25,94.78,100.19
0.93,72.18,10.95,81.75,6.68,2.82,0.82,94.2,191.29,54.02,132.82,215.16,17,28.79,30.99,66.68,18.11,135.89,65.21,3.28,94.03,98.67
0.88,69.8,10.52,82.19,6.61,2.78,0.82,93.25,189.96,55.21,132.87,216.55,17.22,28.99,30.7,66.02,18.39,135.1,64.2,3.31,94.58,98.27
0.88,72.61,10.57,83.12,6.73,2.85,0.82,92.42,192.88,57.84,133.99,220.03,17.2,29.11,31.42,70.38,19.03,137.24,69.17,3.33,96.69,99.19
0.92,74.43,10.78,83.18,6.72,2.89,0.82,92.76,192.12,57.61,133.56,217.16,17.49,28.87,31.83,70.58,18.99,137.1,69.91,3.35,94.58,98.09
1.01,75.4,11,84.46,6.74,2.89,0.82,93.11,192.24,56.99,131.05,215.73,19.37,29.11,31.91,70.56,19.46,136.24,70.26,3.36,96.57,96.44
