"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
0.17,61.77,4.89,17.85,162.64,10.63,0,99.01
0.18,63.18,4.87,17.75,163.64,10.73,0,99.01
0.2,63.45,4.81,17.87,163.05,10.84,0,98.89
0.18,62.51,4.74,17.91,162.6,10.83,0,98.54
0.16,63.04,4.64,17.86,164.62,10.87,0,98.39
0.16,63.8,4.69,17.85,166.11,9.25,0,99.16
0.16,65.47,4.69,17.93,165.16,10.21,0,98.86
0.2,65.29,4.68,17.96,165.46,11.31,0,98.99
0.16,65.42,4.61,17.84,164.94,12.75,0,98.6
0.18,65.25,4.6,17.8,164.47,11.01,0,99.47
0.16,64.95,4.68,17.83,165.27,11.57,0,100.27
0.16,63.49,4.79,17.89,165.28,11.51,0,100.32
0.16,64,4.83,17.93,165.48,11.01,0,99.92
0.16,64.18,4.77,17.89,165.79,11.57,0,100.16
0.16,63.71,4.76,18.14,166.36,12.44,0,100.38
0.15,63.05,4.7,18.15,166.61,12.94,0,100.15
0.15,63.26,4.74,18.26,166.65,12.9,0,99.81
0.15,63.18,4.67,18.17,165.67,13.11,0,99.13
0.21,62.81,4.61,18.2,166.8,13.01,0,100.25
0.16,62.45,4.53,18.26,166.17,12.68,0,99.99
0.16,62.06,4.57,18.35,164.13,12.93,0,99.9
0.16,61.87,4.43,18.38,164.84,12.66,0,100.59
0.18,63.91,4.49,18.72,167.01,12.88,0,101.77
0.2,63.09,4.54,18.99,167.67,13.72,0,102.42
0.16,62.71,4.57,19.17,166.92,14.32,0,102.36
0.18,63.28,4.49,19.34,166.07,14.56,0,102.07
0.16,62.82,4.43,19.27,165.53,15.96,0,101.32
0.16,61.67,4.34,18.72,162.37,15.61,0,97.56
0.16,61.7,4.27,19.07,164.8,15.26,0,100.58
0.14,61.84,4.26,18.8,161.31,14.04,0,98.91
0.16,61.39,4.33,18.82,162.66,12.91,0,98.62
0.14,62.15,4.42,18.87,166.42,13.31,0,99.74
0.14,61.9,4.44,18.91,164.63,12.98,0,98.81
0.14,62.52,4.62,18.73,162.68,12.95,0,98.79
0.14,63.2,4.54,18.71,162.85,13.13,0,99.19
0.14,62.99,4.56,18.94,165.74,13.49,0,100.65
0.16,63.87,4.62,19.14,166.02,13.76,0,101.7
0.16,64.85,4.62,19.07,166.63,13.48,0,101.53
0.16,64.16,4.54,18.75,165.64,12.88,0,99.17
0.14,64.33,4.54,18.73,165.95,12.36,0,99.32
0.14,64.87,4.52,18.8,165.28,12.15,0,99.4
0.17,64.96,4.43,18.52,163.68,12.06,0,97.75
0.17,64.75,4.4,18.59,166.47,11.95,0,97.17
0.17,65.42,4.59,18.19,165.44,12.87,0,97.37
0.16,66.23,4.75,17.92,165.66,12.61,0,96.09
0.13,64.11,4.75,17.55,168.58,12.36,0,95.66
0.13,63.87,4.73,17.6,171,12.47,0,95.63
0.16,64,4.67,17.55,168.72,12.4,0,96.01
0.14,63.82,4.62,17.87,171.25,12.35,0,96.24
0.14,64.14,4.57,17.46,169.73,12.29,0,95.52
0.14,63.56,4.56,17.61,170,12.24,0,96.09
0.14,64.12,4.6,17.57,168.98,12.2,0,96.21
0.15,64.16,4.58,17.48,169.48,12.21,0,95.83
0.17,63.28,4.62,17.54,167.11,12.49,0,95.49
0.15,63,4.7,17.54,167.17,12.47,0,96.6
0.18,62.74,4.69,17.48,167.29,12.42,0,95.96
0.16,63.05,4.63,17.35,166.91,12.55,0,95.54
0.14,61.28,4.65,17.92,167.4,13.32,0,96.31
0.14,61.43,4.68,18.09,169.53,13.41,0,96.9
0.16,61.98,4.63,17.86,168.16,12.95,0,96.58
0.16,60.2,4.63,17.76,166.51,12.47,0,96.04
0.16,60.56,4.71,17.85,165.66,12.35,0,95.77
0.16,61.83,4.69,17.92,166.04,12.4,0,96.33
0.17,61.62,4.8,18.1,167.07,12.37,0,96.43
0.17,60.7,4.82,17.92,163.44,12.89,0,96.07
0.18,60.26,4.81,17.67,163.67,12.85,0,96.05
0.18,59.99,4.62,18.21,160.02,12.93,0,96.2
0.21,59.37,4.59,17.76,159.6,12.8,0,95.49
0.23,59.64,4.69,18.11,165.93,12.84,0,97.32
0.21,60.1,4.8,18.26,166.57,13.24,0,97.86
0.22,58.84,4.76,18.33,153.81,14.97,0,94.3
0.22,55.91,4.79,17.97,152.87,14.46,0,90.49
0.22,56.56,4.55,17.9,152.4,14.84,0,88.94
0.21,56.21,4.37,17.88,147.95,14.96,0,87.31
0.23,56.46,4.34,18.04,152.43,14.99,0,87.49
0.23,56.18,4.44,18.1,153.34,13.52,0,87.91
0.24,56.62,4.44,18.21,154.77,12.42,0,89.28
0.24,57.25,4.48,18.26,155.09,13.75,0,89.08
0.23,57.21,4.46,18.37,157.39,14.09,0,89.61
0.21,57.37,4.55,18.55,156.52,14.48,0,89.98
0.21,57.38,4.56,18.36,154.55,14.02,0,88.89
0.21,57.42,4.44,18.37,155.05,14,0,88.59
0.21,58.06,4.43,18.49,156.28,14.34,0,89.23
0.21,58.43,4.46,18.46,156.29,14.37,0,90.25
0.21,58.51,4.48,18.38,155.81,14.02,0,90.6
0.21,57.71,4.59,18.44,150.97,14.51,0,88.33
0.21,56.59,4.61,17.76,145.27,14.16,0,87.74
0.23,57.09,4.71,17.76,146.05,14.27,0,88.11
0.23,57.04,4.77,17.96,148.86,14.46,0,87.76
0.21,56.74,4.78,18.11,147.99,14.34,0,88.18
0.24,57.17,4.65,18.72,149.83,14.47,0,89.83
0.23,57.43,4.77,18.94,151.05,14.4,0,89.38
