"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
23.19,47.32,95.79,33.2,13.3,18.93,0,22.09
23.32,47.82,97.41,33.4,13.27,18.73,0,22.13
24.02,50.64,103.49,34.17,13.52,19.11,0,22.69
23.83,50.21,102.25,33.99,13.89,19.18,0,23.15
24.23,50.77,104.71,34.15,13.88,19.7,0,22.92
23.98,50.66,97.95,34.42,13.61,19.61,0,23.01
23.96,50.25,97.94,34.14,13.43,19.44,0,22.68
23.8,49.79,96.93,34.11,13.38,19.06,0,22.98
23.8,49.98,97.7,34.09,13.42,19.01,0,23.2
24.08,50.19,98.25,34.34,13.19,18.41,0,22.63
24.45,49.87,97.54,34.44,13.22,18.75,0,22.75
24.65,50.96,100.06,34.83,13.16,18.84,0,22.94
24.92,51.84,100.19,35.14,13.5,19.38,0,22.76
24.64,51.71,99.61,35.2,13.22,19.4,0,22.21
24.91,52.1,102.66,35.65,13.36,20.01,0,22.34
24.51,51.8,99.75,35.61,13.27,19.83,0,22.03
24.84,52.58,103.77,35.62,13.28,19.74,0,21.91
24.5,52.36,101.42,35.61,12.95,19.58,0,23.06
24.43,52.5,101.33,35.63,12.87,19.58,0,22.9
24.37,52.14,99.69,35.65,12.82,19.69,0,22.92
24.18,52.24,97.39,35.23,12.41,19.8,0,22.82
24.23,52.58,97.11,35.34,12.02,19.76,0,22.84
24.32,52.22,96.39,35.45,12.39,20.26,0,22.68
23.55,50.36,90.81,34.94,12.52,20.04,0,22.22
23.67,50.75,90.52,34.96,12.52,19.94,0,22.24
23.76,50.32,89.86,34.74,12.51,19.93,0,22.24
23.77,50.89,90.74,34.65,12.43,19.71,0,22.15
23.82,50.96,90.16,34.43,12.51,19.52,0,22.31
23.9,50.22,89.32,34,12.52,19.52,0,22.54
24.65,53.8,93.17,34.99,12.73,19.73,0,22.85
24.59,53.96,92.39,35.09,12.67,19.66,0,22.39
24.5,54.11,91.82,35.16,12.62,19.6,0,22.24
24.72,54.74,92.79,35.4,12.71,19.64,0,22.31
25.18,55.06,94.36,35.71,12.91,19.77,0,22.22
25.3,55.69,95.78,36.08,12.97,19.8,0,21.99
24.76,55.66,98.41,35.58,12.78,19.03,0,21.45
25.08,56.89,104.02,36.04,12.95,19.12,0,21.55
24.87,56.53,103.74,35.19,12.68,18.55,0,20.81
25.22,58.31,107.25,35.4,12.61,18.69,0,21.05
25.55,58.46,108.7,36.09,12.66,18.73,0,21.3
25.45,58.32,108.57,36.01,12.72,18.48,0,21.49
24.94,57.35,103.96,35.75,12.83,18.61,0,21.89
24.97,56.28,103.5,35.7,12.87,18.52,0,21.82
25.09,56.77,103,36.24,12.74,18.73,0,22
25.78,57.18,102.29,36.52,12.94,19.23,0,22.72
25.66,57.38,102.14,36.15,12.89,19.09,0,23.08
25.36,56.46,100.82,35.86,12.68,19.01,0,23.15
25.57,56.89,100.75,36.13,12.77,19.26,0,22.92
26.36,57.49,101.66,36.66,12.69,19.76,0,23.01
25.85,56.95,100.61,36.16,12.44,19.34,0,22.87
26.04,57.53,97.42,36.36,12.46,19.78,0,23.59
26.19,58.89,99.3,36.48,12.45,19.63,0,23.05
26.23,58.82,96.38,36.37,12.19,19.6,0,22.94
26.64,58.87,97.95,36.49,12.43,19.79,0,23.41
26.8,58.8,97.75,36.57,12.19,19.79,0,23.31
26.42,58.38,97.01,36.16,12.12,19.45,0,23.07
26.8,59.07,98.68,36.35,12.35,19.7,0,23.29
26.56,58.95,97.72,35.93,12.15,19.34,0,22.97
26.33,58.76,96.47,35.9,12.15,19.31,0,22.76
26.06,58.08,94.95,35.74,11.97,19.09,0,22.51
25.76,57.73,93.37,35.73,12.05,19,0,22.42
25.98,57.58,93.13,35.25,11.88,19,0,22.24
25.86,57.44,92.98,35.5,11.78,19.04,0,22.01
26.09,58.17,95.55,35.87,11.88,19.05,0,22.02
26.13,57.91,96.02,35.74,11.9,18.99,0,22.4
26.11,57.16,95.28,35.42,11.88,18.66,0,22.52
26.28,57.96,96.84,35.58,11.85,18.84,0,22.67
26.09,58,95.57,35.44,11.76,18.71,0,22.5
26.14,58.01,95.78,35.47,11.66,18.51,0,22.43
25.99,57.03,94.18,34.97,11.64,17.97,0,22.14
26.07,57.73,94.18,35.15,11.52,18,0,22.35
26.18,57.88,94.54,35.24,11.47,17.87,0,21.9
26.4,58.63,98.25,35.42,11.49,17.6,0,22.21
25.95,57.6,96.52,35.14,11.41,17.01,0,21.88
25.77,56.74,87.53,34.89,10.93,17.11,0,21.33
26.41,59.08,88.04,35.12,10.51,17.3,0,21.67
27.18,58.87,87.85,35.97,10.26,17.6,0,22.32
28,59.48,86.67,36.24,10.28,17.75,0,22.2
28.33,59.72,87.85,36.05,10.36,18.35,0,22.55
27.89,58.6,85.3,35.33,10.23,18.22,0,22.05
27.5,57.98,84.98,35.03,11.95,18.69,0,22.24
27.38,57.04,84.5,34.77,11.81,18.77,0,21.7
27.83,58.98,86.88,35.38,11.64,18.61,0,22.02
27.71,58.15,86.57,35.08,11.95,18.67,0,22.25
28.03,59.81,90.46,35.76,11.93,18.83,0,22.25
28.44,60.6,92.38,36,12.27,18.56,0,22.79
28.97,61.72,97.4,36.5,12.27,18.65,0,22.73
28.71,62.68,98.14,36.68,12.77,18.67,0,23.15
28.48,62.44,101.34,36.66,12.87,18.95,0,23.17
28.54,62.58,101.96,36.83,13.01,19.21,0,23.46
28.67,62.86,101.55,37,12.96,19.29,0,23.58
28.74,62.56,102.01,37,12.59,19.24,0,23.21
28.87,62.16,99.8,37.17,12.7,19.27,0,23.39
28.72,62.7,102.03,37.08,12.43,18.85,0,22.94
28.53,62.18,99.27,36.78,12.23,18.71,0,22.53
29.02,61,98.64,36.58,12.29,18.91,0,22.95
28.98,61.13,98.37,36.75,12.65,19.26,0,23.38
29.63,62.48,102.18,37.19,12.7,19.64,0,23.19
29.95,62.68,101.98,37.51,12.77,20.28,0,23.18
28.67,54.67,90.72,36.55,12.77,21.01,0,23.11
29.27,55.35,91.88,35.88,12.72,21.47,0,23.52
29.2,56.14,91.51,35.78,12.54,20.82,0,23.09
29.8,57.86,93.51,35.95,12.54,21.05,0,23.2
29.72,57.72,92.17,35.75,12.47,20.76,0,22.97
28.97,56.19,90.88,35.2,12.64,20.72,0,22.73
28.86,57,91.91,35.41,12.88,20.85,0,22.76
28.59,54.68,90.15,33.99,12.52,20.8,0,23.09
28.63,54.25,88.32,33.92,12.54,20.7,0,23.11
29.29,54.51,89.28,34.15,12.51,20.74,0,23.76
29.34,54.22,88.25,34.13,12.48,20.64,0,23.78
29.35,54.26,88.36,34.02,12.47,20.5,0,23.64
29.25,54.36,88.72,33.98,12.52,20.43,0,23.51
29.02,54.19,88.24,33.96,12.5,20.33,0,23.36
28.72,53.87,87.08,33.92,12.35,20.19,0,23.2
28.51,54.07,87.17,33.97,12.29,20.28,0,23.14
28.83,53.41,86.53,33.92,12.13,20.18,0,23.2
29.24,52.78,86.17,33.9,12.16,20.15,0,23.37
29.48,53.33,87.46,34.05,12.29,20.38,0,23.85
29.45,54.98,90.3,34.47,12.21,20.82,0,24.41
29.38,55.08,91.44,34.92,11.8,20.9,0,23.89
29.53,55.46,92.46,34.73,11.79,20.25,0,23.94
29.17,55.69,92.79,34.77,11.48,19.64,0,23.35
29.61,56.62,94.84,35.13,11.6,19.61,0,23.51
29.03,55.69,92.93,34.95,11.62,19.45,0,23.57
28.63,55.46,91.93,35.1,11.54,19.65,0,23.02
28.64,55.28,90.53,34.95,11.76,19.62,0,23.03
28.68,55.58,91.14,34.98,11.74,19.56,0,23.21
