"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
0.3,64.43,4.84,18.37,164.11,10.13,0,101.28
0.3,66.13,4.92,18.31,165.96,10.28,0,102.2
0.35,64.36,5.03,18.41,165.37,10.07,0,102.38
0.33,64.98,5.13,18.3,166.02,10,0,101.8
0.33,64.33,5.18,18.49,165.97,10.05,0,103.09
0.3,64.63,5.11,18.44,164.19,10.31,0,103.41
0.3,63.57,5,18.4,163.71,10.37,0,102.9
0.3,63.27,5.13,18.54,163.52,10.39,0,103.21
0.3,62.82,5.12,18.51,162.87,10.35,0,103.18
0.3,63.51,5,18.55,163.08,10.95,0,103.62
0.39,62.74,5.06,18.43,163.13,11.59,0,103
0.37,62.94,5.1,18.4,164.04,11.12,0,99.89
0.43,63.05,5.33,18.53,166.34,10.52,0,99.64
0.39,62.71,5.48,18.38,165.37,11.36,0,99.41
0.37,63.23,5.5,18.43,167.66,11.1,0,99.83
0.36,63.1,5.32,18.49,166.31,11.24,0,99.73
0.35,62.81,5.04,18.39,165.39,11.22,0,98.96
0.32,62.34,4.92,18.25,163.04,11.21,0,97.33
0.32,62.82,4.89,18.27,163.57,11.11,0,99.17
0.32,63.37,4.81,18.18,164.66,11.16,0,100.32
0.27,63.03,4.84,18.03,164.01,10.78,0,100.11
0.32,63.32,4.92,17.76,162.63,10.86,0,99.98
0.3,61.77,4.89,17.86,162.66,10.73,0,99.03
0.3,63.21,4.89,17.75,163.65,10.75,0,99.04
0.3,63.46,4.82,17.88,163.06,10.87,0,98.9
0.3,62.52,4.74,17.92,162.64,10.85,0,98.55
0.32,63.05,4.65,17.87,164.65,10.93,0,98.4
0.31,63.82,4.7,17.86,166.14,9.26,0,99.17
0.31,65.48,4.7,17.94,165.17,10.23,0,98.87
0.31,65.29,4.68,17.97,165.48,11.34,0,99
0.3,65.43,4.61,17.84,164.96,12.8,0,98.61
0.31,65.25,4.6,17.8,164.48,11.08,0,99.48
0.31,64.98,4.69,17.84,165.28,11.68,0,100.28
0.31,63.52,4.8,17.9,165.3,11.64,0,100.33
0.31,64.01,4.84,17.94,165.5,11.16,0,99.93
0.3,64.22,4.77,17.9,165.8,11.6,0,100.18
0.31,63.74,4.76,18.15,166.38,12.57,0,100.39
0.3,63.06,4.71,18.16,166.64,13.04,0,100.17
0.3,63.27,4.74,18.26,166.67,13,0,99.82
0.3,63.19,4.67,18.17,165.68,13.14,0,99.14
0.31,62.85,4.61,18.21,166.82,13.07,0,100.26
0.28,62.5,4.54,18.27,166.18,12.82,0,100
0.28,62.09,4.57,18.36,164.17,12.97,0,99.93
0.3,61.91,4.44,18.39,164.85,12.86,0,100.61
0.3,63.92,4.5,18.72,167.02,13.09,0,101.78
0.29,63.11,4.54,19,167.7,13.85,0,102.43
0.28,62.72,4.58,19.18,166.96,14.43,0,102.38
0.28,63.29,4.49,19.35,166.09,14.69,0,102.1
0.27,62.82,4.43,19.28,165.54,16,0,101.33
0.27,61.68,4.35,18.73,162.39,15.71,0,97.57
0.27,61.71,4.28,19.08,164.82,15.28,0,100.6
0.28,61.9,4.26,18.81,161.35,14.23,0,98.93
0.28,61.4,4.33,18.82,162.67,12.92,0,98.63
0.27,62.17,4.44,18.89,166.45,13.41,0,99.75
0.27,61.9,4.44,18.91,164.65,13.09,0,98.82
0.27,62.55,4.62,18.74,162.71,13.05,0,98.8
0.27,63.21,4.54,18.72,162.86,13.3,0,99.2
0.27,63,4.57,18.95,165.76,13.51,0,100.66
0.27,63.87,4.62,19.15,166.08,13.89,0,101.71
0.27,64.87,4.63,19.08,166.65,13.5,0,101.55
0.27,64.19,4.55,18.75,165.67,12.93,0,99.18
0.23,64.33,4.55,18.74,165.96,12.5,0,99.33
0.23,64.93,4.53,18.81,165.29,12.25,0,99.41
0.28,64.97,4.44,18.53,163.71,12.16,0,97.76
0.27,64.77,4.42,18.6,166.49,12.09,0,97.18
0.25,65.45,4.61,18.2,165.5,12.96,0,97.38
0.25,66.28,4.76,17.93,165.7,12.64,0,96.1
0.25,64.12,4.76,17.56,168.6,12.47,0,95.67
0.22,63.88,4.75,17.6,171.03,12.5,0,95.64
0.27,64.01,4.68,17.56,168.81,12.44,0,96.02
0.23,63.82,4.62,17.88,171.28,12.41,0,96.25
0.27,64.15,4.58,17.47,169.74,12.3,0,95.53
0.27,63.58,4.56,17.62,170.01,12.27,0,96.1
0.27,64.12,4.61,17.58,169.01,12.26,0,96.22
0.27,64.18,4.65,17.48,169.51,12.24,0,95.84
0.27,63.29,4.63,17.54,167.13,12.5,0,95.5
0.28,63.02,4.7,17.54,167.19,12.49,0,96.61
0.28,62.74,4.71,17.48,167.31,12.52,0,95.98
0.25,63.09,4.63,17.36,166.95,12.66,0,95.56
0.27,61.29,4.68,17.93,167.45,13.49,0,96.32
0.27,61.45,4.71,18.1,169.54,13.48,0,96.91
0.25,61.98,4.63,17.86,168.19,13.12,0,96.59
0.25,60.2,4.63,17.77,166.52,12.5,0,96.05
0.25,60.56,4.71,17.86,165.67,12.44,0,95.78
0.25,61.86,4.69,17.93,166.05,12.65,0,96.35
0.3,61.62,4.82,18.11,167.09,12.5,0,96.44
0.3,60.71,4.83,17.92,163.45,12.9,0,96.08
0.31,60.27,4.85,17.68,163.68,12.89,0,96.06
0.31,60.02,4.66,18.22,160.05,12.94,0,96.22
0.31,59.38,4.76,17.77,159.61,12.99,0,95.5
0.32,59.7,4.72,18.12,165.96,12.9,0,97.33
0.3,60.1,4.82,18.27,166.68,13.29,0,97.89
0.31,58.84,4.77,18.34,153.83,15.01,0,94.31
0.31,55.93,4.82,17.98,152.88,14.56,0,90.5
0.36,56.57,4.58,17.91,152.45,15.08,0,88.95
0.31,56.23,4.38,17.89,147.97,15.08,0,87.32
0.32,56.49,4.34,18.05,152.46,15.03,0,87.5
