"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"66",88578,0,0,0,2199,0,24246662.28,0,192918.08,0,0,0,24530357.36,4,2230.46092148298,10997.8870841146
"67",91570.5,0,0,0,2199,0,25194225.36,0,179246.72,0,0,0,25467241.58,4,2230.46092148298,11417.9277183065
"68",87979.5,0,0,0,2199,0,25303751.04,0,170892,0,0,0,25564821.54,4,2230.46092148298,11461.6765054115
"69",89623.5,0,0,0,2199,0,25615733.28,0,162917.04,0,0,0,25870472.82,4,2230.46092148298,11598.7115357302
"70",86014.5,0,0,0,2199,0,25308729.48,0,163296.8,0,0,0,25560239.78,4,2230.46092148298,11459.6223290949
"71",87217.5,0,0,0,2199,0,24958579.2,0,167474.16,0,0,0,25215469.86,4,2230.46092148298,11305.0489327716
"72",87217.5,0,0,0,2394,0,24386058.6,0,165195.6,0,0,0,24640865.7,4,2230.46092148298,11047.4321529995
"73",87217.5,0,0,0,2394,0,22892526.6,0,149625.44,0,0,0,23131763.54,4,2230.46092148298,10370.8445717221
"74",87217.5,0,0,0,2394,0,22394682.6,0,131966.6,0,0,0,22616260.7,4,2230.46092148298,10139.7251492588
"75",84811.5,0,0,0,2394,0,22583863.32,0,136143.96,0,0,0,22807212.78,4,2230.46092148298,10225.336189632
"76",86616,0,0,0,2310,0,23033582.4,0,135764.2,0,0,0,23258272.6,4,2230.46092148298,10427.5633686225
"77",83608.5,0,0,0,2310,0,22504208.28,0,136903.48,0,0,0,22727030.26,4,2230.46092148298,10189.3873329506
"78",83608.5,0,0,0,2310,0,22905802.44,0,141650.48,0,0,0,23133371.42,4,2230.46092148298,10371.5654451454
"79",83608.5,0,0,0,2310,0,22905802.44,0,141650.48,0,0,0,23133371.42,4,2230.46092148298,10371.5654451454
"80",88420.5,0,0,0,2310,0,23114896.92,0,141840.36,0,0,0,23347467.78,4,2230.46092148298,10467.5529416928
"81",89623.5,0,0,0,2310,0,23566275.48,0,153233.16,0,0,0,23811442.14,4,2230.46092148298,10675.5701974677
"82",91428,0,0,0,2310,0,23287482.84,0,138612.4,0,0,0,23519833.24,4,2230.46092148298,10544.8308972668
"83",95638.5,0,0,0,2310,0,23151405.48,0,144308.8,0,0,0,23393662.78,4,2230.46092148298,10488.2639075542
"84",93232.5,0,0,0,2310,0,23332288.8,0,140701.08,0,0,0,23568532.38,4,2230.46092148298,10566.6645638112
"85",91428,0,0,0,2310,0,23144767.56,0,132726.12,0,0,0,23371231.68,4,2230.46092148298,10478.2071969506
"86",88420.5,0,0,0,2310,0,23080047.84,0,136143.96,0,0,0,23306922.3,4,2230.46092148298,10449.3748693448
"87",90225,0,0,0,2310,0,23836770.72,0,131207.08,0,0,0,24060512.8,4,2230.46092148298,10787.2379956349
"88",92029.5,0,0,0,2310,0,23572913.4,0,90382.88,0,0,0,23757635.78,4,2230.46092148298,10651.4467710127
"89",90826.5,0,0,0,2413,0,23470025.64,0,93420.96,0,0,0,23656686.1,4,2230.46092148298,10606.1872109695
"90",88979.7,0,0,0,2413,0,23954190,0,106355.55,0,0,0,24151938.25,4,2230.46092148298,10828.2274831078
"91",92636.4,0,0,0,2413,0,23831535,0,121608.9,0,0,0,24048193.3,4,2230.46092148298,10781.7146977903
"92",78619.05,0,0,0,2570,0,23942587.5,0,117847.8,0,0,0,24141624.35,4,2230.46092148298,10823.6033716066
"93",74962.35,0,0,0,2643,0,23851425,0,112624.05,0,0,0,24041654.4,4,2230.46092148298,10778.7830615814
"94",78009.6,0,0,0,2627,0,22991182.5,0,115549.35,0,0,0,23187368.45,4,2230.46092148298,10395.7743561735
"95",73134,0,0,0,2627,0,23200027.5,0,107191.35,0,0,0,23382979.85,4,2230.46092148298,10483.4743459451
"96",76181.25,0,0,0,2642,0,23251410,0,110743.5,0,0,0,23440976.75,4,2230.46092148298,10509.4765499925
"97",69477.3,0,0,0,2690,0,23287875,0,109280.85,0,0,0,23469323.15,4,2230.46092148298,10522.1853133368
"98",69152.26,0,0,0,2732,0,23546445,0,99460.2,0,0,0,23717789.46,4,2230.46092148298,10633.582158539
"99",72524.55,0,0,0,2713,0,23519925,0,105101.85,0,0,0,23700264.4,4,2230.46092148298,10625.7250112422
"100",71915.1,0,0,0,2629,0,23889547.5,0,97579.65,0,0,0,24061671.25,4,2230.46092148298,10787.7573725891
"101",70696.2,0,0,0,2629,0,23957505,0,99251.25,0,0,0,24130081.45,4,2230.46092148298,10818.4282529175
"102",68867.85,0,0,0,2629,0,24338730,0,103639.2,0,0,0,24513866.05,4,2230.46092148298,10990.4934060451
