"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.09,71.02,14.86,80.07,6.66,2.49,0.79,98.65,191.48,57.37,129.48,220.47,17.41,30.83,32.23,69.78,17.08,140.34,60.69,0.75,95.23,100.29
1.1,70.8,14.88,79.91,6.64,2.46,0.78,97.16,190.08,57.15,127.64,219.8,17.81,30.8,32.19,69.78,17,139.26,60.08,0.75,94.55,99.45
1.15,70.8,14.88,79.69,6.56,2.45,0.78,98.45,188.81,56.66,126.85,217.15,17.29,30.24,31.77,68.5,16.88,137.36,59.61,0.75,92.78,98.6
1.15,70.8,14.88,79.69,6.56,2.45,0.78,100.69,188.81,56.66,126.85,217.15,17.29,30.24,31.77,68.5,16.88,137.36,59.61,0.75,92.78,98.6
1.15,70.02,14.27,78.46,6.48,2.38,0.8,97.64,187.51,56.37,124.22,213.21,16.83,29.16,31.48,67.27,17.88,136.07,61.39,0.75,89.58,97.65
1.17,70.97,14.83,79.33,6.49,2.4,0.81,98.59,192.39,56.46,127.02,218.26,17.02,29.23,31.86,70.8,19.86,136.64,65.54,0.75,91.7,98.45
1.11,69.98,14.48,78.94,6.73,2.38,0.81,97.41,190.47,54.92,127.47,217.63,17.64,29.06,31.4,73.13,18.98,135.26,63.22,0.75,90.51,97.33
1.07,66.37,14.47,79.21,6.64,2.32,0.81,97.27,188.11,54.2,124.89,213.29,16.59,28.68,30.59,70.45,18.14,130.8,60.54,0.75,89.1,94.47
1.05,68.33,14.28,79.86,6.82,2.38,0.83,96.93,186.07,53.32,127.22,212.91,16.28,28.13,30.29,69.62,17.38,130.19,58.23,0.75,86.85,93.71
0.87,67.01,14.36,82.78,6.92,2.35,0.84,97.82,188.11,53.38,126.47,215.35,15.86,28.43,30.25,69.54,17.13,131.29,56,0.75,88.14,93.7
0.81,68.56,14.52,83.57,6.85,2.36,0.87,97.36,188.92,53.38,129.02,217.96,16.02,28.57,30.5,70.52,17.37,132.49,56.75,0.75,87.96,94.41
0.82,68.8,14.63,83.19,6.89,2.38,0.86,96.7,184.86,52.39,122.91,214.4,15.41,28.94,30.43,69.03,16.18,129.05,51.89,0.75,86.58,92.44
0.82,65.58,13.98,80.77,6.81,2.37,0.85,94.77,185.55,52.5,124.96,216.42,15.48,29.64,29.49,68.65,15.99,129.04,52.35,0.75,87.72,94
0.76,62.5,13.31,78.89,6.74,2.31,0.84,94.74,184.21,50.51,123.65,215.99,14.63,29.47,28.8,67.95,15.78,125.99,53.26,0.75,87.7,92.59
0.75,63.91,13.07,78.07,6.69,2.29,0.83,96.06,184.21,50.51,123.65,215.99,14.63,29.47,28.8,67.95,15.78,125.99,53.26,0.75,87.7,92.59
0.77,66.77,13.35,79.73,6.65,2.34,0.85,96.24,186.75,50.28,121.8,215.29,14.5,29.1,28.45,65.75,15.51,127.38,52.78,0.75,86.61,92.66
0.77,64.1,12.7,77.07,6.44,2.26,0.83,93.94,182.56,50.03,121.98,210.4,15.1,28.23,27.79,65.66,15.58,124.18,53.98,0.75,87.92,91.62
