"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.3,84.16,11.26,133.43,7.05,3.71,2.34,127.54,285.86,72,221.79,311.13,57.65,54.52,58.02,111.37,10.72,173.24,61.53,3.32,172.46,140.72
1.25,84.55,11.5,136.54,7.16,3.88,2.39,125.67,269.98,73.37,219.04,306.41,58.95,55.6,56.97,111.36,10.89,170.6,62.36,3.28,174.42,142.79
1.29,81.19,11.2,132.5,6.99,3.8,2.31,126.56,269.84,72.68,216.86,305.05,56.95,54.88,57.52,111.96,10.78,169.86,60.87,3.35,172.98,141.4
1.29,85.52,10.99,128.06,6.86,3.7,2.31,126.51,256.3,71.42,208.59,286.67,55.9,54.96,56.02,107.38,10.46,167.04,60.74,3.35,171.91,141.06
1.28,85.45,10.82,126.28,6.67,3.64,2.32,126.51,261.1,72.32,214.16,291.07,57.95,55.87,57.25,109.87,11.04,171.89,61.28,3.2,174.45,142.96
1.31,89.03,11.06,130.31,6.91,3.73,2.35,127.8,261.95,73.26,218.48,293.85,61.72,57.28,58.46,109.46,10.51,172.58,59.39,3.06,178.46,144.82
1.33,89.9,10.98,130.31,6.9,3.72,2.44,129.23,273.15,75.25,223.98,299.42,61.4,57.99,59.81,110.94,10.59,178.4,56.25,3.19,173,144.45
1.35,92.65,11.1,131.81,7.04,3.71,2.53,128.6,273.8,75.16,220.49,299.28,61.2,55.16,59.91,110.53,10.38,176.98,56.16,3,172.62,145.48
1.35,89.53,11.01,130.08,6.83,3.66,2.54,128.06,279.44,75.05,226.27,303.21,60.44,55.85,60.15,109.98,10.05,177.97,56.26,3.22,172.63,147.18
1.33,87.6,11.12,132.27,6.84,3.68,2.51,128.23,282.74,75.46,228,306.56,60.08,57.52,60.67,110.87,10.52,182.2,58.36,3.23,175.49,148.45
1.36,87.53,11.26,131.87,7.01,3.73,2.57,130.33,285.91,77,234.08,309.82,50.7,60.7,46.26,114.3,10.61,185.03,57.83,2.85,182.27,150.2
1.36,91.17,11.2,131.7,7.02,3.7,2.55,132.05,284.03,77.47,220.06,308.56,50.66,61.04,46.45,112.15,10.45,184.56,58.26,3.35,182.28,150.55
1.37,91.79,10.22,131,6.95,3.62,2.58,131.99,285.73,77.09,223.65,313.12,52.25,60.42,47.29,110.74,10.38,184.5,58.1,3.35,181.53,150.32
1.38,86.77,10.39,131,6.96,3.65,2.54,129.98,277.55,75.67,214.13,305.12,50,58.59,44.23,107.33,10.42,181.01,58.06,2.9,180.46,148.13
1.38,89.1,10.45,132.33,7.11,3.65,2.56,128.23,273.64,76.16,213.18,305.74,50.29,59.21,42.34,108.04,10.45,180.08,57.57,3.1,180.58,147.68
1.36,91.77,10.26,129.91,7.06,3.59,2.57,124.87,270.72,76.02,213.45,303.39,49.57,56.58,43.86,107.81,10.55,179.84,56.99,3.02,176.66,147.53
1.36,88.08,9.93,128.64,7,3.6,2.59,123.81,272.35,76.52,215.08,305.48,49.58,56.9,43.45,110.19,10.74,182.34,56.93,3.08,180.65,147.77
1.39,87.99,9.76,128.75,6.93,3.57,2.53,125.73,272.64,76.75,216.42,301.24,49.95,57.2,44.85,108.87,10.42,183.06,56.2,3,180.43,148.55
1.37,87.9,9.6,126.91,6.82,3.54,2.5,126.13,269.26,75.41,211.83,294.59,46.99,55.45,43.31,106.45,10.15,179.38,56,2.76,175.99,147.47
1.38,86.1,9.49,125.3,6.69,3.49,2.42,125.18,266.81,74.32,209.71,293.86,45.22,54.97,41.78,105.62,10.13,175.92,55.89,3.24,174.49,144.05
1.37,89.03,9.51,127.14,6.78,3.62,2.47,127.68,267.71,74.15,210.4,294.29,46.66,55.1,43.19,107.17,10.31,176.75,56,2.95,176.54,144.1
1.37,91.08,9.52,125.76,6.66,3.55,2.44,128.32,267.71,74.15,210.4,294.29,46.66,55.1,43.19,107.17,10.31,176.75,56,2.95,176.54,144.1
1.37,91.15,9.68,124.78,6.65,3.61,2.44,128.95,266.59,76.11,211.53,295.38,46.68,55,42.86,107.59,10.18,178.26,56,2.95,175.21,143.26
1.38,96.98,9.88,126.33,6.73,3.73,2.45,131.53,265.9,75.48,212.87,295.28,46.86,56.24,42.73,107.85,10.2,179.69,55.72,2.9,177.16,143.22
1.36,91.86,9.94,124.89,6.61,3.72,2.47,131.01,260.34,72.36,204.08,295.29,46.52,55.46,43.28,105.62,9.9,178.64,55.03,2.9,170.59,142.89
1.34,91.15,9.84,124.03,6.44,3.7,2.53,132.19,263.14,72.39,213.96,299.94,45.38,57.35,45,108.61,9.81,182.03,55,2.7,170.93,144.3
1.33,95.23,9.98,123.68,6.44,3.77,2.53,130.67,260.67,71.49,214.85,302.42,44.07,56.22,45.02,108.47,9.37,182.17,53.04,2.9,168.32,145.74
1.36,94.4,10.04,124.89,6.45,3.78,2.48,133.83,259.88,71.86,215.5,300.43,43.47,56.3,45.22,110.4,9.35,184.89,53.61,2.8,164.91,146.75
1.38,101.27,10.31,126.51,6.58,3.92,2.45,134.55,261.47,72.9,213.93,296.79,45.18,57.01,45.17,110.64,9.39,181.57,53.97,2.75,164.43,148.98
1.43,95.02,10.1,123.05,6.22,3.81,2.43,133.57,249.84,71.29,203.62,286.73,43.64,53.9,43.02,107.7,9.08,173.18,51.83,2.9,157.12,142.68
1.39,95.72,9.99,122.24,6.04,3.69,2.46,134.66,249.84,71.29,203.62,286.73,43.64,53.9,43.02,107.7,9.08,173.18,51.83,2.9,157.12,142.68
1.34,90.41,9.55,119.76,5.85,3.53,2.46,130.27,257.01,71.63,202.89,286.35,44.51,53.54,42.8,104.97,9.38,171.02,53.1,2.67,159,141.56
1.36,89.79,9.6,120.05,5.91,3.5,2.47,130.81,257.54,70.45,198.49,285.4,43.52,53.67,41.86,103.58,10.82,167.38,52.79,2.67,157.17,138.71
1.37,86.17,9.29,117.74,5.96,3.37,2.42,131.07,270.23,70.43,199.56,298.4,44.3,54.89,41.54,103.13,10.39,172.2,52.63,2.67,159.25,137.95
1.35,86.77,9.47,120.68,5.97,3.47,2.39,134.69,268,70.15,200.61,292.15,44.21,54.49,41.12,102.38,10.18,172.27,53.02,2.8,159.1,136.81
1.34,91.66,9.52,124.43,6.02,3.63,2.31,135.64,270.11,70.58,202.64,292.5,45.59,55.43,42.06,105.63,10.01,171.22,53.73,2.85,163.01,138.29
1.35,92.16,9.43,121.84,6.02,3.64,2.31,134.98,267.85,70.34,199.69,292.23,45.12,55.19,42.18,104.2,9.81,171.01,52.68,2.95,161.19,138.82
1.36,89.9,9.42,119.88,5.99,3.59,2.22,132.85,262.71,70.07,198.3,287.7,44.65,55.22,41.82,103.34,9.78,168.97,53.1,2.95,159.27,136.44
1.41,90.53,9.25,118.55,5.97,3.59,2.17,133.4,257.24,68.01,197.36,279.23,43.8,53.33,41.13,101.52,9.72,163.45,53.05,2.68,152.93,134.38
1.43,90.9,9.39,119.36,6.01,3.61,2.18,133.4,256.94,68.29,197.09,279.47,44.46,53.79,40.76,103.83,9.75,162.81,53.29,3.1,152.13,135.18
1.42,90.23,9.52,118.55,5.98,3.65,2.23,135.04,253.35,67.12,188.75,273.96,44.82,52.82,40.07,101.56,9.75,158.99,52.55,2.75,151.61,133.26
1.4,87.69,9.22,117.74,5.98,3.57,2.19,130.64,243.62,64.66,185.22,265.29,41.37,51.95,38.77,100.04,9.68,154.61,52.44,2.55,147.55,130.67
1.4,89.23,8.92,116.47,5.97,3.6,2.26,126.36,235.24,62.63,179.56,256.55,41.79,49.7,37.16,99.04,9.6,150.49,50.93,2.8,141.86,129.44
1.41,89.23,8.92,114.33,5.93,3.56,2.27,122.17,226.23,60.2,177.03,245.22,39.74,48.91,36.76,97.15,9.43,148.21,50.55,3.01,139.42,124.83
1.41,89.23,8.92,114.33,5.93,3.56,2.23,124.93,226.23,60.2,177.03,245.22,39.74,48.91,36.76,97.15,9.43,148.21,50.55,3.01,139.42,124.83
1.41,89.23,8.92,114.33,5.93,3.56,2.24,123.49,232.64,62.53,183.76,251.62,41.76,50.72,37.57,99.44,9.6,152.17,52.28,3,143.24,129.57
1.42,89.14,8.75,114.42,5.98,3.59,2.24,122.51,239.57,62.38,187.57,259.79,43,51.97,37.24,101.41,9.62,155.12,52.17,2.75,143.12,131.57
1.43,89.37,8.85,116.24,6.07,3.63,2.22,123.78,242.25,62.13,188.17,261.26,43.03,51.97,36.92,100.6,9.68,155.32,52.57,3.04,143.94,130.76
1.42,89.37,8.85,117.63,6.03,3.69,2.24,123.15,244.9,62.8,190.31,261.84,43.75,52.3,38.23,102.12,9.88,157.21,53.22,3.01,144.03,132.12
1.42,89.37,8.85,117.63,6.03,3.69,2.24,123.49,244.9,62.8,190.31,261.84,43.75,52.3,38.23,102.12,9.88,157.21,53.22,3.01,144.03,132.12
1.4,92.72,8.86,117.28,6.11,3.6,2.18,122.69,246.37,63.88,192.56,264.73,45.11,51.56,38.9,103.02,10.02,157.26,54,3.01,141.93,131.83
1.41,89.03,8.66,114.42,6.11,3.5,2.1,124.47,239.92,61.03,188.84,258.08,43.29,51.05,38.1,99.45,9.98,153.37,52.63,2.7,140.81,130.07
1.4,92.99,9.01,117.86,6.21,3.67,2.13,127.8,247.9,63.12,195.52,265.04,46.01,52.52,39.63,102.89,9.96,157.77,52.87,3.1,144.6,134.62
1.39,94.01,9.01,115.32,6.12,3.6,2.13,129.87,249.83,63.09,195.99,268.08,48.15,52.71,39.79,102.52,10.12,158.65,53.89,3.2,143.08,135.37
1.44,96.06,9.14,117.05,6.24,3.78,2.13,129.89,250.96,64.23,194.67,269.87,49.41,54.14,40.34,104.71,10.35,158.66,54.63,3.19,147.16,135.09
1.44,97.33,9.28,119.24,6.39,3.84,2.13,132.11,252.15,64.48,192.3,270.54,50.26,54.33,40.66,105.34,10.34,160.9,54.75,3.22,148.49,135.72
1.42,96.29,9.18,119.47,6.45,3.82,2.19,130.38,257.66,65.12,192.53,277.5,49.69,53.9,40.63,107.46,10.28,162.43,54.85,3.45,148.55,137.75
1.43,95.07,9.17,118.26,6.53,3.87,2.16,128.72,256.05,64.85,194.52,277.73,49.45,54.39,40.62,107.45,10.43,163.81,55.61,3.55,149.62,137.36
1.42,95.51,8.95,116.59,6.52,3.84,2.15,126.59,259.96,65.38,196.03,277.51,49.78,53.41,40.55,106.37,10.34,164.53,55.78,3.7,147.78,137.61
1.45,96.62,8.61,116.19,6.64,3.94,2.17,129.15,258.94,65.5,197.49,276,49.35,53.94,41.06,107.99,10.22,163.14,55.36,3.7,149.2,137.77
1.47,96.34,8.79,114.28,6.64,3.94,2.21,131.53,255.74,65.39,195.57,272.39,49.63,54.13,42.01,108.88,10.31,163.6,55.81,3.79,150.25,138.02
1.51,96.04,8.76,113.73,6.54,3.84,2.19,128.43,264.08,66.51,197.12,278.8,50.22,55.4,43.03,110.89,10.24,165.72,56.37,3.83,153.56,139.88
1.51,97.65,9.1,115.11,6.7,3.98,2.25,130.44,267.75,67.18,200.29,282.87,50.19,55.79,44.2,112.01,10.25,168.58,55.97,3.85,154.93,141.85
1.53,98.34,9.32,116.42,6.76,4,2.25,129.46,267.75,67.18,200.29,282.87,50.19,55.79,44.2,112.01,10.25,168.58,55.97,3.85,154.93,141.85
1.54,97.58,9.21,116.42,6.72,3.96,2.26,130.61,264.73,65.5,196.5,279.59,48.7,54.91,43.57,108.71,10.07,167.22,55.24,4.25,154.18,139.82
1.54,100.4,9.2,113.15,6.69,3.88,2.3,131.19,270.23,69.03,196.61,283.51,48.06,54.62,43.2,109.69,9.79,168.81,55.39,3.9,154.82,140.74
1.54,103.79,9.43,110.71,6.74,3.88,2.33,129.78,269.82,68.16,199.05,285.25,48.43,55.35,44.25,110.47,9.35,170.82,53.95,4.03,156.04,141.18
1.56,104.48,9.52,110.8,6.71,3.86,2.34,129.29,272.84,68.31,202.08,287.04,49.1,55.07,45.08,112.06,9.29,171.22,54.21,4.1,157.46,141.71
1.56,104.36,9.57,111.19,6.63,3.81,2.33,129.23,274.3,67.88,204.58,287.87,49.1,54.19,45.17,112.28,9.23,172.19,54.14,3.98,156.14,140.48
1.5,104.78,9.59,110.59,6.74,3.87,2.37,129.03,280.13,69.5,206.45,292.05,49.04,54.57,45.59,112.76,9.09,176,53.4,4.08,157.7,141.74
1.48,106.09,9.63,112.76,6.75,3.94,2.45,128.69,280.82,70.26,208.79,291.67,49.74,55.12,45.94,113.69,9.22,170.91,53.34,4.25,158.84,143.28
1.46,105.17,9.75,111.47,6.72,3.93,2.39,129,275.55,69.64,206.45,289.69,51.01,56.37,46.42,113.52,9.27,171.17,54.48,4.13,167.18,143.63
1.46,104.76,9.86,113.91,6.78,4,2.31,129.72,272.96,70.18,206.37,290.58,50.65,56.84,46.8,113,9.26,169.03,53.97,4,168.44,144.71
1.57,104.57,9.98,114.65,6.74,3.99,2.26,127.83,278.73,70.27,211.33,298.77,52.91,58.44,48.05,114.16,9.29,174.61,54.93,4,172.42,147.93
1.57,105.1,10.08,117.68,6.85,4.07,2.22,129.52,278.46,71.23,211.81,299.46,52.5,59.18,48.4,116.17,9.9,172.22,57.1,4,175.32,148.69
1.56,106.67,10.18,117.86,6.87,4.04,2.21,130.3,280.41,71.58,211.07,299.83,52.12,58.64,48.53,116.16,9.62,172.76,57.14,4,175.51,148.9
1.57,104.23,9.83,114.93,6.81,4.01,2.21,131.36,278.53,71.2,210.24,300.13,51.98,58.19,48.59,115.71,9.44,173.59,56.26,3.89,175.62,148.15
1.6,103.53,9.86,115.49,6.83,4.01,2.21,131.47,280.62,72.25,209.26,301.5,51.43,58.01,48.42,116.41,9.26,172.12,55.97,3.89,175.53,148.61
1.61,103.72,9.99,116.01,6.84,4.06,2.27,132.54,281.47,72.38,210.55,300.04,53.13,57.27,48.62,115.77,9.31,170.93,56.34,4,174.05,148.48
1.62,105.75,10.1,115.61,6.76,4.06,2.2,132.57,284.08,73.13,214.27,304.11,53.3,57.4,49.13,117.51,9.45,172.76,57.22,3.87,174.04,150.36
1.64,106.67,10.2,116.93,6.8,4.18,2.17,133.83,283.3,73.38,215.99,304.42,53.7,57.2,49.39,117.98,9.41,173.48,57.37,3.75,176.92,151.48
1.65,106.69,10.12,120.16,6.91,4.22,2.23,135.18,280.6,73.21,214.48,301,54.59,57.18,50.09,118.12,9.49,172.1,57.78,3.7,178.21,150.52
1.67,106.56,10.27,123.22,6.92,4.32,2.26,136.84,286.98,75.35,219.7,307.23,55.43,58.64,51.45,120.13,9.72,175.24,58.99,3.69,180.06,153.32
1.69,107.73,10.3,123.57,6.89,4.32,2.28,136.36,286.98,75.35,219.7,307.23,55.43,58.64,51.45,120.13,9.72,175.24,58.99,3.69,180.06,153.32
1.68,107.22,10.15,123.33,6.72,4.33,2.26,136.99,287.35,75.87,218,305.18,55.81,57.92,51.54,120.08,9.88,174.78,59.05,3.45,180.13,153.28
1.72,109,10.28,123.68,6.63,4.39,2.28,138.42,288.22,75.75,220.83,307.2,56,58.47,51.84,121.19,9.9,174.45,59.56,3.5,182.69,154.58
1.73,107.92,9.98,123.39,6.11,4.36,2.34,138.25,287.5,74.51,217.04,304.51,55.49,54.03,51.88,120.96,9.79,171.63,57.77,3.44,182,152.61
1.7,108.22,10.1,124.14,6.18,4.36,2.39,138.02,288.71,75.36,217.11,307.13,55.74,53.24,53.03,121.42,9.85,172.54,59.2,3.6,183.88,153.2
1.7,110.87,10.23,125.7,6.25,4.34,2.33,138.83,287.05,75.66,213.6,305.97,58.05,53.89,52.87,121.62,9.65,173.14,58.82,3.6,182.58,154.06
1.72,108.95,10.3,124.43,6.21,4.34,2.38,140.35,286.55,75.02,212.03,305.88,60.22,53.33,53.08,119.2,9.62,170,57.88,3.3,179.61,153.92
1.72,108.31,10.31,123.57,6.17,4.37,2.28,138.42,286.77,74.85,210.24,307.58,55.49,54.44,53.13,124.26,9.83,169.34,58.16,3.35,180.98,154.6
1.62,108.68,10.22,124.83,6.12,4.24,2.28,137.05,289.96,74.12,209.41,309.41,53.83,54.35,52.35,123.29,9.64,170.22,56.95,3.3,182.26,154.07
1.61,118.38,10.16,123.57,6.18,4.02,2.22,137.05,287,74.18,210,309.47,54.45,54.98,51.76,122.59,9.95,169.28,57.51,3.15,184.31,155.72
1.59,116.47,10.03,124.08,6.25,3.98,2.24,138.71,283.1,74.16,206.37,304.69,51.2,54.81,50.46,121.08,9.02,166.75,53.84,3.1,182.83,154.5
1.61,116.82,10.12,126.04,6.26,4.06,2.26,138.25,282.87,74.28,206.45,305.76,51.4,54.39,50.42,120.4,8.75,168.03,52.25,3.1,181.58,154.15
1.65,118.2,10.13,124.66,6.27,4,2.22,137.56,280.46,73.96,204.57,303.32,49.98,53.42,49.08,117.44,8.58,166.47,51.63,3.03,179.26,153.74
1.68,114.79,9.95,122.76,6.2,4,2.14,137.82,276.44,73.41,201.46,303.01,48.47,53.2,49.3,115.89,8.73,166.34,51.66,3.2,179.34,152.48
1.68,112.51,9.78,124.6,6.11,3.92,2.11,137.22,275.96,73.15,200.12,300.95,46.86,53.92,48.71,114.57,7.65,166.14,51.11,3,179.36,151.59
1.7,113.71,9.96,123.97,6.12,3.94,2.07,138.63,279.22,74.32,200.52,304.4,47.97,54.23,49.05,114.29,7.41,169.51,50.62,3.2,182.14,153.19
1.7,113.01,10.06,122.99,6.14,3.94,2.15,135.87,275.17,73.53,203.69,301.92,48.33,53.78,49.64,114.3,7.36,168.77,50.79,2.93,180.61,153.5
1.71,115.07,9.96,123.57,6.08,3.95,2.1,135.81,279.16,74.69,207.83,303.45,47.63,53.43,49.55,115.03,7.19,171.72,50.56,2.8,183.52,155.04
1.71,114.17,11.27,126.16,6.18,3.99,2.14,133.74,274.75,74.84,207.3,298.51,47.05,54.02,49.09,114.63,7.18,169.59,50.01,3.1,185.5,155.25
1.71,115.55,11.47,127.26,6.28,3.99,2.16,135.06,271.21,74.27,204.41,296.15,47.96,53.52,49.4,112.25,7.44,169.79,50.35,3.1,183.56,155.35
1.7,116.24,11.79,127.43,6.39,4.04,2.18,135.01,274.89,74.85,207.41,297.64,50.02,54.72,50.4,115.12,7.35,171.67,51.29,3.12,184.65,156.93
1.67,118.26,11.99,126.91,6.37,4.08,2.18,133.83,271.01,74.62,205,296.6,52.04,53.72,50,114.02,7.43,170.72,51.63,3,183.44,157.24
1.68,114.14,11.98,124.78,6.36,4.1,2.13,134.98,270.46,73.91,204.75,295.98,52.65,53.45,49.57,115.51,7.3,168.49,50.96,3.26,181.78,156.29
1.66,113.84,11.97,124.78,6.39,4.11,2.12,134.98,272.48,74.84,207.81,299.01,54.54,53.86,49.79,116.29,7.24,169.83,52.02,3.15,185.76,158.45
1.65,109.21,11.69,121.89,6.17,4.02,2.07,133.03,268.36,73.82,203.13,294.01,52.05,51.93,48.08,112.89,7.15,165.85,50.8,3.25,180.27,155.83
1.65,109.09,11.64,121.43,6.01,3.98,2.08,130.38,268.6,73.96,203.37,294.12,52.89,52.53,48.51,112.46,7.33,166.62,51.58,3.14,182.14,155.93
1.62,108.65,11.8,122.3,5.96,3.96,2.03,133.89,265.85,74.4,203.25,294.92,53.36,53.07,48.78,111.95,7.28,166.9,52.07,3.25,183.33,157.48
1.59,107.71,11.65,120.97,6.13,3.96,1.87,134.29,263.92,74.49,202.97,293.95,52.52,53.05,48.23,112.5,7.3,166.56,53.04,3.2,181.44,157.11
1.57,105.75,11.83,121.2,6.16,4,1.91,134.55,267,75.07,205.11,295.6,53.85,53.73,49.41,113.12,7.26,167.76,53.04,3.15,182.55,158.54
1.65,106.69,11.95,123.1,6.34,4.01,1.98,134.86,269.6,76.02,207.2,300.16,54.41,54.02,49.58,113.34,7.17,169.28,53.02,3.25,182.02,158.92
1.61,111.42,12.01,125.87,6.34,4.08,1.97,137.65,274.11,78.56,212.44,304.29,55.26,54.35,50.84,112.54,7.1,172.31,52.89,3.2,185.9,161.47
1.66,111.05,11.96,124.72,6.36,4.03,1.93,140.69,273.33,77.8,210.82,303.1,54.38,53.39,50.2,112,7.04,169.94,52.53,3.02,181.7,161.04
1.66,113.31,12.07,124.37,6.51,4.04,1.94,139.8,266.76,77.45,208.62,297.27,55.38,53.77,49.96,110.03,7.18,167.75,53.27,3.1,182.65,160.29
1.69,113.2,12.11,124.89,6.52,4.02,2,137.85,271.01,78.27,209.49,299.67,55.12,53.42,50.45,112.48,7.37,169.17,53.8,3.1,182.64,161.07
1.69,110.82,12.16,124.83,6.62,4.12,2.03,140.43,276.3,78.87,212.8,302.58,57.73,54.78,50.9,112.88,7.47,171.12,54.42,3.1,184.39,161.7
1.69,112.09,12.11,124.43,6.62,4.05,1.98,140.43,276.9,78.78,214.23,305.66,60.32,54.8,51.15,113.21,7.4,172.3,55.7,3.05,184.22,162.06
1.69,112.23,11.85,121.66,6.62,3.99,2,140.43,273.47,78,212.88,302.68,58.66,54.36,50.45,110.67,7.31,169.17,54.17,3.04,181.38,160.85
1.69,109.88,11.79,120.57,6.61,3.95,1.97,147.07,270.53,77.66,212.23,299.12,60.12,54.76,50.72,110.16,7.44,169.37,54.19,2.86,183.6,159.97
1.72,110.64,11.8,122.35,6.65,3.91,1.97,146.98,277.39,78.34,217.53,305.59,60.92,55.74,51.21,111.85,7.51,171.43,54.42,3,185.29,160.9
1.77,112.44,12.1,122.59,6.68,3.96,1.95,150.06,283.05,79.8,219.28,309.7,61.87,55.62,52.05,112.18,7.43,174.93,54.44,2.87,186.45,162.47
1.77,116.13,12.32,123.51,6.62,3.96,1.95,148.96,280.22,79.36,219.17,308.71,60.75,55.51,52.13,112.33,7.37,172,54.67,2.9,186.84,162
1.79,116.47,12.33,123.91,6.7,4.01,1.97,147.73,281.61,79.83,221.05,310.06,61.55,55.5,52.18,112.7,7.33,173.74,54.8,3,186.95,162.86
1.81,115.32,12.32,122.41,6.71,4.03,1.99,145.52,278.77,80.09,219.95,310.5,61.5,55.43,51.43,110.53,7.49,174.53,54.22,3,186.29,162.89
1.85,117.28,12.24,124.26,6.46,4.03,1.97,142.73,281.16,80.8,220.9,314.26,59.82,55.58,51.89,112.39,7.49,176.85,54.7,3,186.32,169.06
1.85,117.28,12.24,124.26,6.46,4.03,1.97,143.34,281.16,80.8,220.9,314.26,59.82,55.58,51.89,112.39,7.49,176.85,54.7,3,186.32,169.06
1.85,117.28,12.24,124.26,6.46,4.03,1.95,141.99,282.89,80.75,219.09,315.26,60.74,55.95,51.7,112.16,7.41,177.03,53.78,2.99,187.51,168.24
1.84,116.53,12.26,124.2,6.48,4.07,1.95,143.31,292.61,82.59,225.67,333.1,62.87,57.73,52.7,114.67,7.5,182.37,54.51,2.97,190.42,171.81
1.87,117.51,12.17,127.14,6.48,4.1,1.99,143.31,280,82.33,225.34,330.12,62.58,58.91,51.97,114.12,7.54,180.73,56.07,2.75,190.59,171.29
1.87,116.88,12.13,127.72,6.47,4.15,1.95,143.31,279.19,82.41,223.32,328.87,62.94,59.51,51.06,113.53,7.57,176.88,56.55,2.95,187.75,170.42
1.9,117.8,12.09,129.04,6.51,4.1,1.98,141.87,283.13,83.03,221.54,328.33,62.86,60.22,50.92,114.73,7.66,178.07,57.39,2.83,189.51,172.25
1.89,118.49,12.01,129.5,6.53,4.13,1.93,144.71,286,83.82,220.94,328.59,63.37,61.29,51.14,115.09,7.57,179.21,56.63,2.88,190.61,172.55
1.95,118.66,11.87,122.76,6.49,4.1,1.9,143.82,289.91,84.11,222.58,333.33,63.5,61.99,51.1,113.94,7.57,178.72,55.99,2.83,194.94,173.63
2.01,118.66,11.87,122.76,6.46,4.1,1.9,145.14,289.31,83.51,223.14,331.85,63.79,62.18,50.7,114.31,7.55,176.39,55.28,2.68,190.03,170.94
1.97,117.63,11.74,121.26,6.33,4.13,1.87,142.36,289.93,82.46,207.63,332.55,64.26,63.01,49.71,114.57,7.54,174.57,55.74,2.61,202.71,171.38
1.9,118.43,11.62,121.66,6.32,4.18,1.89,143.56,292.04,83.54,212.03,334.07,65.3,63.85,49.73,115.85,7.57,176.69,55.75,2.7,204.81,173.54
1.87,113.61,11.4,120.45,6.32,4.18,1.86,141.15,291.34,82.69,210.64,335.72,65.84,63.02,50.52,115.82,7.57,175.36,55.61,2.7,204.41,172.61
1.83,112.74,11.27,118.09,6.2,4.09,1.89,141.76,288.38,79.88,208.55,330.9,64.64,62.69,50,113.3,7.57,170.48,54.52,2.45,199.5,169.85
1.83,113.84,11.25,117.68,6.17,4.1,1.81,141.76,290.56,80.85,206.92,334.18,67,62.75,50.24,113.35,7.22,168.29,50.74,2.68,200.07,170.36
1.83,115.67,11.56,116.07,6.18,4.09,1.75,141.76,295,80.72,207.38,339.36,66.73,63.01,49.89,113.64,7.24,172.05,51.1,2.7,202.94,170.39
1.84,117.74,11.59,115.9,6.16,4.11,1.72,141.78,300.8,80.9,208.54,341.35,63.73,62.96,49.95,115.09,7.18,173.08,51.67,2.68,204.08,171.63
1.92,113.47,11.05,114.12,6.06,4.02,1.65,140.58,295.48,77.83,205.28,335.37,64.76,61.44,48.24,109.31,7.16,167.99,51.82,2.39,197.07,166.82
1.9,115.09,11.16,113.87,6.11,4.07,1.69,142.16,295.64,79.02,205.74,336.17,66.33,62.02,48.93,112.87,7.25,168.49,53.24,2.47,198.32,168.16
1.92,118.55,11.37,115.55,6.11,4.1,1.65,143.31,294.49,79.02,205.01,334.15,65.41,62.12,48.83,114.1,7.18,167.72,53.29,2.23,202.19,169.38
1.94,119.41,11.57,117.86,6.1,4.19,1.65,141.9,304.71,79.77,208.73,339.39,68.18,62.9,48.96,117.6,7.21,169.85,53,2.29,205.64,170.79
2,117.68,11.56,117.51,6.12,4.2,1.75,142.53,306.69,78.89,207,337.99,68,62.18,48.1,116.11,7.07,166.37,51.89,2.24,203.75,169.95
1.99,115.95,11.47,117.05,6.03,4.22,1.65,142.76,314.58,78.73,209.95,342.01,65.43,61.36,47.54,115.2,6.96,169.29,51.57,2.2,203.29,168.62
2.01,117.05,11.65,117.22,6.06,4.11,1.64,145.6,316.24,80.23,211.98,343.95,67.84,62.66,48.65,117.68,6.81,171.45,51.66,2.34,205.55,169.6
2.08,118.03,11.75,116.65,6.03,4.12,1.54,147.7,316.63,79.87,210.02,341.3,68.3,62.74,48.08,116.98,6.86,169.28,52.06,2.19,208.76,169.31
2.12,115.04,11.59,114.35,5.95,3.99,1.56,146.18,311.09,76.94,204.32,340.07,67.03,61.09,47.67,115.74,7.04,163.58,52.23,2.2,204.97,166.44
2.07,114.47,11.64,114.31,5.91,3.98,1.6,148.19,312.07,77.5,205.54,338.78,67.14,61.55,47.8,115.26,6.92,164.03,51.87,2.1,205.35,166.68
2.09,115.09,11.39,113.94,5.91,3.98,1.58,146.24,312.07,77.5,205.54,338.78,67.14,61.55,47.8,115.26,6.92,164.03,51.87,2.1,205.35,166.68
2.11,116.47,11.14,113.8,5.88,3.92,1.61,147.33,308.23,76.63,204.59,337.89,68.51,62.1,47.95,114.24,6.8,163.66,51.8,2.1,202.9,165.26
2.14,111.31,10.87,112.32,5.83,3.87,1.61,147.5,306.01,76.36,204.39,339.34,68.02,61.93,47.88,113.35,6.64,162.31,51.34,1.95,201.24,164.37
2.13,111.28,11.29,113.8,5.83,3.9,1.68,149.34,309.81,75.73,204.86,341.96,68.05,61.77,46.87,113.19,6.64,162.23,51.22,2.05,202,165.45
2.14,110.13,11.47,113.66,5.94,3.85,1.7,146.78,303.25,74.49,205.12,338.54,66.78,61.37,46.54,111.49,6.44,160.82,49.71,2.14,203.52,164.31
