"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
16.2,0,0,0,28.59,0,154.85,0,6.63,0,0,0
16.35,0,0,0,28.61,0,156.84,0,6.86,0,0,0
16.05,0,0,0,29.09,0,156.25,0,6.34,0,0,0
15.75,0,0,0,29.38,0,156.64,0,6.08,0,0,0
15.15,0,0,0,29.42,0,155.58,0,6.52,0,0,0
15.3,0,0,0,29.98,0,156.06,0,6.1,0,0,0
14.93,0,0,0,29.26,0,157.77,0,6.11,0,0,0
14.47,0,0,0,29.26,0,158.49,0,6.13,0,0,0
13.05,0,0,0,28.69,0,158.83,0,5.81,0,0,0
12.3,0,0,0,28.95,0,159.19,0,5.57,0,0,0
12.6,0,0,0,28.98,0,159.59,0,5.56,0,0,0
12.2,0,0,0,28.36,0,161.11,0,5.48,0,0,0
12.16,0,0,0,29.22,0,163.52,0,5.77,0,0,0
10.2,0,0,0,29.18,0,162.94,0,5.64,0,0,0
9.48,0,0,0,29.8,0,161.9,0,5.21,0,0,0
9.6,0,0,0,29.29,0,161.47,0,5.22,0,0,0
8.85,0,0,0,29.31,0,162.53,0,5.48,0,0,0
8.85,0,0,0,28.85,0,158.15,0,5.5,0,0,0
8.07,0,0,0,28.62,0,154.48,0,5.66,0,0,0
8.18,0,0,0,27.84,0,156.09,0,5.5,0,0,0
8.12,0,0,0,28.26,0,154.1,0,5.8,0,0,0
8.24,0,0,0,27.78,0,154.29,0,6.15,0,0,0
7.85,0,0,0,27.65,0,157.7,0,6.19,0,0,0
7.61,0,0,0,27.29,0,156.9,0,6.24,0,0,0
8.4,0,0,0,27.29,0,157.95,0,6.25,0,0,0
8.84,0,0,0,27.29,0,157.83,0,6.37,0,0,0
8.84,0,0,0,27.29,0,157.83,0,6.37,0,0,0
8.6,0,0,0,27.58,0,153.15,0,6.46,0,0,0
8.11,0,0,0,27.39,0,153.81,0,6.14,0,0,0
8.03,0,0,0,27.36,0,154.15,0,6.45,0,0,0
8.03,0,0,0,27.36,0,153.4,0,6.25,0,0,0
9.68,0,0,0,28.1,0,155.1,0,6.33,0,0,0
9,0,0,0,28.3,0,151.11,0,6.09,0,0,0
8.41,0,0,0,29.13,0,154.06,0,6.12,0,0,0
8.05,0,0,0,28.85,0,154.1,0,5.82,0,0,0
7.82,0,0,0,28.85,0,153.4,0,5.44,0,0,0
