"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
23.5,46.96,94.18,32.97,13.3,19.17,0,22.48
23.17,46.71,93.89,32.91,13.08,18.86,0,22.05
23.19,47.32,95.77,33.09,13.3,18.92,0,22.09
23.32,47.8,97.41,33.38,13.25,18.72,0,22.11
24.01,50.62,103.47,34.07,13.52,19.1,0,22.69
23.82,50.19,102.24,33.93,13.87,19.18,0,23.14
24.23,50.77,104.66,34.13,13.86,19.7,0,22.9
23.98,50.65,97.95,34.34,13.61,19.61,0,23.01
23.96,50.24,97.93,34.12,13.43,19.44,0,22.65
23.8,49.78,96.92,33.81,13.35,19.06,0,22.97
23.78,49.97,97.66,33.89,13.4,18.99,0,23.2
24.06,50.19,98.25,34.35,13.17,18.4,0,22.63
24.45,49.87,97.51,34.41,13.22,18.75,0,22.75
24.64,50.96,100.05,34.77,13.14,18.84,0,22.93
24.9,51.84,100.19,35.04,13.49,19.38,0,22.74
24.63,51.72,99.59,35.18,13.22,19.39,0,22.21
24.89,52.08,102.66,35.51,13.36,20,0,22.34
24.5,51.8,99.75,35.61,13.27,19.82,0,22.03
24.84,52.56,103.74,35.57,13.28,19.74,0,21.91
24.49,52.36,101.42,35.41,12.93,19.57,0,23.05
24.43,52.49,101.33,35.41,12.87,19.57,0,22.89
24.36,52.12,99.68,35.61,12.81,19.69,0,22.92
24.16,52.21,97.38,35.16,12.41,19.8,0,22.81
24.23,52.58,97.1,35.32,12.02,19.76,0,22.84
24.31,52.22,96.39,35.45,12.38,20.26,0,22.68
23.55,50.36,90.81,35.08,12.51,20.04,0,22.21
23.66,50.76,90.51,34.85,12.5,19.95,0,22.23
23.76,50.33,89.85,34.52,12.51,19.92,0,22.23
23.76,50.9,90.72,34.69,12.43,19.71,0,22.15
23.81,50.96,90.15,34.18,12.51,19.52,0,22.31
23.89,50.21,89.32,33.99,12.52,19.5,0,22.54
24.65,53.81,93.17,34.91,12.72,19.73,0,22.84
24.58,53.93,92.38,35.07,12.67,19.66,0,22.37
24.58,53.93,92.38,35.07,12.67,19.66,0,22.37
24.72,54.73,92.79,35.37,12.71,19.63,0,22.31
25.17,55.05,94.35,35.59,12.89,19.77,0,22.21
25.3,55.68,95.78,36,12.97,19.8,0,21.98
24.76,55.64,98.41,35.53,12.77,19.03,0,21.44
25.08,56.89,104.01,35.92,12.94,19.13,0,21.55
24.86,56.54,103.71,34.91,12.66,18.54,0,20.8
25.22,58.31,107.25,35.49,12.6,18.69,0,21.05
25.54,58.43,108.68,36.07,12.66,18.73,0,21.31
25.44,58.31,108.57,35.9,12.71,18.48,0,21.49
24.94,57.33,103.96,35.65,12.83,18.61,0,21.88
24.97,56.28,103.49,35.76,12.87,18.51,0,21.83
25.08,56.76,103,36.11,12.74,18.74,0,21.98
25.79,57.17,102.29,36.39,12.94,19.24,0,22.72
25.65,57.38,102.14,36.04,12.88,19.09,0,23.07
25.36,56.46,100.81,35.73,12.67,19.01,0,23.13
25.57,56.89,100.74,36.01,12.77,19.26,0,22.89
26.35,57.48,101.66,36.33,12.68,19.75,0,22.99
25.85,56.93,100.59,36.07,12.44,19.34,0,22.88
26.03,57.54,97.42,36.31,12.47,19.78,0,23.59
26.19,58.87,99.28,36.45,12.44,19.63,0,23.05
26.23,58.81,96.38,36.36,12.18,19.59,0,22.92
26.64,58.87,97.94,36.47,12.43,19.77,0,23.41
26.8,58.8,97.74,36.57,12.19,19.78,0,23.31
26.42,58.38,97.01,36.16,12.12,19.44,0,23.07
26.79,59.07,98.67,36.25,12.36,19.69,0,23.29
26.55,58.96,97.7,35.64,12.13,19.34,0,22.96
26.33,58.76,96.43,35.81,12.14,19.31,0,22.75
26.06,58.09,94.95,35.65,11.95,19.09,0,22.5
25.75,57.73,93.37,35.57,11.99,19,0,22.41
25.98,57.57,93.1,35.08,11.88,19,0,22.24
25.86,57.45,92.98,35.35,11.78,19.04,0,22.01
26.09,58.16,95.52,35.72,11.88,19.04,0,22.04
26.12,57.9,96,35.38,11.9,18.98,0,22.4
