"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
10.86,73.22,89.37,159.66,8.94,36.08,0,3.35,111,72.86,662.27,52.79,97.9,34.59,8.44,19.63,2.68,4.57,12.82,159.21,46.86,63.34,239.7
10.53,72.86,86.58,157.47,8.89,35.79,0,3.26,110.07,71.87,650.53,51.65,96.78,34.46,8.51,19.68,2.63,4.63,13.11,160.86,45.52,62.36,238.52
10.65,73.27,88.2,159.49,8.9,36.17,0,3.5,111.27,72.46,687.38,55.17,101.96,37.91,8.62,20.23,2.65,4.68,13.03,160.53,46,62.43,238.23
10.74,71.3,86.63,158.22,8.78,35.71,0,3.58,111.74,72.06,688.54,54.37,100.87,37.6,8.49,20.2,2.62,4.7,13.2,159.88,45.36,61.26,234.56
10.78,72.22,87.07,159.43,9.14,35.89,0,3.39,112.54,71.56,686.61,54.08,101.56,37.29,8.48,20.11,2.59,4.72,13.24,160.36,45.45,61.78,236.11
11.22,74.67,87.41,160.99,9.21,36.17,0,3.48,114.28,71.9,711.99,56.12,104.15,37.69,8.33,20.17,2.54,4.76,13.43,164.15,45.91,63.62,240.9
11.34,74.3,87.6,159.95,9.14,36.34,0,3.48,113.75,73.05,715.5,58.32,105.32,38.31,8.37,21.18,2.52,4.76,13.37,164.15,45.91,63.62,240.9
11.34,73.98,87.64,161.45,9.04,36.16,0,3.55,112.92,73.98,698.85,57.5,102.85,37.67,8.51,20.81,2.48,4.63,13.36,164.73,45.84,64.1,242.21
11.45,74.47,87.87,163.75,9.07,35.98,0,3.49,112.54,75.03,693.29,57.36,103.09,37.81,8.27,20.6,2.58,4.54,13.28,165.59,46.65,64.42,248.96
11.34,75.77,88.1,163.99,9.01,35.92,0,3.58,113.78,76.05,700.41,57.49,103.17,38.1,8.15,20.65,2.53,4.53,13.35,164.79,45.61,63.39,243.12
11.34,75.58,87.34,163.18,8.98,35.67,0,3.53,113.04,73.88,707.91,57.54,102.76,38.36,7.91,20.36,2.52,4.53,13.33,166.8,45.5,64.4,248.87
11.34,73.8,87.25,162.6,9.02,35.48,0,3.46,112.98,72.61,705.1,59.86,103.84,38.49,7.76,20.02,2.55,4.74,13.65,167.9,45.41,64.15,246.85
11.3,74.46,88.84,164.73,9.23,35.81,0,3.53,114.56,75,713.43,61.01,103.11,39.71,7.88,20.49,2.58,4.72,13.44,168.15,45.75,64.75,244.83
11.3,75.18,89.86,164.79,9.12,36.41,0,3.48,114.03,75.31,704.06,59.66,99.76,38.73,7.84,20.37,2.57,4.75,12.86,170.61,46.53,65.33,244.18
11.3,76.81,90.39,167.21,9.05,38.11,0,3.53,115.36,75.9,718.22,62.8,98.42,39.3,7.7,20.37,2.59,4.63,12.94,173.66,47.25,66.61,249.16
11.37,77.01,91.33,168.77,9.04,38.11,0,3.66,116.91,77.04,721.42,63.72,103.11,39.68,7.76,20.63,2.65,4.78,13.41,173.75,47.55,66,245.92
11.35,77.93,91.84,167.79,9.05,38.41,0,3.78,116.41,77.38,721.42,63.72,103.11,39.68,7.93,20.52,2.65,4.87,13.5,172.81,47.41,65.85,244.28
11.56,79.72,93.16,171.6,9.06,38.95,0,3.78,116.2,78.77,721.42,63.72,103.11,39.68,7.84,20.24,2.59,4.92,13.66,174.72,47.63,66.51,254.67
11.89,79.74,92.72,170.27,9.04,38.42,0,3.78,120.5,78.93,721.42,63.72,103.11,39.68,7.95,19.99,2.62,4.78,13.58,172.29,47.55,65.67,251.9
12.31,77.69,91.89,172.35,9.08,38.94,0,3.78,121.06,80.01,721.42,63.72,103.11,39.68,8.18,19.81,2.63,4.95,13.66,174.05,48.11,65.57,260.25
11.94,76.88,92.74,173.61,9.1,39.17,0,3.78,120.65,79.08,721.42,63.72,103.11,39.68,7.87,19.68,2.62,4.81,13.53,175.22,48.12,64.94,264.08
12.05,78.12,93.71,172.75,9.21,39.47,0,3.78,122.08,78,755.41,67.39,108.2,40.31,7.52,19.61,2.64,4.94,13.63,172.77,48.22,65.36,261.65
12.34,77.88,93.82,170.56,9.16,39.23,0,3.83,121.98,77.77,747.72,67.44,107.63,40.05,7.53,19.81,2.65,4.93,13.59,171.94,48.34,59.19,268.42
12.29,79.57,99.45,170.62,9.25,39.72,0,3.99,121.8,78.54,765.77,68.81,108.06,40.15,7.41,19.88,2.59,4.86,13.63,174.77,48.57,59.68,269.32
12.36,77.14,100.58,171.83,9.36,39.89,0,4.04,123.01,79.39,767.76,70.78,113.88,41.1,7.44,20.01,2.6,4.91,13.52,173.96,48.12,59.84,270.52
11.84,78.94,101.04,173.61,9.45,40.25,0,3.96,123.41,78.23,754.86,69.16,110.2,39.92,7.24,19.07,2.6,4.89,13.53,174.91,48.93,60.91,271.35
11.34,79.16,101.16,172.98,9.53,39.98,0,4.01,123.59,78.77,770.72,72.77,113.61,40.68,7.26,19.16,2.61,4.81,13.35,174.91,48.93,60.91,271.35
10.96,78.14,101.23,172.35,9.51,39.67,0,3.98,122.17,78,761.09,72.56,112.3,39.79,7.31,19.2,2.66,4.84,13.33,174.72,48.36,61.11,268.93
10.77,79.35,101.39,174.13,9.55,39.59,0,3.96,123.04,77.92,751.97,71.87,112.4,39.48,7.53,19.39,2.68,4.8,13.31,166.98,48.24,61.39,268.3
10.84,78.69,101.62,176.38,9.59,39.75,0,3.9,123.78,78.77,750.15,70.87,110.4,39.58,7.65,19.38,2.67,4.84,13.42,165.65,48.41,62.08,306.75
10.92,75.85,101.5,175.17,9.55,39.66,0,4,123.84,78.54,756.15,71.34,110.73,39.48,7.6,19.49,2.68,4.84,13.64,169.06,48.84,61.93,308.7
11.11,76.32,101.34,173.79,9.55,39.4,0,3.95,124.21,78.08,773.14,74.22,114.75,40.72,7.47,19.35,2.7,4.86,13.58,167.15,48.55,61.04,304.42
11.09,76.32,101.57,174.36,9.63,39.04,0,3.79,125.64,77.77,757.54,71.78,112.7,41.35,7.45,19.01,2.71,4.89,13.65,169.41,49.19,61.04,306.35
11.22,75.95,101.2,172.98,9.49,38.58,0,3.78,122.76,74.1,771.45,72.97,114.46,40.56,7.72,19.04,2.84,4.85,13.65,169.25,49.07,61.11,305.67
10.96,79.05,102.17,174.59,9.67,38.27,0,3.75,122.97,75.06,786.35,74.47,115.66,39.87,7.79,19.16,2.87,4.55,13.47,169.16,49.49,61.66,312.56
11.2,83.95,103.65,176.61,9.7,38.59,0,3.85,124.49,76.73,822.06,79.05,120.19,40.86,8.05,19.65,2.92,4.45,13.68,171.94,49.82,61.41,304.88
11.12,82.63,102.82,177.59,9.76,38.91,0,3.86,125.76,77.77,814.31,80.46,125.81,41.96,8.05,19.65,2.9,4.45,13.48,170.63,50.97,61.25,306.96
11.19,83.81,103.33,177.42,9.12,39.21,0,3.96,125.98,78.08,812.15,81,124.77,41.61,8.08,19.64,2.88,4.45,13.45,167.47,51.49,61.09,309.55
11.29,83.57,103.86,177.59,9.1,39.3,0,4.05,126.5,77.61,799.88,80.19,124.49,41.42,8.03,19.85,2.89,4.33,13.64,166.06,48.85,60.16,311.74
11.52,82.74,104.36,179.96,9.13,40.02,0,3.93,127.37,78.93,779.67,77.04,120.24,40.91,7.99,19.79,2.86,4.41,13.79,167.64,49.77,60.04,312.4
11.27,82.43,104.48,179.38,9.23,39.84,0,3.85,127.37,80.09,768.11,74.41,115.88,39.07,7.96,19.7,2.89,4.38,13.7,166.19,49.92,59.45,314.08
11.29,82.73,104.85,178.98,9.25,40.1,0,3.89,127.31,77.85,790.03,79.15,118.73,39.51,8.19,19.69,2.89,4.52,13.88,168.33,50.27,60.1,319.09
11.13,82.82,104.71,178.69,9.42,39.98,0,3.85,128.36,77.07,775.93,78.43,116.74,39.78,8.28,19.95,2.9,4.49,13.67,168.81,50.48,60.21,313.83
11.08,82.03,104.94,179.15,9.4,40.09,0,3.85,128.08,76.95,785.3,79.68,115.31,39.14,8.22,19.58,2.95,4.47,13.83,170.66,50.17,60.59,315.94
11.35,81.51,106.07,181.63,9.57,40.07,0,3.85,126.44,77.04,810.29,80.35,114.87,40.55,8.36,19.65,2.88,4.4,13.86,170.61,50.19,60.49,307.66
11.56,82.7,107.36,183.13,9.73,40.45,0,4,126.97,78,809.56,82.05,116.99,40.56,8.33,19.79,2.96,4.43,13.88,170.45,50.7,60.82,306.62
11.81,83.45,106.23,182.09,9.69,40.52,0,4.21,127.49,78.39,843.72,90.26,124.7,43.27,8.18,19.82,2.96,4.57,13.95,171.08,51.05,60.95,312.6
11.57,85.68,106.35,181.11,9.74,40.24,0,4.15,128.11,78,825.51,89.57,122.38,42.68,8.2,19.7,2.98,4.54,13.9,167.33,51.28,60.76,302.36
11.54,84.39,106.74,182.09,9.77,40.39,0,4.22,126.78,75.52,825.71,89.26,122.84,42.5,8.15,19.74,3.04,4.49,13.8,164.6,50.63,59.77,298.42
11.27,84.75,107.59,184.63,9.93,41.23,0,4.03,127.28,75.06,818.37,88.42,123.65,41.97,8.15,19.74,3.05,4.49,14.06,169.39,51.36,60.81,297.16
11.3,82.81,106.95,181.63,9.77,40.53,0,4.09,126.84,74.69,826.96,89.62,123.86,41.86,8.06,19.51,3.01,4.42,14.06,169.53,51.74,59.45,286.04
11.02,82.12,106.62,182.9,10.08,40.58,0,3.98,125.33,73.08,807.79,86.25,118.63,40.78,7.87,18.81,3.1,4.36,14.08,168.04,52.29,58.75,286.51
10.92,83.66,107.94,184.4,10.22,41.11,0,3.89,128.17,73.42,805.09,87.98,117.89,39.81,7.82,19.21,3.11,4.49,14.04,171.71,52.72,59.48,292.57
10.94,84.43,107.73,183.76,10.1,40.7,0,3.97,128.14,73.42,821.23,91.63,122.81,42.23,7.7,19.31,3.11,4.37,13.87,170.12,52.59,59.29,290.92
10.92,84.36,108.33,184.51,10.15,41.14,0,3.99,129.51,75.9,840.29,94.05,123.63,42.84,7.59,19.6,3.12,4.43,14.08,172.5,52.65,59.27,290.95
10.92,86.21,108.49,184.51,10.09,41.22,0,4.24,128.64,75.99,889.44,98.94,135.83,44.96,7.9,19.89,3.17,4.45,14.15,175.33,52.78,59.65,294.73
11.25,85.95,107.64,182.78,10.02,40.76,0,4.21,129.01,75.69,894.66,100.58,134.47,48.07,7.83,20.15,3.23,4.44,14.16,177.59,53.59,60.37,290.03
11.27,86.41,109.19,185.43,10.02,41.26,0,4.09,130,76.99,885.28,100.05,130.29,48.08,7.71,20.06,3.17,4.43,14.03,176.71,52.9,60.15,285.61
11.3,86.17,109.14,184.97,9.97,40.72,0,4.33,130.77,76.48,879.55,99.36,128.87,50.62,7.64,19.98,3.23,4.45,13.87,179.69,52.66,59.84,279.7
11.12,87.07,109.83,184.51,10,40.84,0,4.35,130.47,76.14,900.91,104.39,130.19,51.14,7.67,20.27,3.18,4.58,14.17,191.45,53.09,60.76,284
10.78,88.68,109.46,184.74,10,40.98,0,4.35,129.97,76.3,900.91,104.39,130.19,51.14,7.65,20.27,3.17,4.61,13.73,193.3,53.22,60.63,268.33
10.81,88.25,109.39,184.97,10.08,41.09,0,4.28,131.49,75.45,937.57,106.23,127.11,50.51,7.61,20.15,3.13,4.58,13.86,192.34,53.02,60.79,267.81
10.94,88.34,108.98,184.34,9.89,41.12,0,4.37,131.33,75.14,942.57,114.59,129.25,50.41,7.76,20.32,3.16,4.67,13.91,190.89,52.86,59.55,269.34
10.96,89.38,109.21,184.51,10.06,41.03,0,4.48,131.55,75.12,987.34,111.44,133.31,50.58,7.8,20.05,3.06,4.64,13.77,190.1,53.01,59.4,268.05
11.13,90.04,108.79,184.69,10.13,41.01,0,4.35,131.55,75.21,963.6,103.94,124.96,49.78,7.91,20.23,3.07,4.56,13.69,191.17,53.09,60.07,266.59
11.39,90.42,108.47,183.13,10.11,40.92,0,4.33,131.12,75.28,951.94,103.76,126.34,50.83,7.8,20.29,3.07,4.51,13.79,190.53,53.27,59.98,261.27
11.58,90.68,108.98,183.3,10.14,40.99,0,4.5,132.48,75.54,944.65,104.78,124.91,49.14,7.85,20.09,3.06,4.6,13.8,190.92,53.69,60.45,264.21
11.82,91.09,108.08,180.01,10.03,40.95,0,4.43,131.18,74.8,978.91,106.45,126.23,49.77,7.93,20.57,3.11,4.63,13.79,190.01,52.58,59.53,268.4
11.88,90.36,108.61,180.3,9.94,40.88,0,4.48,130,73.22,991.52,107.92,125.09,49.84,7.93,20.57,3.1,4.5,13.79,191.58,52.9,59.42,265.82
12.25,92.07,108.61,178.4,9.95,41.06,0,4.49,130,73.22,984.75,106.59,127.05,52.91,7.88,20.25,3.1,4.51,13.92,198.8,52.85,61.4,266.97
12.25,92.07,108.61,178.4,9.95,41.06,0,4.49,130,73.22,992.1,105.88,128.3,52.08,7.88,20.25,3.1,4.51,13.92,198.8,52.85,61.4,266.97
12.25,92.07,108.61,178.4,9.95,41.06,0,4.49,130,73.22,988.6,105.33,126.53,51.5,7.84,20.23,3.08,4.62,13.9,205.46,52.98,61.16,271.34
12.33,92.05,110.18,179.32,10.15,41.78,0,4.51,131.3,75.68,1015.42,108.64,126.82,51.42,7.91,20.24,3.08,4.67,13.97,207.48,52.86,61.28,277.73
12.66,91.4,109.62,180.76,10.17,41.79,0,4.53,131.58,75.69,1010.26,107.8,125.78,51.35,7.91,20.37,3.11,4.68,13.46,210.14,53.13,62.51,276.43
12.66,89.56,110.15,180.3,10.3,41.72,0,4.44,130.34,73.98,991.9,104.78,123.66,50.09,7.81,20.68,3.12,4.84,13.43,212.16,52.67,62.8,300
12.56,90.27,111.05,179.61,10.25,42.33,0,4.42,133.72,74.13,984.23,106.52,122.06,50.61,7.8,20.47,3.12,4.83,13.52,212.16,53.59,63.83,304.56
12.52,90.86,110.41,180.42,10.22,42.11,0,4.46,133.53,74.72,1012.32,106.54,125.24,49.06,7.8,20.47,3.16,4.85,13.43,212.54,52.98,63.88,304.09
12.58,91.4,110.98,179.15,10.36,42.47,0,4.6,133.07,73.82,1014.43,106.61,122.54,53.12,8,20.23,3.16,4.88,13.59,211.67,53.29,64.19,310.01
12.6,91.4,110.98,179.15,10.36,42.44,0,4.6,135.05,75.52,1014.43,106.61,122.54,53.12,8,20.23,3.16,4.88,13.59,212.09,52.15,59.35,304.75
12.55,90.81,111.05,178,10.16,42,0,4.78,132.88,75.12,1014.43,106.61,122.54,53.12,7.75,20.12,3.19,4.74,13.43,209.12,51.98,59.92,317.87
12.47,90.91,111.19,178.98,10.23,42.13,0,4.66,135.48,76.45,1014.43,106.61,122.54,53.12,7.57,19.76,3.18,4.73,13.36,211.4,53,61.37,328.86
11.88,90.58,111.03,178.75,10.21,42.13,0,4.58,134.58,76.33,943.61,95.94,113.43,52.08,7.45,19.59,3.16,4.77,13.41,210.41,52.62,60.98,328.36
11.83,87.35,110.34,178.63,10.44,42.19,0,4.58,134.4,76.93,926.94,99.94,118.37,54.31,7.45,19.68,3.19,4.66,13.36,207.87,52.46,60.08,327.9
11.05,87.55,111.03,181.11,10.61,42.56,0,4.6,135.2,76.42,921.11,99.86,118.72,52.81,7.51,19.41,3.24,4.73,13.15,207.19,52.84,59.18,334.99
11.02,85.56,109.74,178.05,10.52,42.56,0,4.41,135.48,76.47,894.46,95.62,115.07,49.87,7.5,19.56,3.28,4.62,13.16,201.89,52.31,58.35,332.94
11.04,85.46,110.59,177.13,10.63,42.63,0,4.58,135.32,76.14,944.77,103.32,119.35,53.23,7.67,19.27,3.34,4.57,13.29,203.23,51.88,58.64,347.83
10.92,84.48,109.23,176.38,10.56,42.74,0,4.58,135.08,75.6,929.03,107.9,117.88,54.85,7.53,19.3,3.35,4.49,13.29,201.06,50.71,57.87,344.38
11.08,85.53,111.28,178.05,10.48,43.09,0,4.44,135.08,75.09,923.37,106.73,116.54,54.36,7.57,19.51,3.38,4.48,13.51,205.33,51.71,58.42,347.76
11.34,86.11,111.84,179.32,10.45,43.57,0,4.52,136.19,76.08,965.48,114.46,126.12,56.16,7.46,19.28,3.41,4.39,13.41,204.99,51.56,58.3,343.86
11.33,86.96,113.18,183.24,10.48,44.01,0,4.68,136.41,76.64,968.51,114.55,126.19,56.55,7.47,19.24,3.4,4.4,13.43,206.8,52.31,58.54,343.56
11.44,85.68,112.3,185.15,10.57,43.98,0,4.57,136.41,76.64,944.43,110.88,124.34,54.45,7.58,19.41,3.44,4.36,13.22,204.79,52.13,58.66,341.69
11.35,84.15,111.77,183.13,10.52,43.92,0,4.34,136.19,77.13,921.69,108.32,123.47,54.15,7.89,19.59,3.43,4.36,13.26,203.05,51.79,58.06,347.6
11.2,84.03,111.79,185.43,10.6,43.67,0,4.26,135.42,76.7,932.15,108.53,122.76,53.79,7.86,20.33,3.39,4.52,13.26,205,52.68,58.77,346.56
11.27,84.68,112.3,186.7,10.56,43.59,0,4.38,137.06,77.03,924.86,107.6,121,52.96,7.74,20.32,3.3,4.55,13.42,204.97,52.83,59.25,342.61
11.22,84.99,111.42,186.53,10.48,43.59,0,4.32,136.53,76.1,896.74,103.97,117.01,50.97,7.62,19.78,3.27,4.55,13.29,206.21,52.26,59.42,336.94
11.04,84.79,112.81,187.74,10.48,43.98,0,4.23,138.48,76.75,914.97,105.21,119.62,51.55,7.81,20.28,3.25,4.51,13.24,198.68,52.13,58.72,335.43
11.06,85.67,113.04,188.03,10.48,43.98,0,4.23,139.22,75.99,915.49,106.23,120.41,51.45,7.65,19.53,3.24,4.55,13.23,198.68,52.13,58.72,335.43
11.23,85.29,112.28,187.4,10.41,44.12,0,4.23,139.72,75.88,924.86,107.38,122.38,51.55,7.76,19.63,3.27,4.57,13.33,194.24,51.35,57.24,335.8
11.1,83.7,110.91,185.38,10.28,43.55,0,4.31,136.28,73.67,949.76,108.89,121.62,50.67,7.63,19.41,3.23,4.56,13.65,188.9,50.84,55.46,320.53
11.06,85.34,111.75,186.59,10.15,44.07,0,4.3,136.28,73.67,942.88,107.41,120.17,50.92,7.69,19.31,3.19,4.61,13.76,187.29,51.03,54.75,317.73
11.01,83.73,108.42,181.98,10.08,43.68,0,4.4,136.28,73.67,926.94,105.45,119.11,50.63,7.9,19.17,3.03,4.64,13.94,176.45,49.98,54.98,314.3
10.67,84.21,109.78,183.36,10.08,44.16,0,4.41,135.88,72.12,929.03,105.67,118.42,49.28,7.95,19.01,3.04,4.6,13.92,177.23,50.32,55.9,315.65
10.6,85.68,109.72,180.25,10.12,43.32,0,4.26,133.81,71.45,911.63,103.31,115.84,47.81,8.15,19.1,3.09,4.58,13.8,184.44,51.78,57.98,305.76
10.67,85.74,110.82,183.36,10.16,43.82,0,4.31,133.81,71.45,907.78,103.16,116.5,47.01,8.15,19.1,3.1,4.6,13.9,187,54.1,57.42,309.88
10.83,85.63,111.03,181.51,10.08,44.27,0,4.32,137.49,73.78,897.92,101.33,116.34,46.97,7.94,18.76,3.11,4.66,13.69,184.16,55.87,57.71,319.69
10.93,87.03,111.98,184.74,10.13,44.75,0,4.32,138.57,73.98,897.92,101.33,116.34,46.97,7.86,18.67,3.08,4.65,13.58,188.4,56.5,56.97,320.4
10.93,87.3,113.11,183.82,10.02,44.7,0,4.39,138.57,73.98,907.24,104.61,118.11,48.22,8.04,19.1,3.16,4.66,13.84,191.96,57.25,54.74,317.96
11.22,87.61,112.76,183.59,10.16,44.59,0,4.41,138.17,74.15,948.7,113.47,122.15,50.84,8.02,19.21,3.17,4.68,13.9,194.96,57.18,54.63,333.56
11.15,88.72,113.71,183.47,10.18,45.05,0,4.39,140.52,74.56,944.34,112.08,120.7,49.8,8.21,19.36,3.17,4.67,14.08,189.32,57.58,54.85,338.21
11.13,88.05,113.66,183.3,10.13,44.98,0,4.49,140.22,74.35,947.77,111.23,118.7,49.39,8.07,19.27,3.18,4.72,14.08,189.34,57.29,55.11,341.85
11.02,86.93,111.19,182.03,10.1,44.9,0,4.47,136.19,73.5,950.9,109.32,118.58,49.16,7.87,19.22,3.18,4.66,13.83,187.63,56.26,54,339.01
10.9,86.41,111.58,184.63,10.15,44.66,0,4.41,136.5,73.78,949.44,108,118.67,47.39,7.69,19.17,3.15,4.7,13.79,187.23,54.88,53.66,337.56
10.92,89.25,112.14,187.91,10.29,44.54,0,4.42,137.71,74.04,955.06,108.4,119.27,47.92,7.63,19.15,3.16,4.77,13.82,181.97,54.22,54.11,338.39
11.21,89.79,112.74,187.22,10.08,44.47,0,4.58,136.47,73.84,970.7,110.3,120.23,49.15,7.42,19.23,3.11,4.81,13.82,184.32,55.01,54.66,338.34
11.14,91.06,113.82,188.84,10.34,44.59,0,4.67,136.59,74.53,1015.47,117.66,124.01,50.67,7.72,19.21,3.13,4.81,13.82,185.74,55.42,54.98,342.75
10.89,92.01,114.63,187.74,10.34,44.4,0,4.69,135.36,74.3,1016.83,117.67,125.1,49.68,7.87,19.26,3.06,4.87,13.75,183.73,55.11,55.42,346.34
10.92,91.55,115.04,188.55,10.61,45.07,0,4.68,137.15,74.46,1028.07,119.84,126.66,50.11,7.99,19.39,3.12,4.84,13.78,181.26,55.26,55.46,349.25
11,90.21,114.95,187.97,10.3,44.96,0,4.64,137.4,73.95,1023.78,119.67,126.18,49.76,7.99,19.1,3.18,4.8,13.74,183.9,55.71,55.4,361.19
10.86,89.19,113.61,187.11,9.96,44.51,0,4.62,136.35,73.57,1020.53,118.54,125.91,49.79,8.08,19.03,3.16,4.78,13.69,185.02,54.91,54.96,358.27
10.99,88.19,111.7,186.13,9.89,44.25,0,4.73,133.78,73.09,1037.71,122.17,125.73,52.13,8.21,18.84,3.18,4.77,13.65,188.21,55.28,55.33,365.53
10.92,89.77,113.18,186.88,9.93,44.45,0,4.76,134.67,74.13,1024.84,122.85,126.61,52,8.34,19.09,3.16,4.73,13.87,196.94,55.43,56,377.76
11.02,90.3,113.36,187.8,10.06,44.29,0,4.76,135.88,75.63,1074.69,131.23,135.31,52.89,8.39,19.32,3.08,4.71,13.76,196.09,56.15,56.31,380.3
11.27,92.16,114.47,186.13,10.2,45.07,0,4.79,138.14,76.17,1067.55,133.31,139.12,52.54,8.48,19.28,3.07,4.79,13.69,198.66,56.6,56.13,379.63
11.3,95.96,115.95,190.28,10.41,45.74,0,4.74,142.2,78.19,1028.91,129.05,137.04,51.39,8.27,19.77,3.05,4.99,13.87,199.9,57.33,56.86,383.38
11.27,95.39,115.55,188.61,10.21,45.53,0,4.71,141.48,77.38,1021.93,128.2,132.49,49.88,8.2,19.5,3.01,5.02,13.94,199.9,57.33,56.86,383.38
11.26,95.14,115,186.24,10.15,45.01,0,4.78,140.52,76.45,1041.32,135.2,134.75,50.32,8.28,19.69,3,5.02,14.2,197.49,57.16,56.85,386.51
11.13,94.92,116.13,186.41,10.18,45.32,0,4.82,142.94,77.04,1025.74,132.3,134.33,49.55,8.28,19.61,3.04,5,14.11,200.1,56.42,56.45,388.23
11.43,94.44,115.95,187.34,10.14,45.33,0,4.67,142.07,76.89,1016.58,131.23,134.72,49.82,8.11,19.26,3.03,5,14.17,198.04,56.04,55.54,381.94
11.71,93.14,114.17,182.49,10.1,45.16,0,4.76,141.3,75.91,1023.3,131.68,134.41,49.51,7.99,19.29,3.07,5.03,14.43,200.79,56.35,55.87,384.73
11.97,92.03,114.17,181.34,10.07,45.11,0,4.74,141.21,75.79,1022.24,128.63,133.32,48.7,8.07,19.47,3.07,4.94,14.45,197.67,56.38,54.77,382.91
11.57,91.02,114.54,181.4,10.01,44.54,0,4.59,139.32,74.5,1027.02,130.79,136.52,48.89,8.37,19.76,3.1,4.81,14.24,199.6,56.05,54.38,396.83
11.49,90.46,114.42,181.4,10.01,44.67,0,4.7,139.41,74.52,1016.44,130.28,134.18,48.94,8.37,19.43,3.08,4.82,14.41,198.59,55.83,53.7,386.92
11.67,90.81,115.38,181.11,9.99,44.92,0,4.7,138.67,74.36,1008.18,128.71,132.41,48.16,8.51,19.54,3.1,4.78,14.41,197.88,55.91,54.49,391.03
11.76,91.29,115.44,181.11,9.89,45.16,0,4.66,138.14,74.29,1003.49,128.73,131.54,49.01,8.51,19.86,3.07,4.75,14.33,199.38,55.75,54.29,390.47
11.89,91.36,114.97,181.05,9.97,44.65,0,4.76,138.2,74.21,986.83,126.02,129.25,49.2,8.58,19.94,3.03,4.82,14.37,202.6,55.73,54.39,389.44
12,96.42,115.44,181.34,9.84,44.49,0,4.78,139.1,75.39,995.55,127.21,131.21,49.06,8.3,19.57,3.04,4.78,14.25,201.57,55.66,54.59,387.58
11.95,97.45,115.38,181.74,9.87,44.4,0,4.8,139.13,75.2,996.74,128.57,131.25,48.51,8.55,19.66,3.02,4.75,14.2,201.17,55.17,54.23,393.85
12.11,98.83,116.47,184.86,9.83,44.76,0,4.92,139.63,76.14,993.58,125.03,127.58,49.48,8.42,19.85,2.97,4.76,14.07,202.29,55.9,56.3,385.8
12.38,99.56,117.22,182.67,9.93,44.05,0,4.95,139.57,75.68,985.64,124.46,126.09,49.21,8.26,19.61,2.88,4.75,13.98,204.09,55.38,56.65,385.64
12.71,103.79,118.03,181.51,9.85,42.56,0,4.97,141.58,76.62,1002.97,126.73,126.64,48.54,8.31,20,2.86,5.15,14.17,203.01,54.64,56.67,386.36
12.95,104.28,118.84,183.07,9.84,43.65,0,4.89,143.53,77.38,1005.09,126.28,125.29,48.01,8.45,20.03,2.86,5.23,14.08,203.92,55.23,56.59,398.5
12.93,105.38,111.31,182.61,9.74,44.82,0,4.87,140.37,78.28,1016.94,128.89,125.6,48.33,8.37,20.27,2.89,5.42,14.29,199,55.22,56.51,391.11
12.96,104.8,111.93,181.74,9.81,45.3,0,4.87,141.11,77.6,1019.56,128,124.65,48.02,8.11,19.96,2.97,5.37,14.09,200.95,55.1,56.92,386.69
12.95,105.02,112,183.42,9.71,45.23,0,4.74,142.63,77.91,1012.97,125.72,121.35,47.19,8.47,20.18,3.01,5.32,14.33,196.82,54.81,53.99,392.32
12.83,106.91,113.18,187.11,9.68,46.31,0,4.69,142.85,78.46,999.12,123.97,118.35,46.36,8.21,20,3.08,5.4,14.09,193.6,55,52.49,383.04
12.74,103.65,111.21,179.96,9.59,45.22,0,4.69,141.42,77.91,994.07,123.02,114.17,45.34,8.31,20.13,3.05,5.41,14.01,192.74,54.88,52.24,383.79
12.52,101.08,107.69,177.02,9.38,44.42,0,4.72,135.11,76.84,981.55,121.8,109.36,44.16,8.34,20.09,3.05,5.33,13.8,186.69,53.25,50.59,373.23
11.98,100.06,107.41,175.69,9.17,44.05,0,4.67,134.77,76.45,985.58,126.31,111.79,43.84,8.45,19.96,3.03,5.41,13.72,187.19,54.19,51.19,389.06
12.11,100.1,108.75,178.05,9.17,44.38,0,4.69,135.63,76.64,984.23,123.81,109.96,43.99,8.54,19.86,3.12,5.45,13.95,188.16,54.4,52.14,394.51
12.12,100.99,110.34,180.65,9.22,44.16,0,4.77,150.92,78.31,1012.01,125.52,110.19,46.1,8.52,19.47,3.09,5.33,14.02,193.26,55.79,52.72,406.88
12.13,100.61,109.28,179.96,9.03,44.46,0,4.73,151.05,77.66,1001.96,122.92,108.66,46.46,8.63,19.66,3.12,5.3,13.81,194.15,55.37,52.65,402.96
12.11,99.43,109.02,180.71,9.29,44.97,0,4.66,150.65,77.41,1060.91,127.94,110.66,47.6,8.63,19.66,3.14,5.15,12.83,193.05,54.93,52.01,402.54
12.14,98.86,108.33,179.67,9.14,44.65,0,4.55,150.68,78.68,1060.2,127.38,108.84,48.01,8.32,19.4,3.11,5.12,12.6,196.53,55.9,51.68,409.7
