"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
6.69,129.16,89.55,119.53,4.43,24.19,0,1.48,86.51,43.02,204.8,23.62,59.47,28.12,7.35,11.08,0,4.73,10.82,151.82,37.92,88.45,170.18
6.63,133.6,92.28,124.49,4.65,24.75,0,1.45,89.45,44.57,208.98,24.64,61.25,28.63,7.1,11.02,0,4.93,11.23,152.48,39.14,90.48,179.25
6.68,133.94,92.78,125.35,4.62,25.09,0,1.49,90.38,45.07,209.65,25.02,61.13,28.06,6.99,11.06,0,4.86,11.38,154.36,38.51,91.91,178.81
6.64,133.48,92.21,123.45,4.61,25.03,0,1.48,89.38,44.9,213.04,25.2,62.07,28.38,7,11.49,0,4.75,10.81,152.51,38.32,91.55,174.9
6.46,129.5,92.23,122.18,4.51,24.56,0,1.48,87.52,44.4,212.11,25.3,62.05,27.88,7.21,11.36,0,4.78,10.2,150.4,38.53,89.97,180.23
6.62,126.74,88.8,119.82,4.31,24.01,0,1.43,88.21,43.74,213.5,25.33,62,28.17,7.06,11.57,0,4.85,10.36,146.95,38.5,87.63,178.31
6.47,123.74,87.02,116.59,4.28,23.6,0,1.45,88.68,42.19,212.33,24.66,62.39,28.01,7.47,11.63,0,4.79,10.11,137.95,38.56,86.95,179.03
6.41,118.72,86.26,115.67,4.08,23.41,0,1.45,84.89,39.96,212.33,24.66,62.39,28.01,7.43,11.61,0,4.79,10.01,134.95,37.73,83.9,184.66
6.29,119.01,86.7,113.31,4.14,23.42,0,1.45,84.73,39.11,212.33,24.66,62.39,28.01,7.14,11.58,0,4.79,9.81,136.09,38.34,83.87,180.29
6.23,119.93,84.03,114.84,4.24,23.41,0,1.45,88.14,40.21,212.33,24.66,62.39,28.01,6.89,11.55,0,4.74,10.01,138.8,38.11,84.18,177.55
6.36,116.01,81.97,107.12,4,22.92,0,1.44,88.99,40.84,212.33,24.66,62.39,28.01,6.6,11.37,0,4.72,9.98,135.61,38.23,83.63,179.6
6.25,117.97,82.41,107.61,4.06,23.09,0,1.46,91.31,40.63,212.33,24.66,62.39,28.01,6.65,11.48,0,4.73,10.03,138.03,38.81,84.14,185.04
6.34,121.09,84.71,110.12,4.13,23.76,0,1.49,94.33,41.97,208.73,24.24,61.02,27.69,6.78,11.44,0,4.73,10.02,138.03,38.81,84.14,185.04
6.38,120.39,84.55,108.38,4.03,23.79,0,1.51,93.55,42.16,212.38,25.04,62.41,28.39,6.61,11.21,0,4.75,10.08,139.29,39.29,84.66,184.58
6.4,122.18,85.56,111.63,4.13,24.06,0,1.55,94.25,42.48,210.7,24.93,62.28,28.43,6.58,11.53,0,4.82,10,142.01,39.94,86.24,188.65
6.66,121.66,85.16,111.41,4.09,23.98,0,1.56,94.41,42.93,210.08,24.42,61.11,28.46,6.46,11.43,0,4.86,10.14,140.33,40.48,84.73,184.43
6.89,120.86,85.09,111.63,4.12,24.02,0,1.54,93.71,42.93,211.54,24.27,61.33,28.4,6.83,11.62,0,4.84,10.11,139.51,40.8,85.55,181.02
6.93,122.59,86.1,113.62,4.18,24.42,0,1.55,93.79,43.55,216.43,24.84,62.41,28.99,7.07,11.59,0,4.91,10.08,140.6,41.11,86.83,192.26
6.99,122.18,85.91,114.04,4.18,24.49,0,1.54,94.33,43.49,221.23,25,64.05,29.11,7.35,11.39,0,4.82,9.86,139.47,41.1,85.6,191.02
6.85,119.64,84.61,111.94,4.13,24.54,0,1.54,89.99,43.29,226.78,25.19,63.63,29.17,7.39,11.24,0,4.8,9.7,139.08,40.94,86.14,190.23
6.9,117.63,85.8,113.34,4.23,24.66,0,1.5,92.08,43.33,221.23,24.04,60.11,27.65,7.6,11.42,0,4.68,9.71,143.64,41.36,86.63,191.92
6.95,117.74,85.75,113.41,4.2,24.5,0,1.46,92.32,43.33,225.84,24.41,61.29,27.83,7.78,11.41,0,4.66,9.86,142.05,40.04,85.19,188.95
7.06,119.47,85.52,113.14,4.18,24.42,0,1.48,91.85,43.47,223.83,23.39,59.69,27.64,7.56,11.45,0,4.66,9.93,141.43,39.39,85.27,188.11
6.88,120.62,88.29,115.78,4.33,24.71,0,1.5,92.86,43.44,227.49,23.78,61.66,27.79,7.53,11.52,0,4.82,10.12,144.52,39.06,86.54,189.06
6.85,120.28,87.47,113.3,4.39,24.46,0,1.77,92.08,44.26,233.53,24.86,65.15,28.94,7.16,11.48,0,4.79,10.28,143.78,38.48,86.63,194.96
6.87,119.41,86.39,112.79,4.41,24.34,0,1.84,92.63,45.76,237.27,25.52,66.66,28.91,7.07,11.47,0,4.87,10.38,144.45,38.74,88.54,199.73
6.93,122.18,87.5,114.47,4.48,24.61,0,1.77,93.48,46.41,248.69,26.21,68.8,28.7,6.94,11.49,0,5.05,10.44,143.9,39.21,90.22,198.72
6.8,121.78,87.33,113.95,4.49,24.42,0,1.77,92.94,45.5,243.34,26.41,67.7,29.2,6.94,11.49,0,5.06,10.36,138.71,39.01,89.33,199.48
6.84,120.28,87.5,113.75,4.43,24.52,0,1.75,91.93,45.66,238.72,26.1,67.75,28.96,6.95,11.5,0,5.03,10.38,139.97,39.2,88.4,175.21
