"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P.","U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P.","D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.TPB.P.","U.RLX.P.","U.PM.P.","A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
10.91,70.43,91.1,169.12,8.74,36.9,0,3.61,110.16,75.09,615.03,55.01,103.4,36.83,9.06,18.58,2.56,4.25,12.8,176.05,45.89,60.57,264.72,25.61,52.61,104.48,35.14,16.42,22.82,0,22.12,0.09,34.52,5.76,29.05,9.48,27.65,0,81.4,1.41,90.53,9.25,118.55,5.97,3.59,2.17,133.4,257.24,68.01,197.36,279.23,43.8,53.33,41.13,101.52,9.72,163.45,53.05,2.68,152.93,134.38
10.45,70.3,90.5,167.04,8.59,36.52,0,3.61,109.57,71.96,615.47,55.14,102.89,36.73,9.2,19.62,2.52,4.2,12.98,172.62,46.13,59.3,259.88,25.71,52.96,103.09,35.06,16.2,22.35,0,22,0.07,33.81,5.73,29.02,9.24,27.36,0,75.17,1.43,90.9,9.39,119.36,6.01,3.61,2.18,133.4,256.94,68.29,197.09,279.47,44.46,53.79,40.76,103.83,9.75,162.81,53.29,3.1,152.13,135.18
10.52,70.75,92.37,167.91,8.86,36.88,0,3.6,110.78,72.37,601.78,54.74,101.76,36.81,9.16,19.51,2.56,4.07,12.88,172.09,45.6,57.77,252.25,24.51,51.22,98.39,34.37,15.9,20.8,0,21.21,0.06,33.5,5.92,28.8,9.02,27.29,0,72.04,1.42,90.23,9.52,118.55,5.98,3.65,2.23,135.04,253.35,67.12,188.75,273.96,44.82,52.82,40.07,101.56,9.75,158.99,52.55,2.75,151.61,133.26
10.37,68.81,91.93,166.06,8.81,37.01,0,3.53,110.38,71.56,598.35,54.01,98.94,37.1,9.09,19.53,2.59,4.02,12.8,166.88,45.89,57.24,251.46,23.52,50.34,97.8,32.56,14.95,20.38,0,20.54,0.03,33.53,5.86,29.24,8.91,28.01,0,69.08,1.4,87.69,9.22,117.74,5.98,3.57,2.19,130.64,243.62,64.66,185.22,265.29,41.37,51.95,38.77,100.04,9.68,154.61,52.44,2.55,147.55,130.67
10.53,68.71,89.77,164.1,8.61,37.09,0,3.48,108.49,70.14,590.96,52.7,97.38,36.56,8.87,19.2,2.6,4.01,13.12,162.18,45.98,55.5,246.98,22.38,48.51,93.41,32.1,14.05,19.69,0,19.55,0.02,33.27,5.88,29.46,8.84,28.21,0,66.21,1.4,89.23,8.92,116.47,5.97,3.6,2.26,126.36,235.24,62.63,179.56,256.55,41.79,49.7,37.16,99.04,9.6,150.49,50.93,2.8,141.86,129.44
10.75,67.42,88.08,163.35,8.61,36.71,0,3.46,108.49,70.14,591.58,53.08,97.38,38.43,8.68,19.25,2.65,4.01,12.9,156.95,45.75,55.15,240.32,21.84,48.44,92.01,31.53,13.73,19.26,0,18.78,0.02,33.09,5.88,29.11,8.87,27.32,0,65.97,1.41,89.23,8.92,114.33,5.93,3.56,2.27,122.17,226.23,60.2,177.03,245.22,39.74,48.91,36.76,97.15,9.43,148.21,50.55,3.01,139.42,124.83
10.75,67.42,88.08,163.35,8.61,36.71,0,3.46,108.49,70.14,589.28,52.97,97.51,37.63,8.68,19.25,2.65,4.01,12.9,156.95,45.75,55.15,240.32,21.84,48.44,92.01,31.53,13.73,19.26,0,18.78,0.02,33.09,5.88,29.11,8.87,27.32,0,65.97,1.41,89.23,8.92,114.33,5.93,3.56,2.23,124.93,226.23,60.2,177.03,245.22,39.74,48.91,36.76,97.15,9.43,148.21,50.55,3.01,139.42,124.83
10.75,67.42,88.08,163.35,8.61,36.71,0,3.46,108.49,70.14,583.33,52.5,96.8,36.57,8.84,19.36,2.62,4,12.65,163.42,46.57,56.16,249.26,23.2,51.45,99.23,32.62,15.49,21.01,0,20.11,0.02,33.09,5.97,29.23,9.2,28.48,0,66.86,1.41,89.23,8.92,114.33,5.93,3.56,2.24,123.49,232.64,62.53,183.76,251.62,41.76,50.72,37.57,99.44,9.6,152.17,52.28,3,143.24,129.57
10.79,66.14,87.44,161.28,8.45,36.33,0,3.42,106.07,68.68,586.37,52.23,96.34,36.5,9.01,19.46,2.67,3.99,12.89,163.5,47.26,56.54,246.54,23.74,51.14,98.12,32.38,15.47,20.45,0,20,0.03,32.34,5.97,29.27,9,27.99,0,66.68,1.42,89.14,8.75,114.42,5.98,3.59,2.24,122.51,239.57,62.38,187.57,259.79,43,51.97,37.24,101.41,9.62,155.12,52.17,2.75,143.12,131.57
10.81,66.31,88.24,163.06,8.52,36.61,0,3.48,107.19,69.49,614.5,52.99,98.65,36.31,9.11,19.64,2.72,4.06,12.95,162.86,47.42,55.94,238.82,23.73,50.88,97.24,32.9,15.82,20.39,0,20.11,0.07,33.74,5.94,29.85,9.22,27.94,0,67.27,1.43,89.37,8.85,116.24,6.07,3.63,2.22,123.78,242.25,62.13,188.17,261.26,43.03,51.97,36.92,100.6,9.68,155.32,52.57,3.04,143.94,130.76
10.83,66.54,89.03,165.25,8.52,36.71,0,3.51,107.19,69.49,614.5,52.99,98.65,36.31,9.07,19.63,2.78,4.06,12.95,160.82,47.58,56.16,240.84,24.26,52.05,98.91,33.02,16.02,20.78,0,20.31,0.07,32.84,5.94,30.52,9.27,27.22,0,66.76,1.42,89.37,8.85,117.63,6.03,3.69,2.24,123.15,244.9,62.8,190.31,261.84,43.75,52.3,38.23,102.12,9.88,157.21,53.22,3.01,144.03,132.12
10.83,66.54,89.03,165.25,8.52,36.71,0,3.51,107.19,69.49,614.5,52.99,98.65,36.31,8.85,19.43,2.78,4.06,12.95,160.82,47.58,56.16,240.84,24.26,52.05,98.91,33.02,16.02,20.78,0,20.31,0.07,32.84,5.94,30.52,9.27,27.22,0,66.76,1.42,89.37,8.85,117.63,6.03,3.69,2.24,123.49,244.9,62.8,190.31,261.84,43.75,52.3,38.23,102.12,9.88,157.21,53.22,3.01,144.03,132.12
10.74,66.27,88.54,162.83,8.5,36.27,0,3.32,108.18,70.54,623.84,52.01,94.88,35.93,8.84,19.33,2.83,4.27,12.68,164.04,46.07,57.09,235.03,25.19,54.16,104.4,33.47,16.68,21.27,0,21.4,0.12,32.56,5.95,30.38,9.39,27.46,0,67.31,1.4,92.72,8.86,117.28,6.11,3.6,2.18,122.69,246.37,63.88,192.56,264.73,45.11,51.56,38.9,103.02,10.02,157.26,54,3.01,141.93,131.83
10.73,67.08,87.64,160.24,8.68,35.99,0,3.17,107.37,70.11,614.49,50.99,92.58,34.68,8.84,19.51,2.83,4.31,12.8,161.6,45.35,57.87,234.74,24.7,52.22,103.39,33.02,16.7,21.06,0,21.36,0.08,32.64,5.9,30.66,9.47,27.29,0,66.44,1.41,89.03,8.66,114.42,6.11,3.5,2.1,124.47,239.92,61.03,188.84,258.08,43.29,51.05,38.1,99.45,9.98,153.37,52.63,2.7,140.81,130.07
10.26,69.81,89.65,162.72,9.02,36,0,3.12,109.91,71.5,626.99,51.6,94.11,34.79,8.62,19.55,2.87,4.37,12.8,166.62,47.06,59.71,245.88,25.77,55.17,107.56,34.18,17.58,22.26,0,22.09,0.12,33.93,5.93,31.28,9.89,29.06,0,69.55,1.4,92.99,9.01,117.86,6.21,3.67,2.13,127.8,247.9,63.12,195.52,265.04,46.01,52.52,39.63,102.89,9.96,157.77,52.87,3.1,144.6,134.62
10.54,69.51,87.37,159.89,8.94,35.71,0,3.13,108.33,71.44,630.62,51.36,93.1,36.31,8.66,19.82,2.82,4.35,12.86,170.12,46.85,59.58,244.51,26.51,55.47,109.47,34.51,18.32,23.39,0,22.72,0.12,32.5,5.88,30,10.06,28.39,0,67.42,1.39,94.01,9.01,115.32,6.12,3.6,2.13,129.87,249.83,63.09,195.99,268.08,48.15,52.71,39.79,102.52,10.12,158.65,53.89,3.2,143.08,135.37
10.51,70.89,87.97,159.95,8.87,35.92,0,3.31,107.93,72.4,629.89,51.05,94.62,34.88,8.56,20.12,2.81,4.27,12.94,172.34,46.99,61.17,239.14,27.21,56.58,112.9,34.89,18.48,24.52,0,23.12,0.13,32.92,5.85,30.28,10.35,29.74,0,67.87,1.44,96.06,9.14,117.05,6.24,3.78,2.13,129.89,250.96,64.23,194.67,269.87,49.41,54.14,40.34,104.71,10.35,158.66,54.63,3.19,147.16,135.09
10.94,70.09,87.74,159.43,8.65,35.85,0,3.33,107.87,71.9,641.69,52.11,97.28,35.15,8.47,19.75,2.78,4.33,12.9,150.94,46.45,61,233.45,27.61,56.92,114.37,35.74,18.46,25.61,0,23.62,0.21,32.8,5.74,31.09,10.3,29.51,0,67.91,1.44,97.33,9.28,119.24,6.39,3.84,2.13,132.11,252.15,64.48,192.3,270.54,50.26,54.33,40.66,105.34,10.34,160.9,54.75,3.22,148.49,135.72
10.42,70.6,88.93,159.72,8.74,35.9,0,3.38,108.83,71.9,644.45,51.93,96.02,34.56,8.36,19.65,2.71,4.45,12.93,159.93,46.89,62.86,238.03,28,56.73,111.4,35.84,18.58,26.08,0,23.75,0.17,32.9,5.85,31.15,10.25,29.35,0,68.15,1.42,96.29,9.18,119.47,6.45,3.82,2.19,130.38,257.66,65.12,192.53,277.5,49.69,53.9,40.63,107.46,10.28,162.43,54.85,3.45,148.55,137.75
10.86,73.22,89.37,159.66,8.94,36.08,0,3.35,111,72.86,662.27,52.79,97.9,34.59,8.44,19.63,2.68,4.57,12.82,159.21,46.86,63.34,239.7,28,56.96,113.55,35.76,18.5,26.24,0,24.19,0.27,33.45,5.91,31.69,10.3,29.29,0,69.5,1.43,95.07,9.17,118.26,6.53,3.87,2.16,128.72,256.05,64.85,194.52,277.73,49.45,54.39,40.62,107.45,10.43,163.81,55.61,3.55,149.62,137.36
10.53,72.86,86.58,157.47,8.89,35.79,0,3.26,110.07,71.87,650.53,51.65,96.78,34.46,8.51,19.68,2.63,4.63,13.11,160.86,45.52,62.36,238.52,27.4,55.81,108.1,35.17,18.23,25.39,0,23.42,0.21,32.84,5.94,31.36,10.21,28.95,0,69.62,1.42,95.51,8.95,116.59,6.52,3.84,2.15,126.59,259.96,65.38,196.03,277.51,49.78,53.41,40.55,106.37,10.34,164.53,55.78,3.7,147.78,137.61
10.65,73.27,88.2,159.49,8.9,36.17,0,3.5,111.27,72.46,687.38,55.17,101.96,37.91,8.62,20.23,2.65,4.68,13.03,160.53,46,62.43,238.23,27.34,56.6,107.77,35.22,18.26,25.28,0,23.26,0.23,32.89,5.96,31.74,10.11,30.94,0,70.5,1.45,96.62,8.61,116.19,6.64,3.94,2.17,129.15,258.94,65.5,197.49,276,49.35,53.94,41.06,107.99,10.22,163.14,55.36,3.7,149.2,137.77
10.74,71.3,86.63,158.22,8.78,35.71,0,3.58,111.74,72.06,688.54,54.37,100.87,37.6,8.49,20.2,2.62,4.7,13.2,159.88,45.36,61.26,234.56,27.48,56.78,111.5,35.73,19.27,25.79,0,24.19,0.17,32.47,5.99,30.94,9.88,32.13,0,70.75,1.47,96.34,8.79,114.28,6.64,3.94,2.21,131.53,255.74,65.39,195.57,272.39,49.63,54.13,42.01,108.88,10.31,163.6,55.81,3.79,150.25,138.02
10.78,72.22,87.07,159.43,9.14,35.89,0,3.39,112.54,71.56,686.61,54.08,101.56,37.29,8.48,20.11,2.59,4.72,13.24,160.36,45.45,61.78,236.11,27.74,57.05,114.27,35.76,20.03,25.81,0,24.43,0.17,33,5.97,31.42,10.1,31.65,0,72.52,1.51,96.04,8.76,113.73,6.54,3.84,2.19,128.43,264.08,66.51,197.12,278.8,50.22,55.4,43.03,110.89,10.24,165.72,56.37,3.83,153.56,139.88
11.22,74.67,87.41,160.99,9.21,36.17,0,3.48,114.28,71.9,711.99,56.12,104.15,37.69,8.33,20.17,2.54,4.76,13.43,164.15,45.91,63.62,240.9,28.56,57.7,115.18,36.4,20.05,26.71,0,24.73,0.15,33.38,5.96,32.38,10.27,33.01,0,73.79,1.51,97.65,9.1,115.11,6.7,3.98,2.25,130.44,267.75,67.18,200.29,282.87,50.19,55.79,44.2,112.01,10.25,168.58,55.97,3.85,154.93,141.85
11.34,74.3,87.6,159.95,9.14,36.34,0,3.48,113.75,73.05,715.5,58.32,105.32,38.31,8.37,21.18,2.52,4.76,13.37,164.15,45.91,63.62,240.9,28.56,57.7,115.18,36.4,20.05,26.71,0,24.73,0.17,33.69,5.88,32.38,10.27,33.01,0,73.79,1.53,98.34,9.32,116.42,6.76,4,2.25,129.46,267.75,67.18,200.29,282.87,50.19,55.79,44.2,112.01,10.25,168.58,55.97,3.85,154.93,141.85
11.34,73.98,87.64,161.45,9.04,36.16,0,3.55,112.92,73.98,698.85,57.5,102.85,37.67,8.51,20.81,2.48,4.63,13.36,164.73,45.84,64.1,242.21,27.87,57.05,111.96,35.73,18.6,26.02,0,24.3,0.17,33.22,5.88,32.34,10,32.98,0,72.81,1.54,97.58,9.21,116.42,6.72,3.96,2.26,130.61,264.73,65.5,196.5,279.59,48.7,54.91,43.57,108.71,10.07,167.22,55.24,4.25,154.18,139.82
11.45,74.47,87.87,163.75,9.07,35.98,0,3.49,112.54,75.03,693.29,57.36,103.09,37.81,8.27,20.6,2.58,4.54,13.28,165.59,46.65,64.42,248.96,27.81,57.29,113.05,36.07,18.18,25.65,0,24.37,0.16,32.6,5.81,32.64,9.89,33.08,0,74,1.54,100.4,9.2,113.15,6.69,3.88,2.3,131.19,270.23,69.03,196.61,283.51,48.06,54.62,43.2,109.69,9.79,168.81,55.39,3.9,154.82,140.74
11.34,75.77,88.1,163.99,9.01,35.92,0,3.58,113.78,76.05,700.41,57.49,103.17,38.1,8.15,20.65,2.53,4.53,13.35,164.79,45.61,63.39,243.12,27.89,56.37,114.41,36.1,18.4,25.98,0,24.79,0.15,31.85,5.86,32.12,9.34,32.27,0,71.55,1.54,103.79,9.43,110.71,6.74,3.88,2.33,129.78,269.82,68.16,199.05,285.25,48.43,55.35,44.25,110.47,9.35,170.82,53.95,4.03,156.04,141.18
11.34,75.58,87.34,163.18,8.98,35.67,0,3.53,113.04,73.88,707.91,57.54,102.76,38.36,7.91,20.36,2.52,4.53,13.33,166.8,45.5,64.4,248.87,28.7,56.95,118.53,36.67,18.42,26.72,0,24.89,0.15,31.42,6.01,32.27,9.48,32.21,0,72.73,1.56,104.48,9.52,110.8,6.71,3.86,2.34,129.29,272.84,68.31,202.08,287.04,49.1,55.07,45.08,112.06,9.29,171.22,54.21,4.1,157.46,141.71
11.34,73.8,87.25,162.6,9.02,35.48,0,3.46,112.98,72.61,705.1,59.86,103.84,38.49,7.76,20.02,2.55,4.74,13.65,167.9,45.41,64.15,246.85,28.46,56.26,118.17,36.39,18.08,26.59,0,24.86,0.16,31.2,6.01,31.8,9.57,32.23,0,74.35,1.56,104.36,9.57,111.19,6.63,3.81,2.33,129.23,274.3,67.88,204.58,287.87,49.1,54.19,45.17,112.28,9.23,172.19,54.14,3.98,156.14,140.48
11.3,74.46,88.84,164.73,9.23,35.81,0,3.53,114.56,75,713.43,61.01,103.11,39.71,7.88,20.49,2.58,4.72,13.44,168.15,45.75,64.75,244.83,28.36,56.27,116.68,36.45,18.32,26.18,0,24.72,0.13,32.97,5.88,32.17,9.86,32.46,0,74.41,1.5,104.78,9.59,110.59,6.74,3.87,2.37,129.03,280.13,69.5,206.45,292.05,49.04,54.57,45.59,112.76,9.09,176,53.4,4.08,157.7,141.74
11.3,75.18,89.86,164.79,9.12,36.41,0,3.48,114.03,75.31,704.06,59.66,99.76,38.73,7.84,20.37,2.57,4.75,12.86,170.61,46.53,65.33,244.18,28.99,59.01,120.48,37.05,18.53,26.66,0,25,0.12,34.57,5.89,32.92,10.11,33.95,0,74.48,1.48,106.09,9.63,112.76,6.75,3.94,2.45,128.69,280.82,70.26,208.79,291.67,49.74,55.12,45.94,113.69,9.22,170.91,53.34,4.25,158.84,143.28
11.3,76.81,90.39,167.21,9.05,38.11,0,3.53,115.36,75.9,718.22,62.8,98.42,39.3,7.7,20.37,2.59,4.63,12.94,173.66,47.25,66.61,249.16,29.44,58.36,123.01,37.63,18.7,27.32,0,25.38,0.12,35.29,5.94,33.53,10.48,35.41,0,76.72,1.46,105.17,9.75,111.47,6.72,3.93,2.39,129,275.55,69.64,206.45,289.69,51.01,56.37,46.42,113.52,9.27,171.17,54.48,4.13,167.18,143.63
11.37,77.01,91.33,168.77,9.04,38.11,0,3.66,116.91,77.04,721.42,63.72,103.11,39.68,7.76,20.63,2.65,4.78,13.41,173.75,47.55,66,245.92,29.75,59.89,126.07,37.85,19.61,27.68,0,26.07,0.12,35.6,5.89,33.92,10.37,36.54,0,75.73,1.46,104.76,9.86,113.91,6.78,4,2.31,129.72,272.96,70.18,206.37,290.58,50.65,56.84,46.8,113,9.26,169.03,53.97,4,168.44,144.71
11.35,77.93,91.84,167.79,9.05,38.41,0,3.78,116.41,77.38,721.42,63.72,103.11,39.68,7.93,20.52,2.65,4.87,13.5,172.81,47.41,65.85,244.28,29.55,59.1,124.39,37.93,18.97,27.92,0,26.09,0.1,35.21,5.75,33.24,10.47,36.44,0,76.05,1.57,104.57,9.98,114.65,6.74,3.99,2.26,127.83,278.73,70.27,211.33,298.77,52.91,58.44,48.05,114.16,9.29,174.61,54.93,4,172.42,147.93
11.56,79.72,93.16,171.6,9.06,38.95,0,3.78,116.2,78.77,721.42,63.72,103.11,39.68,7.84,20.24,2.59,4.92,13.66,174.72,47.63,66.51,254.67,29.51,59.65,127.23,38.25,19.28,27.71,0,26.26,0.12,36.52,5.75,33.74,10.62,35.83,0,75.81,1.57,105.1,10.08,117.68,6.85,4.07,2.22,129.52,278.46,71.23,211.81,299.46,52.5,59.18,48.4,116.17,9.9,172.22,57.1,4,175.32,148.69
11.89,79.74,92.72,170.27,9.04,38.42,0,3.78,120.5,78.93,721.42,63.72,103.11,39.68,7.95,19.99,2.62,4.78,13.58,172.29,47.55,65.67,251.9,29.61,60.86,131.45,38.15,18.6,27.56,0,26.46,0.15,35.9,5.79,33.42,10.5,34.83,0,75.51,1.56,106.67,10.18,117.86,6.87,4.04,2.21,130.3,280.41,71.58,211.07,299.83,52.12,58.64,48.53,116.16,9.62,172.76,57.14,4,175.51,148.9
12.31,77.69,91.89,172.35,9.08,38.94,0,3.78,121.06,80.01,721.42,63.72,103.11,39.68,8.18,19.81,2.63,4.95,13.66,174.05,48.11,65.57,260.25,28.9,59.45,126.88,37.48,18.02,27.19,0,26.23,0.15,35.95,5.77,33.67,10.32,34.38,0,76.73,1.57,104.23,9.83,114.93,6.81,4.01,2.21,131.36,278.53,71.2,210.24,300.13,51.98,58.19,48.59,115.71,9.44,173.59,56.26,3.89,175.62,148.15
11.94,76.88,92.74,173.61,9.1,39.17,0,3.78,120.65,79.08,721.42,63.72,103.11,39.68,7.87,19.68,2.62,4.81,13.53,175.22,48.12,64.94,264.08,28.97,59.01,125.21,37.39,17.02,26.62,0,25.75,0.15,35.32,5.74,33.3,10.84,37.07,0,79.98,1.6,103.53,9.86,115.49,6.83,4.01,2.21,131.47,280.62,72.25,209.26,301.5,51.43,58.01,48.42,116.41,9.26,172.12,55.97,3.89,175.53,148.61
12.05,78.12,93.71,172.75,9.21,39.47,0,3.78,122.08,78,755.41,67.39,108.2,40.31,7.52,19.61,2.64,4.94,13.63,172.77,48.22,65.36,261.65,28.99,59.6,125,37.4,18,27.18,0,26.21,0.15,36.13,5.75,33.48,10.77,37.51,0,79.05,1.61,103.72,9.99,116.01,6.84,4.06,2.27,132.54,281.47,72.38,210.55,300.04,53.13,57.27,48.62,115.77,9.31,170.93,56.34,4,174.05,148.48
12.34,77.88,93.82,170.56,9.16,39.23,0,3.83,121.98,77.77,747.72,67.44,107.63,40.05,7.53,19.81,2.65,4.93,13.59,171.94,48.34,59.19,268.42,28.87,60.13,126.13,37.38,18.15,27.44,0,26.5,0.12,36.09,5.74,33.59,10.78,38.17,0,80.6,1.62,105.75,10.1,115.61,6.76,4.06,2.2,132.57,284.08,73.13,214.27,304.11,53.3,57.4,49.13,117.51,9.45,172.76,57.22,3.87,174.04,150.36
12.29,79.57,99.45,170.62,9.25,39.72,0,3.99,121.8,78.54,765.77,68.81,108.06,40.15,7.41,19.88,2.59,4.86,13.63,174.77,48.57,59.68,269.32,29.23,60.37,127.55,37.5,18.11,27.56,0,27.35,0.12,36.95,5.86,34.06,10.94,38.6,0,81.3,1.64,106.67,10.2,116.93,6.8,4.18,2.17,133.83,283.3,73.38,215.99,304.42,53.7,57.2,49.39,117.98,9.41,173.48,57.37,3.75,176.92,151.48
12.36,77.14,100.58,171.83,9.36,39.89,0,4.04,123.01,79.39,767.76,70.78,113.88,41.1,7.44,20.01,2.6,4.91,13.52,173.96,48.12,59.84,270.52,27.37,59.37,123.43,37.09,17.77,27.45,0,27.24,0.12,37.09,5.89,34.02,11.09,38.37,0,81.85,1.65,106.69,10.12,120.16,6.91,4.22,2.23,135.18,280.6,73.21,214.48,301,54.59,57.18,50.09,118.12,9.49,172.1,57.78,3.7,178.21,150.52
11.84,78.94,101.04,173.61,9.45,40.25,0,3.96,123.41,78.23,754.86,69.16,110.2,39.92,7.24,19.07,2.6,4.89,13.53,174.91,48.93,60.91,271.35,28.21,60.31,124.51,36.94,18.14,27.85,0,27.84,0.12,37.55,5.96,34.42,11.31,38.76,0,83.46,1.67,106.56,10.27,123.22,6.92,4.32,2.26,136.84,286.98,75.35,219.7,307.23,55.43,58.64,51.45,120.13,9.72,175.24,58.99,3.69,180.06,153.32
11.34,79.16,101.16,172.98,9.53,39.98,0,4.01,123.59,78.77,770.72,72.77,113.61,40.68,7.26,19.16,2.61,4.81,13.35,174.91,48.93,60.91,271.35,28.21,60.31,124.51,36.94,18.14,27.85,0,27.84,0.1,37.01,6.04,34.42,11.31,38.76,0,83.46,1.69,107.73,10.3,123.57,6.89,4.32,2.28,136.36,286.98,75.35,219.7,307.23,55.43,58.64,51.45,120.13,9.72,175.24,58.99,3.69,180.06,153.32
10.96,78.14,101.23,172.35,9.51,39.67,0,3.98,122.17,78,761.09,72.56,112.3,39.79,7.31,19.2,2.66,4.84,13.33,174.72,48.36,61.11,268.93,28.47,61.15,128.36,37.34,18.28,28.1,0,28.48,0.1,36.9,6.04,34.8,11.34,38.56,0,83.39,1.68,107.22,10.15,123.33,6.72,4.33,2.26,136.99,287.35,75.87,218,305.18,55.81,57.92,51.54,120.08,9.88,174.78,59.05,3.45,180.13,153.28
10.77,79.35,101.39,174.13,9.55,39.59,0,3.96,123.04,77.92,751.97,71.87,112.4,39.48,7.53,19.39,2.68,4.8,13.31,166.98,48.24,61.39,268.3,28.81,61.35,129.18,37.68,18.03,28.4,0,28.91,0.14,37.44,5.94,35.92,11.68,40.13,0,85.04,1.72,109,10.28,123.68,6.63,4.39,2.28,138.42,288.22,75.75,220.83,307.2,56,58.47,51.84,121.19,9.9,174.45,59.56,3.5,182.69,154.58
10.84,78.69,101.62,176.38,9.59,39.75,0,3.9,123.78,78.77,750.15,70.87,110.4,39.58,7.65,19.38,2.67,4.84,13.42,165.65,48.41,62.08,306.75,28.35,61.51,129.63,38.1,17.96,28.28,0,28.78,0.09,37.31,5.89,34.2,11.73,40.69,0,85.58,1.73,107.92,9.98,123.39,6.11,4.36,2.34,138.25,287.5,74.51,217.04,304.51,55.49,54.03,51.88,120.96,9.79,171.63,57.77,3.44,182,152.61
10.92,75.85,101.5,175.17,9.55,39.66,0,4,123.84,78.54,756.15,71.34,110.73,39.48,7.6,19.49,2.68,4.84,13.64,169.06,48.84,61.93,308.7,27.71,61.61,131.75,38.29,19.03,31,0,29.37,0.09,37.72,5.81,34.41,11.86,41,0,87.15,1.7,108.22,10.1,124.14,6.18,4.36,2.39,138.02,288.71,75.36,217.11,307.13,55.74,53.24,53.03,121.42,9.85,172.54,59.2,3.6,183.88,153.2
11.11,76.32,101.34,173.79,9.55,39.4,0,3.95,124.21,78.08,773.14,74.22,114.75,40.72,7.47,19.35,2.7,4.86,13.58,167.15,48.55,61.04,304.42,27.7,61.07,129.2,38.14,18.58,30.86,0,28.92,0.09,38.01,5.86,34.4,11.36,40.15,0,86.6,1.7,110.87,10.23,125.7,6.25,4.34,2.33,138.83,287.05,75.66,213.6,305.97,58.05,53.89,52.87,121.62,9.65,173.14,58.82,3.6,182.58,154.06
11.09,76.32,101.57,174.36,9.63,39.04,0,3.79,125.64,77.77,757.54,71.78,112.7,41.35,7.45,19.01,2.71,4.89,13.65,169.41,49.19,61.04,306.35,27.68,61.78,130.45,38.26,18.51,31.12,0,28.69,0.09,37.23,6,34.17,11.13,39.59,0,86.51,1.72,108.95,10.3,124.43,6.21,4.34,2.38,140.35,286.55,75.02,212.03,305.88,60.22,53.33,53.08,119.2,9.62,170,57.88,3.3,179.61,153.92
11.22,75.95,101.2,172.98,9.49,38.58,0,3.78,122.76,74.1,771.45,72.97,114.46,40.56,7.72,19.04,2.84,4.85,13.65,169.25,49.07,61.11,305.67,27.16,61.43,127.71,38,17.86,30.88,0,28.47,0.09,36.71,6.15,34.14,10.91,39.92,0,87.27,1.72,108.31,10.31,123.57,6.17,4.37,2.28,138.42,286.77,74.85,210.24,307.58,55.49,54.44,53.13,124.26,9.83,169.34,58.16,3.35,180.98,154.6
10.96,79.05,102.17,174.59,9.67,38.27,0,3.75,122.97,75.06,786.35,74.47,115.66,39.87,7.79,19.16,2.87,4.55,13.47,169.16,49.49,61.66,312.56,26.75,61.43,126.54,37.68,18.22,29.76,0,28.12,0.06,36.23,6.06,33.59,11.16,40.89,0,86.94,1.62,108.68,10.22,124.83,6.12,4.24,2.28,137.05,289.96,74.12,209.41,309.41,53.83,54.35,52.35,123.29,9.64,170.22,56.95,3.3,182.26,154.07
11.2,83.95,103.65,176.61,9.7,38.59,0,3.85,124.49,76.73,822.06,79.05,120.19,40.86,8.05,19.65,2.92,4.45,13.68,171.94,49.82,61.41,304.88,26.98,60.4,125.12,37.7,17.87,30.11,0,28.39,0.09,37.6,6.51,33.8,11.3,40.82,0,87.51,1.61,118.38,10.16,123.57,6.18,4.02,2.22,137.05,287,74.18,210,309.47,54.45,54.98,51.76,122.59,9.95,169.28,57.51,3.15,184.31,155.72
11.12,82.63,102.82,177.59,9.76,38.91,0,3.86,125.76,77.77,814.31,80.46,125.81,41.96,8.05,19.65,2.9,4.45,13.48,170.63,50.97,61.25,306.96,26.84,59.66,125.57,37.52,18,29.75,0,27.51,0.05,37.72,6.7,33.95,10.8,39.65,0,87.28,1.59,116.47,10.03,124.08,6.25,3.98,2.24,138.71,283.1,74.16,206.37,304.69,51.2,54.81,50.46,121.08,9.02,166.75,53.84,3.1,182.83,154.5
