"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"01/20/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/21/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/22/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/25/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/26/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/27/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/28/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/29/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"02/01/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/02/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/03/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/04/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
