"X.AMRS.PB.","X.GRWG.PB.","U.YOLO.PB.","U.CNBS.PB.","U.MJ.PB.","X.POTX.PB.","U.STZ.PB.","U.IIPR.PB.","X.CARA.PB.","X.TLRY.PB.","X.SNDL.PB.","X.CNTTQ.PB."
13.35,0,0,0,31.05,0,167.11,0,7.67,0,0,0
16.05,0,0,0,31.5,0,167.17,0,7.75,0,0,0
15.6,0,0,0,31.81,0,167.29,0,7.6,0,0,0
15.9,0,0,0,31.94,0,166.91,0,7.9,0,0,0
16.35,0,0,0,32.1,0,167.4,0,7.91,0,0,0
16.5,0,0,0,32.28,0,169.53,0,7.72,0,0,0
15.75,0,0,0,32.13,0,168.16,0,7.5,0,0,0
16.2,0,0,0,31.82,0,166.51,0,7.05,0,0,0
15.6,0,0,0,31.65,0,165.66,0,6.99,0,0,0
15.45,0,0,0,31.29,0,166.04,0,6.81,0,0,0
15.3,0,0,0,31.32,0,167.07,0,6.99,0,0,0
15.75,0,0,0,30.59,0,163.44,0,7.14,0,0,0
15.3,0,0,0,30.08,0,163.67,0,6.51,0,0,0
11.64,0,0,0,30.2,0,160.02,0,5.88,0,0,0
12.15,0,0,0,30.35,0,159.6,0,7.26,0,0,0
11.54,0,0,0,31.39,0,165.93,0,8.38,0,0,0
12.16,0,0,0,31.1,0,166.57,0,8.63,0,0,0
11.73,0,0,0,30.08,0,153.81,0,9.34,0,0,0
11.41,0,0,0,27.97,0,152.87,0,9.62,0,0,0
11.84,0,0,0,27.42,0,152.4,0,9.43,0,0,0
11.96,0,0,0,27.13,0,147.95,0,9.31,0,0,0
11.96,0.01,0,0,27.98,0,152.43,0,10.16,0,0,0
12.11,0.01,0,0,27.55,0,153.34,0,12.2,0,0,0
11.86,0.01,0,0,27.3,0,154.77,0,11.68,0,0,0
11.66,0.02,0,0,27.09,0,155.09,0,11.96,0,0,0
11.8,0.03,0,0,27.53,0,157.39,0,11.28,0,0,0
11.92,0.04,0,0,27.33,0,156.52,0,9.79,0,0,0
11.88,0.04,0,0,27.21,0,154.55,0,10.22,0,0,0
11.43,0.05,0,0,26.96,0,155.05,0,10.37,0,0,0
12.15,0.07,0,0,26.96,0,156.28,0,9.8,0,0,0
14.24,0.08,0,0,27.4,0,156.29,0,9.21,0,0,0
13.42,0.09,0,0,27.28,0,155.81,0,9.45,0,0,0
13.2,0.1,0,0,27.43,0,150.97,0,8.99,0,0,0
12.36,0.12,0,0,26.69,0,145.27,19.1,8.95,0,0,0
12.51,0.14,0,0,26.72,0,146.05,18.4,9.49,0,0,0
12.04,0.15,0,0,27.07,0,148.86,15.4,9.72,0,0,0
12.19,0.17,0,0,27.32,0,147.99,16.65,9.76,0,0,0
12.08,0.19,0,0,27.68,0,149.83,16.75,9.5,0,0,0
11.58,0.21,0,0,27.7,0,151.05,17.02,9.83,0,0,0
11.98,0.23,0,0,27.75,0,152.84,16.95,9.86,0,0,0
11.63,0.25,0,0,27.85,0,153.43,16.86,9.61,0,0,0
11.47,0.27,0,0,27.94,0,155.21,16.75,9.01,0,0,0
11.55,0.3,0,0,27.26,0,155.6,16.4,8.63,0,0,0
11.14,0.32,0,0,27.31,0,156.26,16.68,8.9,0,0,0
10.35,0.35,0,0,27.22,0,157.72,16.55,9.36,0,0,0
10.93,0.37,0,0,27.09,0,156.77,16.74,9.54,0,0,0
10.65,0.4,0,0,27.05,0,150.49,17.69,9.19,0,0,0
10.29,0.43,0,0,26.95,0,151.68,18.01,9.18,0,0,0
10.23,0.46,0,0,27.06,0,148.74,18.13,9.2,0,0,0
10.65,0.49,0,0,27.29,0,150.73,18.57,9.96,0,0,0
10.9,0.52,0,0,28.03,0,151.42,18.55,10.17,0,0,0
10.75,0.55,0,0,27.29,0,151.1,18.5,9.98,0,0,0
10.52,0.59,0,0,24.41,0,152.39,18.63,9.82,0,0,0
11.05,0.62,0,0,24.19,0,153.75,17.9,9.38,0,0,0
10.95,0.66,0,0,24.12,0,153.39,18.13,9.29,0,0,0
10.92,0.69,0,0,24.26,0,152.24,18.46,9.36,0,0,0
11.1,0.73,0,0,24.5,0,154.63,18.57,9.74,0,0,0
11.4,0.76,0,0,24.64,0,158,18.8,10.36,0,0,0
11.85,0.8,0,0,25,0,146.75,19.57,10.25,0,0,0
12.07,0.84,0,0,24.59,0,149.45,19.14,10.27,0,0,0
12.23,0.88,0,0,24.64,0,150.28,19,11.1,0,0,0
12.02,0.92,0,0,24.32,0,149.24,18.73,11.13,0,0,0
11.87,0.97,0,0,24.43,0,148.97,18.36,10.88,0,0,0
11.1,1.01,0,0,24.77,0,147.5,18.15,11.12,0,0,0
10.7,1.05,0,0,24.85,0,149.29,18.58,11.41,0,0,0
10.41,1.1,0,0,25.04,0,152.8,18.91,11.17,0,0,0
10.23,1.14,0,0,25.04,0,153.74,18.83,11.19,0,0,0
