"X.AMRS.PA.","X.GRWG.PA.","U.YOLO.PA.","U.CNBS.PA.","U.MJ.PA.","X.POTX.PA.","U.STZ.PA.","U.IIPR.PA.","X.CARA.PA.","X.TLRY.PA.","X.SNDL.PA.","X.CNTTQ.PA."
5.25,0,0,0,27.67,0,153.11,0,4.47,0,0,0
5.62,0,0,0,28.52,0,157.7,0,4.79,0,0,0
6.15,0,0,0,29.3,0,159.39,0,4.93,0,0,0
6.95,0,0,0,29.71,0,165.43,0,4.81,0,0,0
7.08,0,0,0,29.58,0,163.58,0,5.11,0,0,0
6.71,0,0,0,29.25,0,164.11,0,5.07,0,0,0
6.25,0,0,0,28.96,0,165.96,0,4.94,0,0,0
6.05,0,0,0,28.75,0,165.37,0,5.09,0,0,0
6.14,0,0,0,28.58,0,166.02,0,5.09,0,0,0
6.22,0,0,0,29.36,0,165.97,0,5.18,0,0,0
6.3,0,0,0,29.45,0,164.19,0,5.11,0,0,0
6.13,0,0,0,29.59,0,163.71,0,5.17,0,0,0
6.08,0,0,0,29.65,0,163.52,0,5.05,0,0,0
6.02,0,0,0,30.06,0,162.87,0,4.96,0,0,0
6.2,0,0,0,30.1,0,163.08,0,4.94,0,0,0
6,0,0,0,30.72,0,163.13,0,5,0,0,0
6.02,0,0,0,30.72,0,164.04,0,4.83,0,0,0
5.92,0,0,0,30.97,0,166.34,0,5.02,0,0,0
5.9,0,0,0,31.02,0,165.37,0,5,0,0,0
5.85,0,0,0,31.33,0,167.66,0,6.09,0,0,0
5.38,0,0,0,30.92,0,166.31,0,6.08,0,0,0
5.59,0,0,0,30.94,0,165.39,0,5.86,0,0,0
5.47,0,0,0,30.84,0,163.04,0,6.22,0,0,0
5.46,0,0,0,30.63,0,163.57,0,6,0,0,0
5.25,0,0,0,31.13,0,164.66,0,5.94,0,0,0
5.1,0,0,0,30.94,0,164.01,0,6.04,0,0,0
4.95,0,0,0,30.85,0,162.63,0,5.78,0,0,0
5.29,0,0,0,31.12,0,162.66,0,6.08,0,0,0
5.78,0,0,0,31.56,0,163.65,0,5.95,0,0,0
5.74,0,0,0,31.95,0,163.06,0,5.99,0,0,0
6,0,0,0,31.88,0,162.64,0,5.87,0,0,0
5.86,0,0,0,32.25,0,164.65,0,6.04,0,0,0
6.08,0,0,0,32.1,0,166.14,0,5.92,0,0,0
5.85,0,0,0,32.21,0,165.17,0,6.01,0,0,0
5.85,0,0,0,31.8,0,165.48,0,6.18,0,0,0
5.73,0,0,0,31.91,0,164.96,0,6.56,0,0,0
6.66,0,0,0,31.72,0,164.48,0,6.29,0,0,0
6.38,0,0,0,31.43,0,165.28,0,6.03,0,0,0
6.52,0,0,0,31.45,0,165.3,0,6.13,0,0,0
6.41,0,0,0,31.56,0,165.5,0,5.91,0,0,0
6.6,0,0,0,31.48,0,165.8,0,6.06,0,0,0
6.86,0,0,0,30.98,0,166.38,0,5.99,0,0,0
6.56,0,0,0,31.2,0,166.64,0,5.57,0,0,0
6.57,0,0,0,31.17,0,166.67,0,5.5,0,0,0
6.42,0,0,0,30.77,0,165.68,0,5.52,0,0,0
6.18,0,0,0,31.05,0,166.82,0,5.53,0,0,0
6.28,0,0,0,30.99,0,166.18,0,5.5,0,0,0
6.07,0,0,0,30.91,0,164.17,0,5.42,0,0,0
6.21,0,0,0,30.94,0,164.85,0,5.38,0,0,0
6.22,0,0,0,31.31,0,167.02,0,5.32,0,0,0
6.19,0,0,0,31.63,0,167.7,0,5.4,0,0,0
6.12,0,0,0,31.71,0,166.96,0,5.67,0,0,0
6.07,0,0,0,31.6,0,166.09,0,6.02,0,0,0
6.3,0,0,0,31.36,0,165.54,0,5.99,0,0,0
6.4,0,0,0,30.39,0,162.39,0,5.63,0,0,0
6.6,0,0,0,30.47,0,164.82,0,6.02,0,0,0
6.46,0,0,0,29.71,0,161.35,0,5.98,0,0,0
6.45,0,0,0,29.56,0,162.67,0,6.09,0,0,0
6.6,0,0,0,29.77,0,166.45,0,6.23,0,0,0
6.97,0,0,0,29.67,0,164.65,0,6.51,0,0,0
7.12,0,0,0,29.66,0,162.71,0,6.87,0,0,0
7.66,0,0,0,29.7,0,162.86,0,7.27,0,0,0
8.25,0,0,0,30.23,0,165.76,0,7.51,0,0,0
7.88,0,0,0,30.41,0,166.08,0,7.51,0,0,0
7.26,0,0,0,30.09,0,166.65,0,7.33,0,0,0
7.4,0,0,0,29.89,0,165.67,0,7.77,0,0,0
7.41,0,0,0,30.4,0,165.96,0,8.62,0,0,0
7.95,0,0,0,30.66,0,165.29,0,8.57,0,0,0
7.57,0,0,0,30.25,0,163.71,0,8.18,0,0,0
8.7,0,0,0,30.42,0,166.49,0,8.35,0,0,0
9,0,0,0,30.85,0,165.5,0,8.61,0,0,0
8.74,0,0,0,30.6,0,165.7,0,8.66,0,0,0
8.86,0,0,0,30.86,0,168.6,0,9.68,0,0,0
8.94,0,0,0,30.78,0,171.03,0,8.92,0,0,0
8.77,0,0,0,30.69,0,168.81,0,8.68,0,0,0
9.66,0,0,0,31.08,0,171.28,0,8.72,0,0,0
9.6,0,0,0,31.1,0,169.74,0,8.17,0,0,0
11.55,0,0,0,31.03,0,170.01,0,7.56,0,0,0
12.22,0,0,0,31.07,0,169.01,0,8.08,0,0,0
11.78,0,0,0,31.06,0,169.51,0,7.75,0,0,0
13.39,0,0,0,31.15,0,167.13,0,7.68,0,0,0
16.2,0,0,0,31.74,0,167.19,0,7.76,0,0,0
15.75,0,0,0,32.03,0,167.31,0,7.61,0,0,0
16.05,0,0,0,32.15,0,166.95,0,7.91,0,0,0
16.5,0,0,0,32.19,0,167.45,0,7.92,0,0,0
16.65,0,0,0,32.5,0,169.54,0,7.73,0,0,0
15.9,0,0,0,32.35,0,168.19,0,7.51,0,0,0
16.35,0,0,0,32.04,0,166.52,0,7.06,0,0,0
15.75,0,0,0,31.88,0,165.67,0,7,0,0,0
15.6,0,0,0,31.51,0,166.05,0,6.82,0,0,0
15.45,0,0,0,31.53,0,167.09,0,7,0,0,0
15.9,0,0,0,30.8,0,163.45,0,7.15,0,0,0
15.45,0,0,0,30.3,0,163.68,0,6.52,0,0,0
11.64,0,0,0,30.42,0,160.05,0,5.89,0,0,0
12.15,0,0,0,30.56,0,159.61,0,7.27,0,0,0
11.55,0,0,0,31.6,0,165.96,0,8.39,0,0,0
12.21,0,0,0,31.84,0,166.68,0,8.64,0,0,0
11.8,0,0,0,30.34,0,153.83,0,9.36,0,0,0
11.46,0,0,0,28.24,0,152.88,0,9.63,0,0,0
11.89,0,0,0,27.66,0,152.45,0,9.44,0,0,0
12.02,0,0,0,27.35,0,147.97,0,9.32,0,0,0
12,0.01,0,0,28.21,0,152.46,0,10.17,0,0,0
12.11,0.01,0,0,27.78,0,153.35,0,12.21,0,0,0
11.95,0.02,0,0,27.52,0,154.79,0,11.7,0,0,0
11.72,0.02,0,0,27.33,0,155.11,0,11.97,0,0,0
11.8,0.03,0,0,27.76,0,157.41,0,11.29,0,0,0
11.93,0.04,0,0,27.54,0,156.53,0,9.8,0,0,0
11.88,0.05,0,0,27.42,0,154.56,0,10.23,0,0,0
11.45,0.06,0,0,27.59,0,155.07,0,10.39,0,0,0
12.17,0.07,0,0,27.71,0,156.31,0,9.82,0,0,0
14.24,0.08,0,0,27.53,0,156.35,0,9.22,0,0,0
13.43,0.1,0,0,27.49,0,155.84,0,9.46,0,0,0
13.23,0.11,0,0,27.65,0,150.98,0,9,0,0,0
12.37,0.13,0,0,26.91,0,145.28,19.25,8.96,0,0,0
12.6,0.14,0,0,26.94,0,146.07,18.65,9.5,0,0,0
12.09,0.16,0,0,27.29,0,148.88,15.5,9.73,0,0,0
12.19,0.18,0,0,27.54,0,148.02,16.66,9.78,0,0,0
12.11,0.2,0,0,27.9,0,149.84,16.88,9.51,0,0,0
11.61,0.22,0,0,27.92,0,151.08,17.07,9.84,0,0,0
12,0.24,0,0,27.97,0,152.85,17,9.87,0,0,0
11.63,0.27,0,0,28.08,0,153.44,16.92,9.62,0,0,0
11.53,0.29,0,0,28.15,0,155.24,16.8,9.02,0,0,0
11.55,0.32,0,0,27.48,0,155.63,16.43,8.64,0,0,0
11.17,0.34,0,0,27.52,0,156.27,16.87,8.92,0,0,0
10.38,0.37,0,0,27.47,0,157.73,16.57,9.37,0,0,0
10.93,0.4,0,0,27.32,0,156.78,16.76,9.55,0,0,0
10.65,0.43,0,0,27.26,0,150.5,17.7,9.2,0,0,0
10.34,0.46,0,0,27.18,0,151.7,18.12,9.19,0,0,0
10.23,0.49,0,0,27.27,0,148.75,18.15,9.21,0,0,0
10.66,0.52,0,0,27.5,0,150.76,18.6,9.97,0,0,0
10.92,0.55,0,0,28.26,0,151.46,18.69,10.18,0,0,0
10.8,0.59,0,0,27.5,0,151.13,18.68,9.99,0,0,0
10.58,0.62,0,0,24.62,0,152.4,18.72,9.83,0,0,0
11.07,0.66,0,0,24.55,0,153.76,18,9.39,0,0,0
11.04,0.7,0,0,24.42,0,153.4,18.25,9.3,0,0,0
11,0.73,0,0,24.57,0,152.27,18.72,9.38,0,0,0
11.16,0.77,0,0,24.86,0,154.68,18.9,9.76,0,0,0
11.48,0.81,0,0,24.89,0,158.04,19,10.38,0,0,0
11.88,0.85,0,0,25.05,0,146.76,19.8,10.26,0,0,0
12.11,0.89,0,0,24.95,0,149.46,19.25,10.28,0,0,0
12.29,0.94,0,0,24.76,0,150.3,19.15,11.11,0,0,0
12.04,0.98,0,0,24.68,0,149.26,18.96,11.14,0,0,0
11.93,1.03,0,0,24.8,0,148.99,18.51,10.89,0,0,0
11.1,1.07,0,0,24.99,0,147.52,18.25,11.13,0,0,0
10.75,1.12,0,0,25.21,0,149.31,18.64,11.42,0,0,0
10.47,1.16,0,0,25.34,0,152.82,18.99,11.18,0,0,0
10.25,1.21,0,0,25.24,0,153.76,18.95,11.2,0,0,0
10.08,1.26,0,0,24.9,0,150.48,18.72,11.89,0,0,0
9.6,1.31,0,0,24.83,0,149.61,19.12,11.6,0,0,0
9.9,1.36,0,0,25.24,0,150.09,19,11.44,0,0,0
9.51,1.41,0,0,25.78,0,151.62,19.08,11.95,0,0,0
9.3,1.47,0,0,25.68,0,153.06,18.81,12.23,0,0,0
9.18,1.52,0,0,26.09,0,154.1,18.99,12.93,0,0,0
9.36,1.58,0,0,25.83,0,149.99,18.77,13.74,0,0,0
9.3,1.63,0,0,25.96,0,148.93,18.8,13.88,0,0,0
8.95,1.69,0,0,25.97,0,148.34,18.83,14.17,0,0,0
7.92,1.74,0,0,26.02,0,149.78,18.74,15.32,0,0,0
7.95,1.8,0,0,26.2,0,149.87,18.23,16.49,0,0,0
6.75,1.86,0,0,26.59,0,149.29,17.99,15.84,0,0,0
7.38,1.92,0,0,26.96,0,149.1,18.14,16.65,0,0,0
7.6,1.98,0,0,26.82,0,149.79,18.03,16.4,0,0,0
7.65,2.04,0,0,26.84,0,152.03,18,16.3,0,0,0
7.78,2.1,0,0,27,0,154.59,18.03,16.47,0,0,0
7.62,2.17,0,0,27.1,0,155.71,17.98,16.33,0,0,0
7.95,2.23,0,0,27.47,0,155.49,18.15,14.85,0,0,0
8.47,2.3,0,0,27.6,0,155.5,18,13.51,0,0,0
8.41,2.36,0,0,27.54,0,155.89,17.89,15.54,0,0,0
7.87,2.43,0,0,27.77,0,156.21,17.95,15.09,0,0,0
8.19,2.5,0,0,27.58,0,158.5,17.9,14.53,0,0,0
8.39,2.56,0,0,27.61,0,161.32,17.8,14.76,0,0,0
8.53,2.63,0,0,27.83,0,160.69,17.76,14.84,0,0,0
8.34,2.7,0,0,28.04,0,160.08,17.81,14.7,0,0,0
7.8,2.77,0,0,28.13,0,160.18,18,14.55,0,0,0
7.96,2.84,0,0,28.02,0,153.6,18.05,14.55,0,0,0
7.88,2.92,0,0,27.71,0,158.88,17.19,15.04,0,0,0
8.03,2.99,0,0,27.8,0,157.76,16.9,16.21,0,0,0
7.65,3.06,0,0,27.53,0,158.81,16.52,16.03,0,0,0
7.55,3.14,0,0,28.09,0,159.63,16.35,16.59,0,0,0
8.01,3.21,0,0,27.53,0,158.42,16.57,16.77,0,0,0
7.08,3.29,0,0,28.08,0,158.76,16.39,18.05,0,0,0
6.94,3.36,0,0,28.02,0,157.8,16.27,17.92,0,0,0
6.65,3.44,0,0,28.1,0,157.19,15.9,16.99,0,0,0
6.5,3.52,0,0,27.62,0,156.44,15.6,17.41,0,0,0
7.6,3.6,0,0,27.36,0,155.83,15.55,17.49,0,0,0
7.5,3.68,0,0,27.94,0,157.57,15.5,15.81,0,0,0
7.5,3.76,0,0,27.9,0,158.37,15.69,15.32,0,0,0
7,3.84,0,0,27.66,0,159.11,15.92,14.71,0,0,0
7.01,3.92,0,0,28.27,0,162.09,16.93,15.57,0,0,0
7.48,4.01,0,0,28.39,0,162.04,16.98,15.65,0,0,0
7.5,4.09,0,0,28.46,0,161.7,16.93,15.38,0,0,0
7.47,4.17,0,0,28.69,0,162.55,17.5,16.17,0,0,0
7.41,4.26,0,0,28.28,0,164.61,17,15.58,0,0,0
7.38,4.34,0,0,28.26,0,164.2,17.34,16.09,0,0,0
7.34,4.43,0,0,28.26,0,162.72,16.67,16.69,0,0,0
7.32,4.52,0,0,28.47,0,164.11,16.75,16.76,0,0,0
7.33,4.61,0,0,28.36,0,163.75,16.69,18.15,0,0,0
7.48,4.69,0,0,28.37,0,162.46,16.79,19.09,0,0,0
8.08,4.78,0,0,28.62,0,163.7,17.25,20.25,0,0,0
7.95,4.87,0,0,28.81,0,162.45,17.2,18.76,0,0,0
