"A.ASBX.PA.","D.RHM.PA.","I.LDO.PA.","F.CSF.PA.","BA..PA.","RR..PA.","TK.ASE.PA.","IS.ESLT.PA.","U.NOC.PA.","U.RTX.PA.","U.HII.PA.","U.LMT.PA.","X.AXON.PA.","X.MANT.PA.","U.BWXT.PA.","U.CW.PA.","X.SWBI.PA.","U.GD.PA.","U.RGR.PA.","X.POWW.PA.","U.CACI.PA.","X.HON.PA."
0.9,73.07,10.58,83.17,6.74,2.85,0.82,92.47,192.91,57.85,134.01,220.06,17.21,29.13,31.43,70.4,19.04,137.26,69.21,3.35,96.72,99.2
0.94,74.89,10.79,83.2,6.73,2.89,0.82,92.82,192.17,57.62,133.58,217.19,17.5,28.89,31.84,70.6,19,137.13,69.94,3.37,94.61,98.11
1.02,75.6,11,84.67,6.74,2.89,0.82,93.13,192.25,57,131.06,215.79,19.38,29.13,31.92,70.59,19.48,136.27,70.3,3.39,96.61,96.47
0.98,80.28,11.75,85.38,6.71,2.91,0.84,94.14,193.88,56.04,132.85,218.11,19.44,29.36,32.34,72.32,19.78,138.2,71.91,3.41,97.01,100.75
1.05,78.76,11.54,83.11,6.63,2.89,0.85,93.77,193.28,56.34,131.45,217.14,19.53,29.05,32.73,71.83,19.42,135.58,71.28,3.42,99.25,101.36
1.09,79.22,11.56,83.07,6.56,3.04,0.85,93.74,192.15,56.67,133.54,218.56,19.47,29.23,32.47,71.85,19.52,135.74,72.06,3.44,101.36,102.78
1.05,79.7,11.49,83.61,6.66,3.07,0.84,94.34,191.07,57.19,133.86,218.7,19.45,30.24,32.34,71.73,20.78,135.24,73.4,3.46,102.95,102.95
1.02,78.42,11.34,82.88,6.58,3.07,0.84,94.02,186.83,57.14,132.28,215.92,19.85,30.58,33.03,72.01,19.92,132.34,73.33,3.48,101.41,102.27
0.99,77.22,11.58,82.6,6.52,3,0.8,95.37,186.93,57.14,130.09,215.32,19.55,30.46,32.76,70.74,20.67,131.38,74.11,3.51,98.83,102.41
1.02,77.88,11.64,82.95,6.58,2.98,0.8,96.47,186.73,56.96,131.72,216.35,19.55,31.17,32.62,71.15,21.69,131.9,75.66,3.54,98.49,103.72
1.06,76.37,11.38,81.28,6.49,2.9,0.8,97.07,186.84,56.69,131.99,216.47,19.33,30.02,32.67,70.41,21.45,133.61,73.49,3.57,98.69,103.24
1.05,78.26,12.17,83.02,6.52,2.92,0.8,97.5,189.88,57.05,134.12,217.04,19.53,30.08,32.77,70.68,21.59,135.5,73.72,3.6,100.27,103.86
1.12,78.97,12.51,83.13,6.53,2.9,0.8,96.35,188.53,57.1,132.65,216.66,19.33,29.82,32.9,70.66,21.8,134.17,74.65,3.63,99.61,103.34
1.11,78.83,12.4,84.13,6.53,2.88,0.8,97.82,191.72,56.77,134.41,217.11,18.39,29.86,33.28,70.27,21.61,133.27,73.03,3.65,98.5,103.47
1.11,79.2,12.65,84.54,6.6,2.87,0.8,99.4,191.63,57.54,135.48,218.29,18.52,30.89,33.41,71.12,21.9,134.03,74.98,3.66,99.83,104.03
1.1,78.84,12.44,85.19,6.65,2.98,0.81,99.94,190.92,58.31,137.63,219.31,18.89,31.53,33.74,71.84,22.56,134.11,76.12,3.67,100,105.69
1.09,78.89,12.89,86.31,6.54,3.05,0.82,100.72,193.89,58.4,138.53,220.86,19.08,31.79,34.35,73.59,22.49,135.35,76.06,3.68,101.28,106.71
1.1,76.52,12.86,86.43,6.54,2.99,0.84,99.97,194.18,58.52,137.85,221.23,18.96,32.98,34.2,73.84,22.46,134.77,75.91,3.68,100.62,107.27
1.07,77.39,13,87.06,6.55,2.95,0.83,102.67,194.42,58.2,137.59,220.78,18.73,31.67,33.85,74.01,22.45,135.29,76.31,3.68,100.75,107.55
1.07,78.7,12.97,88.5,6.65,2.89,0.81,106.46,194.99,58.47,138.46,221.3,18.39,30.92,33.55,73.56,22.33,134.3,76.28,3.68,100.21,106.82
1.05,79.54,12.96,88.81,6.55,2.89,0.83,105.33,194.22,58.43,137.31,218,18.28,31.12,33.96,74.65,20.37,129.12,69.75,3.68,99.42,106.05
1.04,79.51,12.9,88.79,6.51,2.87,0.84,103.42,194.02,58.18,136.62,217.38,18,30.99,33.98,74.02,19.97,128.52,67.56,3.68,98.27,105.95
1.05,79.23,12.84,88.85,6.57,2.85,0.84,104.39,194.85,58.34,137.08,219.01,18.32,31.22,33.79,73.82,20.68,130.82,69.5,3.67,100.17,106.23
1.07,79.62,12.9,89.06,6.67,2.87,0.84,103.04,196.71,59.07,138.26,220.83,19.52,32.25,33.95,75.75,21,131.86,71.18,3.67,105.83,106.56
1.1,80.83,13.05,89.32,6.73,2.94,0.85,103.62,198.73,59.16,138.6,222.99,19.62,32.29,34.23,75.3,20.74,131.73,69.59,3.66,106.24,106.82
1.15,80.93,12.86,88.82,6.69,2.9,0.85,101.64,197.92,59.05,136.97,221.52,19.64,32.02,33.58,75.67,20.45,131.38,68.37,3.66,106.81,106.69
1.13,81.18,12.74,87.79,6.59,2.82,0.85,102.21,200.34,58.99,137.46,223.13,19.05,32.02,33.78,75.36,21.32,132.37,71.61,3.65,106.73,107.82
1.17,80.82,13.11,88.37,6.59,2.81,0.87,103.47,201.14,59.14,137.95,224.09,18.62,31.83,33.18,74.82,17.5,131.71,65.24,3.64,104.59,107.14
1.09,77.22,12.82,87.65,6.47,2.77,0.87,102.81,202.32,58.92,137.34,225.62,18.54,31.58,32.69,74.65,17.93,130.83,65.47,3.64,103.93,106.45
1.09,78.88,12.81,88.3,6.49,2.8,0.87,103.07,202.15,59.22,140.69,226.71,18.69,31.51,32.68,75.48,18.04,131.76,67.48,3.62,106.03,107.65
1.06,75.98,12.36,87.85,6.46,2.79,0.88,104.54,200.63,59.52,138.94,226.54,18.61,31.17,32.4,75.26,18.2,131.38,66.81,3.61,104.67,106.3
1.08,77.19,12.65,88.24,6.55,2.84,0.89,104.94,200.57,59.77,139.4,226.29,18.31,31.15,32.37,75.27,17.88,132.98,66.12,3.6,105.13,106.72
1.05,77.61,12.71,87.71,6.56,2.83,0.89,107.12,199.56,60.27,139.14,224.65,18.46,31.21,32.38,75.08,17.56,131.92,65.29,3.59,104.74,106.58
1.05,77.29,12.27,87.84,6.59,2.8,0.92,106.52,200.18,60.82,141.32,226.08,18.84,31.06,32.6,75.96,17.43,133.55,65,3.57,103.69,107.63
