"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
5.68,122.82,86.22,111.99,4.39,23.52,0,1.75,82.26,40.11,207.26,24.59,62.07,29.19,7.64,12.33,0,4.39,10.22,142.77,36.79,86.06,164
5.59,123.97,86.44,111.31,4.33,23.39,0,1.71,82.18,39.84,207.77,24.93,62.33,29.09,7.37,11.74,0,4.31,10.16,144,36.83,86.69,164.25
5.6,126.74,87.5,113.87,4.43,24.02,0,1.75,82.88,40.49,218.93,25.94,64.03,29.91,7.83,12,0,4.43,10.09,145.68,37.06,87.21,166.08
5.72,121.49,85.56,111.85,4.27,23.35,0,1.72,80.24,39.7,211.23,25.64,61.51,29.25,7.73,11.46,0,4.37,10.05,145.15,36.75,86.27,163.68
5.78,124.03,87.56,115.61,4.36,24,0,1.47,82.02,40.55,208.51,25.04,60.88,28.91,7.7,11.39,0,4.32,10.02,143.45,36.26,86.57,163.88
6.8,128.52,88.66,119.01,4.43,24.4,0,1.55,83.8,42.28,211.12,25.09,60.53,29.37,7.91,11.23,0,4.45,10.34,148.77,36.89,88.92,164.61
6.47,129.85,89.43,118.43,4.49,24.19,0,1.45,83.88,42.11,211.23,25.45,62.44,29.38,7.72,11.19,0,4.42,10.37,148.26,36.88,87.62,163.63
6.32,130.25,89.21,119.76,4.53,24.59,0,1.44,85.51,42.78,207.35,24.56,62.4,27.7,7.46,11.09,0,4.45,10.45,148.5,37.5,87.76,169.59
6.55,131.46,90.41,119.99,4.56,24.52,0,1.44,85.74,42.68,208.3,23.91,60.98,27.74,7.33,11.03,0,4.71,10.63,146.12,37.12,87.78,171.87
6.72,129.16,89.55,119.53,4.44,24.19,0,1.49,86.28,42.82,205.88,23.63,59.47,28.13,7.31,11.12,0,4.73,11.62,151.83,37.92,88.46,170.21
