"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
10.94,66.16,87.46,161.33,8.48,36.36,0,3.42,106.38,68.9,587.93,52.33,96.55,36.5,9.04,19.45,2.69,4,12.89,163.53,47.24,56.56,246.5
10.94,66.32,88.27,163.06,8.52,36.61,0,3.49,107.22,69.64,614.51,53,98.66,36.31,9.13,19.66,2.73,4.07,13.07,162.86,47.4,55.95,238.78
10.89,66.54,89.03,165.25,8.51,36.72,0,3.51,108.28,70.46,631.55,52.69,99.28,36.41,9.03,19.57,2.8,4.15,13.04,160.82,47.58,56.18,240.84
10.75,66.44,89.39,165.38,8.49,36.59,0,3.45,108.89,70.92,633.29,51.46,97.79,36.5,8.84,19.45,2.84,4.21,12.85,162.82,47.16,56.67,239.72
10.82,66.29,88.68,162.95,8.52,36.28,0,3.32,108.24,70.63,623.85,52.02,94.89,35.93,8.81,19.35,2.83,4.27,12.75,164.04,46.07,57.08,235.03
10.97,67.12,87.76,160.35,8.69,35.99,0,3.17,107.22,70.08,614.49,50.99,92.58,34.68,8.84,19.58,2.82,4.31,12.83,161.76,45.35,57.87,234.76
10.35,69.81,89.65,162.77,9.02,36,0,3.12,109.42,71.35,626.99,51.6,94.14,34.9,8.61,19.6,2.88,4.37,12.88,166.62,47.05,59.71,246.16
10.68,69.53,87.39,159.89,8.94,35.74,0,3.13,108.3,71.72,630.62,51.37,93.11,36.31,8.62,19.82,2.82,4.36,12.91,170.18,46.86,59.56,244.3
10.56,70.89,88.01,159.95,8.87,35.93,0,3.31,107.84,72.58,629.9,51.07,94.62,34.88,8.55,20.1,2.81,4.27,12.92,172.55,46.97,61.15,239.03
11.1,70.21,87.83,159.49,8.66,35.85,0,3.34,107.84,72.12,641.76,52.12,97.28,35.15,8.45,19.7,2.79,4.33,12.92,150.94,46.44,60.99,233.44
10.42,70.6,88.93,159.72,8.74,35.9,0,3.38,109.14,72.06,644.45,51.93,96.03,34.56,8.33,19.65,2.7,4.45,13,159.83,46.88,62.86,238.28
11,73.22,89.37,159.66,8.94,36.09,0,3.35,110.59,72.92,662.27,52.8,97.9,34.6,8.41,19.63,2.69,4.57,12.88,159.08,46.86,63.34,239.88
10.56,72.86,86.61,157.53,8.9,35.79,0,3.27,110.28,71.78,650.53,51.66,96.78,34.46,8.51,19.63,2.65,4.63,13.11,160.89,45.52,62.34,238.66
10.7,73.29,88.22,159.49,8.91,36.17,0,3.5,111.55,72.43,687.38,55.18,101.96,36.07,8.62,20.32,2.67,4.68,13.05,160.53,46,62.43,238.16
10.77,71.3,87.02,158.45,8.79,35.72,0,3.58,111.58,72.18,688.56,54.37,100.88,37.61,8.49,20.2,2.63,4.7,13.21,159.86,45.36,61.26,234.57
10.8,72.25,87.07,159.49,9.14,35.89,0,3.4,112.61,71.56,686.61,54.09,101.57,37.31,8.47,20.11,2.6,4.72,13.24,160.35,45.45,61.79,236.32
11.31,74.67,87.44,161.1,9.21,36.17,0,3.48,113.84,71.81,711.99,56.13,104.15,37.69,8.33,20.17,2.54,4.76,13.43,164.15,45.91,63.63,241.25
11.38,74.34,87.64,159.95,9.14,36.34,0,3.49,113.94,73.23,715.51,58.32,105.33,38.32,8.38,21.17,2.52,4.76,13.37,165.07,45.7,64.12,240.52
11.37,74.05,87.67,161.51,9.04,36.16,0,3.55,113.13,74.04,698.85,57.5,102.85,37.68,8.57,20.82,2.49,4.63,13.36,164.78,45.84,64.13,242.22
11.46,74.5,87.9,163.81,9.08,35.99,0,3.5,112.82,75.03,693.63,57.36,103.09,37.82,8.29,20.58,2.58,4.54,13.28,165.62,46.66,64.42,249.28
11.37,75.78,88.31,164.04,9.02,35.92,0,3.58,113.32,76.17,700.41,57.5,103.19,38.11,8.15,20.6,2.54,4.54,13.41,164.79,45.63,63.4,243.12
11.45,75.78,87.53,163.35,8.98,35.68,0,3.53,113.07,73.91,707.91,57.55,102.76,38.37,7.9,20.5,2.53,4.65,13.33,166.81,45.5,64.39,248.87
11.42,73.89,87.25,162.6,9.03,35.48,0,3.46,112.76,72.77,705.1,59.86,103.85,38.53,7.71,20,2.55,4.75,13.65,167.91,45.42,64.14,246.82
11.38,74.46,88.89,164.79,9.24,35.82,0,3.53,114.34,75.09,713.43,61.02,103.11,39.72,7.93,20.65,2.58,4.72,13.44,168.17,45.77,64.77,244.83
11.43,75.2,89.86,164.79,9.14,36.41,0,3.48,114.31,75.18,704.58,59.67,99.77,38.74,7.81,20.3,2.57,4.75,12.98,170.61,46.54,65.34,244.18
11.33,76.81,90.41,167.27,9.05,38.12,0,3.53,115.3,75.93,718.26,62.81,98.42,39.32,7.68,20.65,2.59,4.65,13.27,173.64,47.25,66.6,249.05
11.52,77.01,91.33,168.77,9.04,38.12,0,3.67,116.75,76.98,721.42,63.73,103.12,39.69,7.77,20.63,2.64,4.78,13.43,173.69,47.54,66.02,245.92
11.38,77.96,91.86,167.91,9.06,38.43,0,3.78,116.69,77.2,726.16,65.08,107.29,39.89,7.95,20.52,2.62,4.88,13.5,172.8,47.41,65.87,244.28
11.6,79.76,93.18,171.65,9.06,38.96,0,3.83,116.57,78.7,736.15,65.96,109.4,40.1,7.85,20.23,2.59,4.93,13.66,174.69,47.63,66.54,254.97
11.95,79.74,92.74,170.27,9.05,38.42,0,3.82,120.65,79.01,747.72,66.75,110,40.28,8,20.02,2.62,4.78,13.65,172.3,47.55,65.68,252.07
12.33,77.75,91.91,172.4,9.1,38.95,0,3.8,121.12,79.86,757.22,67.28,109.64,40.41,8.16,19.81,2.63,4.95,13.71,174.05,48.11,65.57,260.24
12.11,76.98,92.76,173.61,9.1,39.17,0,3.78,121.12,79.08,761,67.37,108.86,40.43,7.81,19.67,2.63,4.81,13.53,175.19,48.12,64.95,264.05
12.14,78.12,93.76,172.81,9.21,39.47,0,3.8,122.05,77.92,755.41,67.39,108.2,40.32,7.59,19.64,2.64,4.94,13.63,172.76,48.22,65.36,261.59
12.42,77.88,93.85,170.62,9.16,39.23,0,3.83,121.8,77.46,747.72,67.44,107.64,40.06,7.52,19.86,2.65,4.93,13.66,171.94,48.35,59.2,268.42
12.36,79.58,99.45,170.62,9.28,39.72,0,3.99,121.95,78.46,765.77,68.82,108.06,40.16,7.39,19.92,2.6,4.86,13.63,174.73,48.58,59.69,269.28
12.36,77.16,100.61,171.94,9.38,39.91,0,4.04,123.04,79.39,767.76,70.79,113.88,41.1,7.49,20.06,2.61,4.91,13.52,173.96,48.13,59.85,270.68
12.06,78.95,101.14,173.67,9.45,40.25,0,3.97,123.66,78.31,754.88,69.16,110.21,39.92,7.23,18.99,2.6,4.89,13.53,174.91,48.91,60.93,271.27
11.4,79.17,101.2,172.98,9.53,39.98,0,4.01,123.69,78.62,770.72,72.77,113.61,40.69,7.24,19.06,2.65,4.81,13.62,176.91,48.89,61.28,272.66
11.05,78.15,101.25,172.4,9.51,39.67,0,3.98,122.32,78.08,761.09,72.56,112.31,39.83,7.35,19.18,2.66,4.84,13.33,174.73,48.36,61.11,268.92
10.9,79.36,101.41,174.19,9.55,39.61,0,3.96,123.25,77.77,752.16,71.87,112.43,39.49,7.55,19.44,2.68,4.8,13.36,166.98,48.25,61.41,268.3
10.86,78.71,101.67,176.38,9.59,39.75,0,3.9,123.87,78.77,750.16,70.89,110.41,39.59,7.65,19.38,2.67,4.84,13.42,165.74,48.42,62.08,305.83
10.95,75.85,101.64,175.17,9.58,39.68,0,4,124.06,78.46,756.15,71.34,110.73,39.49,7.58,19.53,2.69,4.84,13.64,169.06,48.83,61.93,309.66
11.16,76.32,101.46,173.79,9.55,39.42,0,3.95,124.03,77.92,773.14,74.23,114.77,40.73,7.49,19.36,2.7,4.86,13.66,167.15,48.54,61.06,304.48
11.18,76.32,101.6,174.42,9.63,39.04,0,3.8,125.3,77.69,757.54,71.79,112.7,41.35,7.45,19.06,2.72,4.89,13.65,169.39,49.21,61.06,306.52
11.3,75.95,101.2,172.98,9.49,38.58,0,3.78,122.76,73.98,771.45,72.97,114.46,40.56,7.69,19.09,2.85,4.85,13.65,169.23,49.07,61.1,305.61
11.05,79.06,102.17,174.65,9.67,38.27,0,3.76,123.35,75.25,786.44,74.47,115.7,39.88,7.83,19.15,2.88,4.55,13.5,169.16,49.49,61.68,312.64
11.23,83.95,103.65,176.61,9.7,38.59,0,3.85,124.27,76.76,822.1,79.06,120.2,40.87,8.07,19.75,2.93,4.45,13.68,171.95,49.82,61.42,304.83
11.21,82.63,102.93,177.65,9.77,38.91,0,3.86,125.92,77.61,814.31,80.46,125.81,41.96,8.14,19.74,2.9,4.37,13.67,170.65,51,61.26,306.96
11.21,83.83,103.33,177.54,9.12,39.23,0,3.98,126.13,78.16,812.28,81.01,124.8,41.62,8.08,19.59,2.88,4.31,13.59,167.49,51.46,61.11,309.56
11.31,83.66,103.86,177.71,9.1,39.31,0,4.05,126.53,77.92,799.98,80.19,124.49,41.43,8.03,19.86,2.89,4.33,13.64,166.04,48.86,60.19,311.86
11.59,82.86,104.39,180.01,9.14,40.03,0,3.94,127.62,79.16,779.7,77.04,120.24,40.92,7.98,19.74,2.86,4.41,13.79,167.69,49.8,60.05,312.47
11.34,82.44,104.48,179.38,9.24,39.85,0,3.85,127.43,80.48,768.21,74.42,115.88,39.08,7.96,19.76,2.9,4.39,13.78,166.2,49.93,59.47,314.21
11.32,82.74,104.9,179.03,9.26,40.11,0,3.9,127.09,77.85,790.07,79.15,118.73,39.53,8.21,19.67,2.89,4.53,13.88,168.34,50.27,60.12,319.04
11.3,82.83,104.76,178.75,9.42,40,0,3.85,127.8,76.95,775.93,78.44,116.75,39.79,8.25,19.89,2.9,4.49,13.76,168.8,50.48,60.24,313.79
11.16,82.04,104.96,179.15,9.42,40.09,0,3.85,128.21,77.07,785.3,79.68,115.33,39.15,8.2,19.56,2.95,4.47,13.83,170.62,50.17,60.61,316.06
11.45,81.55,106.09,181.74,9.58,40.08,0,3.85,126.47,76.95,810.29,80.36,114.88,40.56,8.43,19.73,2.89,4.4,14.04,170.62,50.21,60.51,307.6
11.67,82.71,107.36,183.13,9.73,40.45,0,4.01,126.69,78,809.66,82.05,116.99,40.56,8.29,19.79,2.97,4.43,13.88,170.44,50.68,60.83,306.68
11.85,83.48,106.23,182.15,9.69,40.53,0,4.21,127.52,78.16,843.73,90.26,124.7,43.27,8.19,19.85,2.99,4.58,13.95,171.08,51.06,60.95,312.76
11.67,85.69,106.39,181.23,9.74,40.29,0,4.15,128.11,78.23,825.51,89.57,122.38,42.69,8.19,19.66,2.99,4.54,13.96,167.34,51.28,60.78,302.3
11.66,84.4,106.74,182.15,9.77,40.39,0,4.22,127.12,75.56,825.74,89.27,122.85,42.51,8.13,19.72,3.06,4.49,13.94,164.63,50.65,59.78,298.42
11.41,84.75,107.59,184.63,9.93,41.23,0,4.03,127.34,75.09,818.58,88.43,123.65,41.97,8.11,19.89,3.05,4.49,14.06,169.37,51.36,60.81,297.15
11.31,82.81,107.04,181.63,9.78,40.53,0,4.09,126.63,74.81,827.01,89.62,123.87,41.86,8.04,19.57,3.01,4.42,14.06,169.5,51.74,59.47,286.05
11.06,82.12,106.74,182.9,10.08,40.58,0,3.98,125.08,73.14,807.79,86.25,118.63,40.78,7.86,18.82,3.11,4.36,14.08,168,52.31,58.77,286.55
11.03,83.68,107.94,184.45,10.22,41.12,0,3.89,127.74,73.42,805.11,87.98,117.9,39.82,7.81,19.32,3.12,4.49,14.11,171.79,52.72,59.48,292.89
10.97,84.43,107.89,183.82,10.11,40.7,0,3.98,127.74,73.48,821.31,91.64,122.81,42.24,7.67,19.23,3.1,4.37,13.92,170.12,52.59,59.3,291.05
10.94,84.39,108.35,184.57,10.16,41.14,0,3.99,129.17,75.86,840.29,94.06,123.68,42.84,7.6,19.62,3.12,4.44,14.19,172.51,52.65,59.28,290.95
11,86.26,108.52,184.57,10.09,41.24,0,4.24,129.04,76.02,889.45,98.94,135.83,44.96,7.96,19.92,3.17,4.45,14.39,175.38,52.78,59.67,295.07
11.37,85.98,107.76,183.19,10.03,40.8,0,4.21,129.01,75.69,894.66,100.58,134.48,48.08,7.83,20.06,3.23,4.44,14.45,177.58,53.59,60.39,290.1
11.35,86.42,109.19,185.43,10.02,41.26,0,4.1,129.85,77.21,885.28,100.06,130.3,48.09,7.71,20.06,3.18,4.43,14.03,176.76,52.9,60.17,285.61
11.34,86.17,109.14,184.97,9.98,40.74,0,4.33,130.74,76.67,879.55,99.36,128.88,50.63,7.63,19.96,3.23,4.45,13.99,179.64,52.65,59.85,279.7
11.22,87.1,109.83,184.57,10,40.84,0,4.35,130.4,76.14,900.91,104.39,130.2,51.19,7.73,20.32,3.18,4.58,14.17,191.44,53.09,60.76,284
10.85,88.7,109.46,184.74,10.03,40.99,0,4.29,130.22,76.53,926.87,108.6,128.91,50.89,7.65,20.3,3.17,4.61,13.94,193.15,53.23,60.63,268.33
10.83,88.25,109.39,185.03,10.08,41.09,0,4.28,131.24,75.56,937.62,106.23,127.12,50.54,7.6,20.1,3.13,4.59,13.86,192.29,53.04,60.78,267.81
10.97,88.39,109.25,184.34,9.91,41.12,0,4.37,131.24,75.15,942.58,114.59,129.3,50.42,7.76,20.3,3.15,4.67,13.91,190.98,52.9,59.57,269.53
11.01,89.38,109.21,184.51,10.06,41.03,0,4.48,131.55,75.37,987.34,111.45,133.31,50.59,7.8,19.99,3.07,4.64,13.77,190.1,53.01,59.39,268.15
11.19,90.04,108.98,184.74,10.13,41.02,0,4.36,131.61,75.28,963.71,103.95,124.96,49.78,7.92,20.25,3.07,4.56,13.7,191.13,53.11,60.09,266.61
11.49,90.45,108.47,183.13,10.11,40.92,0,4.34,131.33,75.17,952.09,103.76,126.35,50.83,7.8,20.25,3.07,4.51,13.79,190.53,53.3,60,261.34
11.6,90.71,109,183.3,10.15,40.99,0,4.5,132.32,75.57,944.65,104.79,124.91,49.15,7.85,20.09,3.07,4.61,13.9,190.92,53.71,60.44,264.27
11.9,91.09,108.1,180.53,10.07,40.95,0,4.43,131.18,74.83,978.91,106.45,126.23,49.78,7.93,20.53,3.11,4.63,13.79,190.08,52.58,59.53,268.52
11.92,90.36,108.61,180.3,9.95,40.88,0,4.48,130.22,73.34,991.52,107.92,125.1,49.85,7.94,20.53,3.11,4.51,13.79,191.62,52.9,59.42,266.07
12.3,92.12,108.61,178.52,9.96,41.06,0,4.49,129.83,72.94,984.75,106.59,127.05,52.91,7.9,20.27,3.09,4.52,13.92,198.84,52.87,61.42,266.97
12.4,93.02,109.09,177.52,10.03,41.33,0,4.49,129.87,73.58,992.14,105.89,128.3,52.09,7.86,20.21,3.09,4.57,13.9,203.43,52.96,61.82,267.77
12.3,92.68,109.88,177.98,10.11,41.59,0,4.49,130.32,74.7,988.6,105.34,126.53,51.5,7.84,20.25,3.08,4.62,13.92,205.46,53.01,61.15,271.66
12.37,92.08,110.18,179.38,10.15,41.78,0,4.51,131.18,75.71,1015.46,108.65,126.83,51.42,7.88,20.22,3.08,4.67,13.97,207.51,52.86,61.27,277.9
12.73,91.41,109.74,180.76,10.17,41.79,0,4.53,131.61,75.79,1010.26,107.8,125.81,51.35,7.92,20.4,3.1,4.68,13.46,210.09,53.13,62.51,276.75
12.76,89.58,110.15,180.3,10.3,41.72,0,4.45,130.59,74.32,991.91,104.78,123.67,50.09,7.82,20.84,3.12,4.84,13.5,212.2,52.67,62.81,299.59
12.62,90.28,111.05,179.73,10.27,42.33,0,4.42,133.41,74.33,984.33,106.53,122.08,50.61,7.78,20.43,3.11,4.83,13.52,212.17,53.59,63.83,304.59
12.62,90.87,110.41,180.42,10.22,42.14,0,4.46,133.1,74.92,1012.32,106.55,125.24,49.06,7.89,20.17,3.14,4.85,13.53,212.54,52.98,63.86,304.3
12.66,91.4,111.01,179.15,10.37,42.47,0,4.6,133.5,73.96,1014.47,106.62,122.56,53.12,8,20.24,3.11,4.88,13.59,211.84,53.27,64.17,310.01
12.66,91.26,111.22,178.02,10.28,42.44,0,4.76,134.18,75.59,1002.65,98.36,117.67,54.97,7.93,20.39,3.14,4.82,13.58,212.08,52.15,59.38,304.75
12.58,90.85,111.1,178.05,10.16,42.01,0,4.8,133.41,75.09,985.95,95.46,113.53,53.79,7.75,20.26,3.19,4.74,13.5,209.14,51.99,59.92,317.82
12.58,90.92,111.26,178.98,10.23,42.14,0,4.66,135.57,76.58,965.8,96.77,111.63,52.01,7.56,19.76,3.18,4.73,13.42,211.4,53,61.35,328.86
12.06,90.58,111.08,178.8,10.22,42.13,0,4.58,134.71,76.31,943.62,95.94,113.45,52.08,7.44,19.63,3.17,4.77,13.43,210.36,52.64,61,328.36
12.06,87.39,110.34,178.69,10.44,42.2,0,4.59,134.71,77.04,926.94,99.94,118.37,54.33,7.46,19.72,3.2,4.67,13.36,207.98,52.48,60.09,327.9
11.12,87.55,111.03,181.11,10.61,42.56,0,4.6,135.14,76.27,921.15,99.87,118.73,52.83,7.54,19.35,3.24,4.74,13.15,207.36,52.89,59.18,335.2
11.11,85.56,109.85,178.05,10.53,42.57,0,4.45,135.39,76.5,894.46,95.63,115.07,49.87,7.48,19.56,3.28,4.62,13.16,201.94,52.31,58.35,333.23
11.08,85.51,110.59,177.19,10.63,42.64,0,4.59,135.08,76.1,944.78,103.32,119.35,53.24,7.64,19.26,3.34,4.57,13.39,203.28,51.88,58.64,347.78
11.06,84.48,109.48,176.38,10.56,42.75,0,4.56,134.86,75.62,929.03,107.91,117.88,54.87,7.53,19.38,3.35,4.5,13.49,201.17,50.71,57.9,344.45
11.16,85.54,111.28,178.11,10.48,43.09,0,4.45,135.08,75.2,923.39,106.74,116.54,54.36,7.58,19.51,3.39,4.48,13.53,205.49,51.72,58.42,348.09
11.44,86.12,111.84,179.32,10.47,43.57,0,4.53,136.19,76.05,965.5,114.46,126.12,56.17,7.46,19.33,3.4,4.39,13.61,204.99,51.58,58.32,343.82
11.37,86.96,113.2,183.24,10.48,44.01,0,4.69,136.81,76.75,968.59,114.56,126.2,56.56,7.51,19.33,3.41,4.4,13.57,206.86,52.32,58.55,343.41
11.52,85.69,112.3,185.2,10.59,43.98,0,4.58,136.74,77.05,944.43,110.89,124.35,54.46,7.59,19.43,3.43,4.37,13.44,204.94,52.14,58.66,341.63
11.45,84.15,111.77,183.13,10.52,43.92,0,4.34,136.16,77.06,921.69,108.33,123.47,54.15,7.9,19.72,3.43,4.37,13.34,203.11,51.78,58.06,347.69
11.23,84.03,111.79,185.43,10.6,43.67,0,4.27,135.85,76.99,932.15,108.53,122.76,53.79,7.86,20.39,3.39,4.52,13.38,205,52.68,58.77,346.56
11.28,84.7,112.32,186.76,10.57,43.59,0,4.38,136.97,77.06,924.91,107.61,121.01,52.97,7.72,20.32,3.3,4.55,13.5,204.91,52.83,59.27,342.55
11.3,85,111.47,186.53,10.49,43.61,0,4.32,136.56,76.19,896.74,103.97,117.04,50.98,7.64,19.79,3.27,4.55,13.55,206.21,52.28,59.4,336.95
11.05,84.81,112.85,187.8,10.48,43.98,0,4.23,138.85,76.67,914.97,105.21,119.62,51.55,7.81,20.26,3.26,4.51,13.29,198.69,52.14,58.74,335.39
11.12,85.68,113.08,188.03,10.49,44.32,0,4.23,139.6,76.11,915.5,106.24,120.42,51.46,7.64,19.6,3.25,4.55,13.29,195.88,51.9,58.2,339.19
11.26,85.29,112.28,187.4,10.41,44.12,0,4.24,139.5,75.79,924.87,107.38,122.38,51.55,7.77,19.64,3.28,4.57,13.39,194.19,51.35,57.23,335.81
11.19,83.83,110.91,185.43,10.29,43.55,0,4.32,136.04,73.62,949.78,108.9,121.62,50.67,7.63,19.42,3.23,4.56,13.65,188.9,50.84,55.47,320.45
11.08,85.35,111.75,186.65,10.16,44.07,0,4.3,134.78,72.33,942.88,107.41,120.18,50.93,7.69,19.41,3.19,4.61,13.79,187.36,51.04,54.75,317.55
11.03,83.75,108.52,182.09,10.09,43.7,0,4.41,135.42,72.09,927.66,105.45,119.2,50.63,7.88,19.17,3.04,4.64,13.94,176.48,49.98,54.98,314.31
10.68,84.22,109.78,183.42,10.08,44.16,0,4.41,135.36,71.95,929.03,105.67,118.42,49.28,7.97,19.03,3.03,4.61,13.92,177.32,50.34,55.9,315.63
10.72,85.69,109.74,180.36,10.13,43.32,0,4.27,133.75,71.62,911.65,103.31,115.85,47.81,8.14,19.12,3.1,4.58,13.8,184.47,51.78,58.01,305.67
10.75,85.76,110.82,183.36,10.18,43.83,0,4.31,134.85,72.63,907.78,103.16,116.51,47.02,8.12,19.04,3.11,4.6,13.9,187.08,54.04,57.44,309.95
11.05,85.64,111.03,181.57,10.08,44.27,0,4.32,137.34,73.9,897.98,101.33,116.36,46.97,7.95,18.8,3.11,4.66,13.79,184.38,55.88,57.74,319.93
10.97,87.06,112.02,184.74,10.14,44.76,0,4.35,138.42,74.09,889.59,106.47,116.03,46.93,7.86,18.69,3.09,4.66,13.76,188.44,56.5,56.98,320.34
11.07,87.3,113.15,183.94,10.02,44.7,0,4.4,137.6,73.86,907.24,104.61,118.11,48.24,8.05,19.12,3.16,4.68,13.87,191.99,57.23,54.76,317.96
11.24,87.61,112.81,183.59,10.16,44.61,0,4.41,137.92,74.02,948.7,113.48,122.21,50.84,8.02,19.25,3.17,4.69,13.91,195,57.18,54.65,333.63
11.21,88.72,113.73,183.59,10.18,45.06,0,4.39,140.93,74.74,944.34,112.09,120.7,49.82,8.25,19.42,3.16,4.67,14.16,189.36,57.58,54.88,338.2
11.24,88.08,113.66,183.36,10.14,44.98,0,4.49,140.43,74.46,947.78,111.23,118.7,49.39,8.07,19.25,3.18,4.72,14.08,189.42,57.31,55.12,341.85
11.21,86.94,111.33,182.03,10.1,44.91,0,4.48,136.28,73.59,950.9,109.33,118.58,49.16,7.85,19.29,3.17,4.66,13.89,187.72,56.26,54,339.3
10.94,86.41,111.65,184.63,10.15,44.67,0,4.41,136.53,73.9,949.86,108.11,118.67,47.4,7.7,19.16,3.16,4.71,13.92,187.29,54.88,53.68,337.56
10.97,89.28,112.14,187.91,10.29,44.55,0,4.42,138.11,74.19,955.06,108.41,119.28,47.96,7.62,19.25,3.16,4.77,13.82,182.03,54.21,54.12,338.39
11.23,89.81,112.74,187.22,10.1,44.47,0,4.58,136.62,73.9,970.89,110.3,120.23,49.15,7.43,19.28,3.11,4.81,13.91,184.31,55,54.66,338.06
11.21,91.06,113.84,188.89,10.34,44.59,0,4.67,136.69,74.6,1015.48,117.66,124.01,50.67,7.75,19.19,3.13,4.86,13.82,185.84,55.45,54.98,343.01
10.97,92.01,114.63,187.8,10.34,44.41,0,4.69,135.79,74.3,1016.83,117.67,125.1,49.69,7.89,19.26,3.06,4.88,13.75,183.89,55.16,55.42,346.58
10.95,91.55,115.04,188.61,10.61,45.07,0,4.68,136.84,74.35,1028.26,119.85,126.67,50.12,7.96,19.35,3.12,4.84,13.78,181.35,55.28,55.46,349.36
11.11,90.47,114.95,188.09,10.31,44.97,0,4.64,137.43,74.09,1023.78,119.68,126.18,49.77,7.99,19.07,3.18,4.8,13.79,183.9,55.71,55.42,361.38
10.94,89.19,113.61,187.16,9.96,44.55,0,4.62,136.44,73.78,1020.53,118.57,125.91,49.79,8.1,19.05,3.16,4.78,13.78,185.02,54.92,54.97,358.3
11,88.19,111.86,186.18,9.9,44.28,0,4.73,133.65,73.28,1037.76,122.17,125.78,52.14,8.21,18.91,3.18,4.77,13.65,188.3,55.28,55.37,365.56
11.05,89.77,113.24,186.88,9.93,44.45,0,4.76,135.02,74.33,1024.84,122.86,126.64,52.01,8.34,19.15,3.15,4.73,13.89,197.07,55.52,55.98,378.08
11.09,90.3,113.36,187.8,10.07,44.3,0,4.79,135.88,75.73,1074.69,131.24,135.32,52.9,8.38,19.39,3.08,4.71,13.83,196.12,56.14,56.3,380.44
11.28,92.18,114.47,186.24,10.2,45.07,0,4.8,138.11,76.28,1067.55,133.31,139.14,52.54,8.48,19.31,3.07,4.79,13.79,198.79,56.61,56.13,379.83
11.3,95.96,115.95,190.28,10.41,45.75,0,4.74,142.63,78.16,1028.91,129.05,137.05,51.39,8.26,19.8,3.05,4.99,13.9,199.84,57.33,56.84,383.38
11.35,95.43,115.55,188.61,10.21,45.54,0,4.71,141.79,77.44,1021.93,128.2,132.52,49.89,8.22,19.48,3.02,5.02,13.94,197.87,57.54,57.06,384.96
11.34,95.14,115,186.3,10.17,45.03,0,4.78,140.34,76.62,1041.32,135.2,134.75,50.33,8.28,19.69,3,5.02,14.2,197.52,57.15,56.85,386.59
11.23,94.92,116.13,186.47,10.19,45.33,0,4.82,142.35,77.04,1025.74,132.3,134.33,49.55,8.28,19.76,3.04,5,14.14,200.1,56.43,56.44,388.36
11.46,94.44,116.01,187.4,10.17,45.35,0,4.67,142.1,76.96,1016.62,131.24,134.75,49.83,8.13,19.36,3.03,5.02,14.17,198.01,56.03,55.54,381.98
11.76,93.14,114.21,183.19,10.1,45.16,0,4.76,141.39,76.08,1023.4,131.68,134.41,49.52,7.99,19.35,3.08,5.03,14.43,200.83,56.36,55.89,384.83
12,92.03,114.19,181.34,10.08,45.12,0,4.74,141.24,75.88,1022.25,128.64,133.33,48.71,8.08,19.58,3.08,4.94,14.45,197.71,56.38,54.8,383
11.73,91.02,114.56,181.4,10.02,44.54,0,4.59,139.16,74.49,1027.03,130.8,136.53,48.9,8.35,19.86,3.09,4.81,14.45,199.68,56.05,54.39,397.03
11.6,90.46,114.54,181.46,10.04,44.68,0,4.71,139.69,74.52,1016.44,130.28,134.18,48.94,8.39,19.42,3.09,4.82,14.41,198.77,55.85,53.7,386.93
11.78,90.81,115.38,181.17,9.99,44.93,0,4.7,138.79,74.3,1008.18,128.71,132.42,48.17,8.51,19.56,3.1,4.78,14.4,197.88,55.91,54.49,390.7
11.81,91.29,115.44,181.11,9.91,45.16,0,4.66,137.99,74.39,1003.49,128.74,131.66,49.02,8.51,19.87,3.07,4.76,14.4,199.35,55.76,54.29,390.55
11.95,91.36,115.02,181.05,9.99,44.67,0,4.76,138.14,74.32,986.83,126.03,129.29,49.2,8.6,19.96,3.04,4.82,14.37,202.58,55.72,54.38,389.61
12.06,96.42,115.44,181.34,9.87,44.49,0,4.79,138.76,75.25,995.55,127.21,131.21,49.06,8.33,19.66,3.04,4.78,14.37,201.57,55.67,54.59,387.65
12.03,97.47,115.44,181.74,9.88,44.4,0,4.81,138.98,75.32,996.85,128.57,131.27,48.51,8.56,19.66,3.02,4.75,14.21,201.24,55.17,54.23,394.04
12.18,98.83,116.53,184.86,9.84,44.76,0,4.92,139.6,76.28,993.58,125.04,127.58,49.49,8.4,20.15,2.97,4.81,14.19,202.29,55.89,56.28,386.03
12.41,99.57,117.22,182.67,9.93,44.05,0,4.95,140,75.88,985.89,124.47,126.1,49.21,8.27,19.68,2.87,4.75,14.11,204.17,55.4,56.65,385.65
12.79,103.79,118.09,181.51,9.85,42.62,0,4.97,141.61,76.58,1002.98,126.74,126.65,48.56,8.34,19.96,2.86,5.15,14.17,203.08,54.66,56.68,386.39
12.95,104.28,118.9,183.13,9.84,43.65,0,4.89,143.74,77.57,1005.09,126.28,125.3,48.02,8.45,20.02,2.86,5.23,14.45,204,55.22,56.59,398.64
12.95,105.38,111.38,182.61,9.76,44.82,0,4.87,140.37,78.28,1016.96,128.9,125.61,48.33,8.36,20.34,2.9,5.42,14.29,199,55.2,56.51,391.17
