"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)","U:NOC(P)","U:NOC(EPS)","U:NOC(PA)","U:NOC(PB)","U:RTX(P)","U:RTX(EPS)","U:RTX(PA)","U:RTX(PB)","U:HII(P)","U:HII(EPS)","U:HII(PA)","U:HII(PB)","U:LMT(P)","U:LMT(EPS)","U:LMT(PA)","U:LMT(PB)","@AXON(P)","@AXON(EPS)","@AXON(PA)","@AXON(PB)","@MANT(P)","@MANT(EPS)","@MANT(PA)","@MANT(PB)","U:BWXT(P)","U:BWXT(EPS)","U:BWXT(PA)","U:BWXT(PB)","U:CW(P)","U:CW(EPS)","U:CW(PA)","U:CW(PB)","@SWBI(P)","@SWBI(EPS)","@SWBI(PA)","@SWBI(PB)","U:GD(P)","U:GD(EPS)","U:GD(PA)","U:GD(PB)","U:RGR(P)","U:RGR(EPS)","U:RGR(PA)","U:RGR(PB)","@POWW(P)","@POWW(EPS)","@POWW(PA)","@POWW(PB)","U:CACI(P)","U:CACI(EPS)","U:CACI(PA)","U:CACI(PB)","@HON(P)","@HON(EPS)","@HON(PA)","@HON(PB)"
"06/02/17",1.27,0,1.29,1.27,101.94,5.69,102.46,101.9,18.23,1.05,18.24,18.2,114.34,5.18,114.34,114.19,880.03,52.93,880.68,880.03,580.69,7.39,580.95,580.69,388.81,13.12,389.04,388.81,2.05,0.09,2.05,2.05,258.52,12.79,258.24,258.21,72.03,3.78,72.02,72,193.79,11.82,193.79,193.77,281.76,17.13,281.51,281.46,24.52,0.3,24.52,24.51,39.97,1.51,39.97,39.96,49.19,1.85,49.21,49.19,90.91,4.16,90.91,90.9,18.23,1.83,18.23,18.23,203.7,9.71,203.75,203.71,66.05,4.58,66.1,66.05,2.75,0,6.97,6.94,124.8,6.54,124.85,124.8,128.33,6.07,128.2,128.18
"06/05/17",1.25,0,1.26,1.25,101.94,5.69,102.24,101.63,18.11,1.05,18.11,18.07,113.08,5.18,113.09,113.08,882,52.93,882,881.34,579.24,7.39,579.5,579.24,390.13,13.12,390.13,389.9,2.04,0.09,2.04,2.04,255.61,12.79,255.72,255.68,71.36,3.78,71.37,71.36,191.18,11.82,191.17,191.13,280.13,17.13,280.22,280.16,24.4,0.3,24.41,24.4,39.9,1.51,39.94,39.93,48.78,1.85,48.79,48.78,92.23,4.16,92.22,92.21,18.2,1.83,18.2,18.2,201.47,9.71,201.5,201.48,65.5,4.58,65.55,65.5,2.75,0,6.96,6.93,123.75,6.54,123.85,123.8,127.81,6.07,127.84,127.82
"06/06/17",1.24,0,1.25,1.24,100.21,5.69,100.74,100.16,18.2,1.05,18.21,18.2,113.22,5.18,113.22,113,884.62,52.93,884.62,883.97,583.58,7.39,584.1,583.58,389.9,13.12,389.9,389.68,2.05,0.09,2.05,2.05,253.19,12.79,253.31,253.27,70.85,3.78,70.86,70.85,188.83,11.82,188.83,188.82,276.88,17.13,276.98,276.97,24.66,0.3,24.66,24.65,39.63,1.51,39.64,39.62,48.31,1.85,48.34,48.33,90.63,4.16,90.63,90.62,18.3,1.83,18.3,18.3,198.44,9.71,198.48,198.45,65.95,4.58,66.05,65.95,2.75,0,6.97,6.93,123.75,6.54,123.8,123.75,127.09,6.07,127.13,127.12
"06/07/17",1.25,0,1.25,1.22,99.87,5.69,99.54,99.12,17.99,1.05,18,17.99,112.85,5.18,112.93,112.74,876.74,52.93,877.4,876.74,585.94,7.39,585.94,585.15,387.29,13.12,387.29,387.07,2.03,0.09,2.03,2.03,254.67,12.79,254.59,254.57,70.65,3.78,70.66,70.65,189.88,11.82,189.86,189.8,277.38,17.13,277.46,277.4,24.26,0.3,24.26,24.25,39.7,1.51,39.72,39.69,48.3,1.85,48.3,48.29,90.33,4.16,90.34,90.33,18.25,1.83,18.26,18.25,198.87,9.71,198.85,198.81,65.85,4.58,65.95,65.9,2.75,0,7,6.95,122.35,6.54,122.35,122.3,127.07,6.07,127.08,127.07
"06/08/17",1.3,0,1.32,1.29,98.95,5.69,100.38,99.81,18.36,1.05,18.36,18.35,113.13,5.18,113.15,112.93,868.21,52.93,868.86,868.21,589.62,7.39,589.49,587.65,387.29,13.12,387.29,387.07,2.03,0.09,2.03,2.03,256.14,12.79,256.11,256.06,70.74,3.78,70.75,70.74,192.51,11.82,192.5,192.46,277.62,17.13,277.7,277.69,24.44,0.3,24.44,24.43,40.11,1.51,40.12,40.11,48.09,1.85,48.09,48.07,92.33,4.16,92.33,92.31,18.24,1.83,18.24,18.23,199.64,9.71,199.65,199.64,66.45,4.58,66.45,66.4,2.75,0,7.05,6.98,123.9,6.54,124,123.95,127.87,6.07,127.82,127.81
"06/09/17",1.34,0,1.34,1.32,100.1,5.69,100.4,99.82,18.5,1.05,18.5,18.47,113.27,5.18,113.27,113.19,889.22,52.93,889.22,888.57,580.95,7.39,581.87,580.95,396.24,13.12,396.24,395.79,2.05,0.09,2.05,2.05,256.69,12.79,256.64,256.6,71.16,3.78,71.13,71.13,193.47,11.82,193.5,193.49,277,17.13,277,276.99,24.37,0.3,24.38,24.37,39.87,1.51,39.87,39.84,47.92,1.85,47.94,47.92,94.26,4.16,94.25,94.24,18.41,1.83,18.42,18.41,199.47,9.71,199.42,199.34,68,4.58,68,67.9,2.75,0,7.12,7.05,123.5,6.54,123.55,123.5,128.1,6.07,128.08,128.07
"06/12/17",1.34,0,1.33,1.31,98.32,5.69,98.78,98.2,17.96,1.05,17.96,17.92,111.4,5.18,111.41,111.28,876.09,52.93,876.74,876.09,572.41,7.39,572.41,571.49,389.04,13.12,389.04,388.81,2.05,0.09,2.06,2.05,255.99,12.79,256.13,256.07,70.71,3.78,70.71,70.7,194.77,11.82,194.9,194.88,276.89,17.13,276.91,276.9,24.2,0.3,24.2,24.19,40.65,1.51,40.67,40.66,47.08,1.85,47.07,47.05,92.7,4.16,92.76,92.75,18.57,1.83,18.59,18.58,198.4,9.71,198.4,198.39,68.45,4.58,68.5,68.45,2.75,0,7.2,7.13,128.2,6.54,128.35,128.25,127.59,6.07,127.61,127.6
"06/13/17",1.32,0,1.33,1.32,99.74,5.69,100.39,99.81,18.08,1.05,18.15,18.08,111.85,5.18,111.85,111.76,866.24,52.93,866.89,866.24,579.5,7.39,579.5,578.19,388.81,13.12,389.04,388.81,2.05,0.09,2.05,2.05,257.59,12.79,257.64,257.59,70.81,3.78,70.8,70.8,196.67,11.82,196.74,196.69,278.36,17.13,278.44,278.41,24.47,0.3,24.48,24.47,40.48,1.51,40.48,40.47,47.99,1.85,48,47.99,92.56,4.16,92.57,92.56,18.43,1.83,18.43,18.43,200.55,9.71,200.55,200.51,66.9,4.58,66.95,66.9,2.25,0,7.3,7.24,127.5,6.54,127.55,127.5,128.67,6.07,128.65,128.63
"06/14/17",1.35,0,1.36,1.35,99.59,5.69,100.17,99.6,18.14,1.05,18.14,18.13,111.6,5.18,111.79,111.57,866.24,52.93,866.89,866.24,585.81,7.39,585.81,585.55,390.78,13.12,390.78,390.56,2.05,0.09,2.05,2.05,259.66,12.79,259.57,259.55,70.78,3.78,70.8,70.79,196.77,11.82,196.8,196.77,280.3,17.13,280.36,280.34,24.27,0.3,24.28,24.27,40.34,1.51,40.34,40.31,48.49,1.85,48.5,48.49,91.85,4.16,91.86,91.85,18.78,1.83,18.78,18.77,201.28,9.71,201.26,201.23,67.9,4.58,67.9,67.85,2.36,0,7.41,7.36,126.95,6.54,127,126.95,128.53,6.07,128.55,128.53
"06/15/17",1.38,0,1.38,1.35,97.92,5.69,98.32,98.17,17.69,1.05,17.72,17.69,111.92,5.18,112.07,111.83,862.95,52.93,862.95,862.3,571.1,7.39,571.23,571.1,390.34,13.12,390.34,390.13,2.05,0.09,2.05,2.05,258.64,12.79,258.73,258.67,71.22,3.78,71.24,71.22,195.56,11.82,195.58,195.56,280.93,17.13,280.97,280.96,24.76,0.3,24.77,24.76,40.43,1.51,40.43,40.42,48.36,1.85,48.37,48.36,92.16,4.16,92.19,92.18,18.49,1.83,18.5,18.49,202.03,9.71,202.02,201.98,67.35,4.58,67.45,67.35,2.06,0,7.52,7.48,126.1,6.54,126.1,126.05,128.75,6.07,128.75,128.74
"06/16/17",1.39,0,1.42,1.37,99.44,5.69,99.61,99.03,18.08,1.05,18.09,18.08,114.66,5.18,114.66,114.52,883.97,52.93,883.97,883.31,562.82,7.39,563.09,562.82,395.79,13.12,396.45,395.79,2.03,0.09,2.04,2.03,258.59,12.79,258.69,258.59,71.03,3.78,71.03,71.03,185.98,11.82,185.95,185.92,281.11,17.13,281.07,281.01,25.36,0.3,25.38,25.36,38.81,1.51,38.84,38.81,47.67,1.85,47.68,47.67,92.97,4.16,92.97,92.96,18.49,1.83,18.49,18.49,202.67,9.71,202.64,202.6,67.75,4.58,67.85,67.8,2.06,0,7.62,7.59,121.45,6.54,121.45,121.4,128.9,6.07,128.91,128.9
"06/19/17",1.34,0,1.36,1.32,102.15,5.69,102.18,101.6,18.07,1.05,18.07,18.05,114.74,5.18,114.92,114.74,888.57,52.93,889.22,888.57,578.06,7.39,578.06,577.93,403.21,13.12,403.21,402.99,2.03,0.09,2.03,2.03,261.27,12.79,261.29,261.27,71.87,3.78,71.84,71.83,187.16,11.82,187.12,187.07,282.3,17.13,282.3,282.29,25.41,0.3,25.42,25.41,38.92,1.51,38.92,38.91,48.2,1.85,48.19,48.18,93.17,4.16,93.18,93.17,18.67,1.83,18.67,18.66,204.52,9.71,204.42,204.41,68.15,4.58,68.2,68.15,2.19,0,7.7,7.68,120.95,6.54,120.95,120.9,130.06,6.07,130.01,130
"06/20/17",1.36,0,1.39,1.32,100.48,5.69,100.66,100.09,17.47,1.05,17.47,17.46,114.42,5.18,114.42,114.41,887.25,52.93,887.91,887.25,583.05,7.39,582.92,582.53,403.64,13.12,403.64,403.42,2.02,0.09,2.02,2.02,260.16,12.79,260.32,260.2,71.67,3.78,71.69,71.67,186.27,11.82,185.78,185.77,282.89,17.13,282.89,282.88,25.77,0.3,25.78,25.77,38.86,1.51,38.86,38.83,46.92,1.85,46.93,46.92,91.99,4.16,92.01,91.99,17.77,1.83,17.77,17.77,203.86,9.71,203.93,203.88,66.7,4.58,66.7,66.6,2.99,0,7.74,7.73,120,6.54,120,119.95,129.17,6.07,129.2,129.19
"06/21/17",1.36,0,1.39,1.32,100.8,5.69,101.46,100.89,17.94,1.05,17.94,17.93,114.26,5.18,114.27,114.16,888.57,52.93,888.57,887.91,583.84,7.39,583.71,583.58,406.7,13.12,406.7,406.48,2.04,0.09,2.05,2.04,260.29,12.79,260.39,260.36,71.81,3.78,71.85,71.84,186.58,11.82,186.55,186.44,282.99,17.13,283.07,283.04,26.02,0.3,26.03,26.02,38.63,1.51,38.63,38.62,46.39,1.85,46.4,46.39,90.33,4.16,90.35,90.34,18.12,1.83,18.13,18.12,203.89,9.71,203.89,203.88,67.1,4.58,67.15,67.1,3,0,7.75,7.74,120.85,6.54,120.9,120.85,128.54,6.07,128.57,128.56
"06/22/17",1.35,0,1.36,1.32,102.33,5.69,102.31,101.73,17.76,1.05,17.81,17.76,112.88,5.18,112.88,112.82,872.8,52.93,872.8,872.15,582,7.39,582.26,582,405.82,13.12,405.82,405.6,2.05,0.09,2.05,2.05,256.89,12.79,257,256.91,72.06,3.78,72.07,72.06,185.54,11.82,185.54,185.53,280.43,17.13,280.46,280.43,26.29,0.3,26.3,26.29,38.66,1.51,38.69,38.66,46.35,1.85,46.35,46.34,90.29,4.16,90.3,90.29,17.95,1.83,17.96,17.95,201.26,9.71,201.37,201.36,66.9,4.58,66.9,66.85,3,0,7.71,7.69,125.9,6.54,125.95,125.9,128.37,6.07,128.4,128.39
"06/23/17",1.32,0,1.35,1.32,102.23,5.69,102.32,101.74,17.69,1.05,17.69,17.67,113.39,5.18,113.58,113.34,853.76,52.93,855.07,853.76,577.67,7.39,578.59,577.67,410.84,13.12,410.84,410.62,2.05,0.09,2.05,2.05,257.4,12.79,257.4,257.36,72.09,3.78,72.08,72.06,186.84,11.82,186.87,186.84,280.64,17.13,280.7,280.69,26.32,0.3,26.32,26.31,38.89,1.51,38.89,38.86,46.34,1.85,46.36,46.35,90.86,4.16,90.86,90.85,18.2,1.83,18.21,18.2,201.32,9.71,201.32,201.28,66.6,4.58,66.7,66.65,3,0,7.64,7.62,124.55,6.54,124.6,124.55,128.29,6.07,128.26,128.25
"06/26/17",1.32,0,1.35,1.32,102.43,5.69,103.12,102.54,17.53,1.05,17.54,17.52,113.57,5.18,113.71,113.53,855.73,52.93,856.39,855.73,584.1,7.39,583.97,583.45,405.82,13.12,406.05,405.82,2.05,0.09,2.05,2.05,255.95,12.79,256.01,255.96,71.88,3.78,71.89,71.88,186.29,11.82,186.29,186.28,279.7,17.13,279.61,279.59,25.96,0.3,25.96,25.95,39.25,1.51,39.26,39.25,46.53,1.85,46.56,46.55,90.3,4.16,90.32,90.31,17.86,1.83,17.86,17.86,200.2,9.71,200.24,200.21,65.7,4.58,65.7,65.65,2.06,0,7.54,7.51,123.5,6.54,123.55,123.5,128.55,6.07,128.55,128.53
"06/27/17",1.32,0,1.35,1.31,102.12,5.69,100.06,99.48,17.26,1.05,17.26,17.25,111.63,5.18,111.64,111.63,845.22,52.93,845.22,844.56,580.03,7.39,580.03,578.32,400.81,13.12,400.81,400.6,2.05,0.09,2.05,2.05,255.33,12.79,255.4,255.36,71.72,3.78,71.75,71.73,186.97,11.82,186.98,186.93,277.83,17.13,278.02,278.01,25.44,0.3,25.46,25.44,38.86,1.51,38.86,38.85,46.65,1.85,46.66,46.65,89.89,4.16,89.89,89.84,17.63,1.83,17.63,17.62,198.84,9.71,198.86,198.84,65.3,4.58,65.35,65.3,2.99,0,7.42,7.38,122.65,6.54,122.65,122.6,127.28,6.07,127.29,127.28
"06/28/17",1.35,0,1.35,1.32,99.37,5.69,100.38,99.81,17.3,1.05,17.3,17.25,110.35,5.18,110.62,110.35,841.28,52.93,841.28,840.62,577.53,7.39,577.53,577.27,396.88,13.12,396.88,396.67,2.05,0.09,2.05,2.05,257.56,12.79,257.56,257.51,72.25,3.78,72.23,72.22,187.36,11.82,187.37,187.34,280.02,17.13,280.09,280.02,25.86,0.3,25.86,25.85,39.83,1.51,39.83,39.82,48.09,1.85,48.09,48.08,90.71,4.16,90.72,90.71,18.08,1.83,18.09,18.08,200.83,9.71,200.76,200.72,66.1,4.58,66.15,66.1,2.99,0,7.29,7.24,125.9,6.54,125.9,125.8,128.27,6.07,128.21,128.2
"06/29/17",1.35,0,1.36,1.34,95.77,5.69,95.83,95.25,16.77,1.05,16.79,16.77,108.76,5.18,108.76,108.55,834.71,52.93,834.71,834.06,565.19,7.39,565.84,565.19,390.99,13.12,390.99,390.78,2.04,0.09,2.04,2.04,254.88,12.79,254.97,254.93,71.75,3.78,71.75,71.73,185.22,11.82,185.26,185.24,276.73,17.13,276.8,276.74,25.17,0.3,25.17,25.16,39.41,1.51,39.43,39.42,47.72,1.85,47.72,47.7,90.7,4.16,90.7,90.66,18.39,1.83,18.39,18.39,196.96,9.71,196.96,196.9,67.4,4.58,67.45,67.4,3,0,7.15,7.1,124.55,6.54,124.65,124.55,126.69,6.07,126.7,126.69
"06/30/17",1.34,0,1.36,1.34,96.49,5.69,96.56,95.98,16.78,1.05,16.78,16.76,108.68,5.18,108.69,108.68,832.09,52.93,832.74,832.09,569.79,7.39,570.05,569,388.59,13.12,389.04,388.59,2.03,0.09,2.03,2.03,256.71,12.79,256.71,256.7,72.02,3.78,72.04,72.03,186.16,11.82,186.15,186.14,277.61,17.13,277.73,277.66,25.14,0.3,25.13,25.12,41.38,1.51,41.41,41.38,48.75,1.85,48.75,48.73,91.78,4.16,91.76,91.75,17.02,1.83,17.02,17.01,198.1,9.71,198.14,198.11,62.15,4.58,62.15,62.1,3,0,7.02,6.97,125.05,6.54,125.05,125,127.62,6.07,127.63,127.62
"07/03/17",1.34,0,1.34,1.33,97.01,5.69,97.47,96.87,16.94,1.05,16.94,16.93,108.67,5.18,108.78,108.55,829.46,52.93,829.46,828.8,575.04,7.39,575.04,574.25,390.99,13.12,390.99,390.56,2.03,0.09,2.03,2.03,257.7,12.79,257.86,257.75,72,3.78,72.01,72,191.54,11.82,191.61,191.54,278.92,17.13,278.99,278.92,25.16,0.3,25.16,25.15,41.29,1.51,41.31,41.28,48.6,1.85,48.61,48.59,91.97,4.16,91.97,91.91,16.67,1.73,16.67,16.67,199.66,9.71,199.77,199.73,62.9,4.58,62.9,62.85,3,0,6.9,6.86,126.1,6.54,126.1,126,128.02,6.07,128.05,128.02
"07/04/17",1.33,0,1.36,1.33,95.83,5.69,96.24,95.72,16.89,1.05,16.93,16.89,107.79,5.18,107.85,107.79,818.95,52.93,818.95,818.29,571.36,7.39,571.23,570.97,391.22,13.12,391.22,390.99,2.02,0.09,2.02,2.02,257.7,12.79,259.73,259.63,72,3.78,72.36,72.35,191.54,11.82,194.04,193.99,278.92,17.13,281.52,281.46,25.16,0.3,25.27,25.26,41.29,1.51,40.84,40.82,48.6,1.85,48.76,48.75,91.97,4.16,92.68,92.63,16.67,1.73,16.34,16.34,199.66,9.71,201.12,201.08,62.9,4.58,62.56,62.51,3,0,6.8,6.76,126.1,6.54,126.62,126.53,128.02,6.07,128.23,128.21
"07/05/17",1.33,0,1.33,1.32,96.17,5.69,96.52,95.9,17.22,1.05,17.23,17.22,109.53,5.18,109.59,109.53,815.01,52.93,815.67,815.01,576.35,7.39,576.35,575.3,396.24,13.12,396.45,396.24,2,0.09,2,2,260.28,12.79,260.32,260.29,72.42,3.78,72.46,72.45,192.97,11.82,192.98,192.97,282.4,17.13,282.47,282.41,25.27,0.3,25.27,25.26,40.37,1.51,40.37,40.36,48.97,1.85,49.01,49,92.77,4.16,92.78,92.77,16.36,1.73,16.37,16.36,200.74,9.71,200.81,200.79,61.65,4.58,61.65,61.6,2.5,0,6.71,6.69,125.65,6.54,125.65,125.6,128.11,6.07,128.14,128.13
"07/06/17",1.34,0,1.36,1.32,97.59,5.69,97.77,97.16,17.39,1.05,17.39,17.38,108.77,5.18,108.94,108.77,805.16,52.93,805.16,804.5,578.59,7.39,578.59,578.19,399.28,13.12,399.51,399.28,2.01,0.09,2.01,2.01,258.94,12.79,259,258.96,71.89,3.78,71.91,71.9,191.38,11.82,191.36,191.33,280.96,17.13,281.08,281,25.05,0.3,25.06,25.05,39.85,1.51,39.86,39.85,48.8,1.85,48.81,48.8,91.81,4.16,91.82,91.81,16.97,1.73,16.98,16.97,199.02,9.71,199.04,199.03,62.5,4.58,62.55,62.5,2.8,0,6.66,6.64,124.21,6.54,124.35,124.3,127.7,6.07,127.76,127.74
"07/07/17",1.33,0,1.36,1.33,97.41,5.69,97.45,97.33,17.18,1.05,17.21,17.18,108.69,5.18,108.69,108.44,811.07,52.93,811.07,810.41,579.64,7.39,580.03,579.5,408.44,13.12,408.44,408.23,2,0.09,2,2,261.99,12.79,261.95,261.93,72.32,3.78,72.3,72.29,192.9,11.82,192.91,192.9,285.2,17.13,285.19,285.15,25.09,0.3,25.09,25.08,40.4,1.51,40.4,40.39,49.08,1.85,49.1,49.08,93.07,4.16,93.1,93.08,16.51,1.73,16.51,16.51,201.26,9.71,201.32,201.29,61.7,4.58,61.65,61.6,2.85,0,6.63,6.62,127.4,6.54,127.5,127.45,128.42,6.07,128.42,128.42
"07/10/17",1.33,0,1.36,1.32,98.14,5.69,99.77,99.14,17.36,1.05,17.36,17.34,109.39,5.18,109.39,109.28,827.49,52.93,828.15,827.49,577.67,7.39,578.06,577.8,406.48,13.12,406.7,406.48,2,0.09,2.01,2,261.78,12.79,261.82,261.8,72.58,3.78,72.59,72.58,193.28,11.82,193.28,193.25,285.57,17.13,285.76,285.67,25.02,0.3,25.03,25.02,40.03,1.51,40.06,40.03,49.2,1.85,49.21,49.2,92.72,4.16,92.73,92.72,16.71,1.73,16.71,16.7,201.07,9.71,201.11,201.1,60.85,4.58,60.9,60.85,3.49,0,6.65,6.64,126.6,6.54,126.6,126.55,128.96,6.07,129,128.99
"07/11/17",1.33,0,1.35,1.32,98.41,5.69,98.93,98.35,17.42,1.05,17.44,17.42,109.55,5.18,109.57,109.24,822.89,52.93,823.55,822.89,583.18,7.39,583.31,583.18,402.33,13.12,402.55,402.33,2.02,0.09,2.02,2.02,262.64,12.79,262.8,262.76,72.87,3.78,72.88,72.88,194.88,11.82,194.99,194.98,286.42,17.13,286.6,286.54,25.32,0.3,25.32,25.31,40.23,1.51,40.25,40.23,49.4,1.85,49.41,49.4,92.71,4.16,92.73,92.72,16.59,1.73,16.6,16.59,199.91,9.71,199.92,199.91,60.6,4.58,60.6,60.5,2.95,0,6.7,6.69,127.85,6.54,127.95,127.9,128.51,6.07,128.52,128.5
"07/12/17",1.34,0,1.34,1.32,100.21,5.69,100.29,99.67,17.61,1.05,17.61,17.6,110.88,5.18,110.94,110.86,813.04,52.93,813.04,812.38,582.13,7.39,582.13,581.74,405.39,13.12,405.39,405.17,2.01,0.09,2.01,2.01,263.96,12.79,264.01,263.97,72.97,3.78,73,72.99,199.4,11.82,199.51,199.47,286.36,17.13,286.61,286.5,25.47,0.3,25.46,25.45,40.22,1.51,40.22,40.2,49.95,1.85,49.96,49.95,93.15,4.16,93.16,93.15,16.2,1.73,16.2,16.19,201.11,9.71,201.11,201.09,60.25,4.58,60.25,60.2,2.95,0,6.77,6.75,127.85,6.54,127.9,127.85,129.04,6.07,129.06,129.04
"07/13/17",1.35,0,1.36,1.32,100.56,5.69,101.11,100.48,17.49,1.05,17.49,17.48,110.33,5.18,110.34,110.19,811.73,52.93,812.38,811.73,580.56,7.39,580.56,580.42,403.87,13.12,403.87,403.64,2.01,0.09,2.02,2.01,263.86,12.79,264.06,264.04,72.59,3.78,72.62,72.61,198.39,11.82,198.44,198.42,286.76,17.13,286.86,286.85,25.23,0.3,25.22,25.21,40.02,1.51,40.02,40,50.2,1.85,50.21,50.19,93.12,4.16,93.13,93.09,16.17,1.73,16.17,16.16,200.15,9.71,200.09,200.05,60.05,4.58,60.05,60,2.95,0,6.85,6.82,127.25,6.54,127.25,127.2,129.57,6.07,129.58,129.56
"07/14/17",1.33,0,1.36,1.32,100.56,5.69,101.17,100.53,17.93,1.05,17.97,17.93,110.53,5.18,110.58,110.45,803.85,52.93,803.85,803.19,583.45,7.39,584.5,583.18,398.85,13.12,398.85,398.42,2.02,0.09,2.02,2.02,264.83,12.79,264.82,264.78,72.79,3.78,72.79,72.79,198.15,11.82,198.16,198.15,288.13,17.13,288.2,288.18,25.29,0.3,25.29,25.28,40.12,1.51,40.1,40.09,50.4,1.85,50.41,50.4,93.5,4.16,93.51,93.5,16.38,1.73,16.38,16.37,201.15,9.71,201.18,201.15,60.2,4.58,60.2,60.15,2.95,0,6.91,6.87,128.3,6.54,128.25,128.2,130.05,6.07,130.03,130.02
"07/17/17",1.35,0,1.35,1.32,100.63,5.69,100.04,99.46,17.97,1.05,17.99,17.97,109.85,5.18,109.85,109.83,805.82,52.93,807.13,805.82,582.66,7.39,583.05,582.92,399.51,13.12,399.51,399.06,2.05,0.09,2.05,2.05,264.81,12.79,264.88,264.85,72.61,3.78,72.64,72.63,198.28,11.82,198.29,198.28,288.49,17.13,288.49,288.42,25.82,0.3,25.82,25.81,40.1,1.51,40.1,40.08,50.65,1.85,50.64,50.63,93.48,4.16,93.48,93.47,16.66,1.73,16.67,16.66,200.14,9.71,200.11,200.08,60.25,4.58,60.2,60.15,2.5,0,6.94,6.9,128.55,6.54,128.4,128.3,129.51,6.07,129.54,129.52
"07/18/17",1.34,0,1.35,1.32,99.09,5.69,99.99,99.41,17.71,1.05,17.74,17.7,109.74,5.18,109.9,109.67,805.16,52.93,805.82,805.16,588.04,7.39,587.78,587.52,399.51,13.12,399.51,399.28,2.18,0.09,2.18,2.18,264.24,12.79,264.35,264.31,72.33,3.78,72.33,72.33,197.38,11.82,197.38,197.33,286.79,17.13,286.78,286.68,25.23,0.3,25.24,25.23,40.08,1.51,40.08,40.07,50.49,1.85,50.57,50.55,93.4,4.16,93.4,93.39,16.34,1.73,16.34,16.34,201.42,9.71,201.4,201.39,59.1,4.58,59.1,59.05,2.5,0,6.93,6.88,127.55,6.54,127.55,127.45,129.44,6.07,129.48,129.46
"07/19/17",1.33,0,1.33,1.32,102.3,5.69,102.71,102.3,17.76,1.05,17.76,17.7,109.58,5.18,109.63,109.58,802.53,52.93,803.19,802.53,588.3,7.39,588.3,587.78,402.99,13.12,403.21,402.99,2.23,0.09,2.23,2.23,264.92,12.79,264.82,264.81,72.59,3.78,72.59,72.58,198.49,11.82,198.49,198.45,290.67,17.13,290.54,290.46,25.39,0.3,25.39,25.38,40.24,1.51,40.23,40.22,50.99,1.85,51,50.98,95,4.16,95.01,95,16.32,1.73,16.33,16.32,202.34,9.71,202.27,202.26,59.3,4.58,59.3,59.2,2.7,0,6.85,6.8,128.9,6.54,128.95,128.9,130.36,6.07,130.33,130.32
"07/20/17",1.3,0,1.32,1.3,102.1,5.69,101.8,101.23,17.64,1.05,17.64,17.6,108.68,5.18,108.76,108.63,806.47,52.93,806.47,805.82,588.96,7.39,588.96,587.78,399.72,13.12,400.37,399.72,2.15,0.09,2.15,2.15,264.77,12.79,264.77,264.71,72.22,3.78,72.26,72.25,199.19,11.82,199.19,199.13,289.67,17.1,289.72,289.71,25.38,0.3,25.38,25.37,39.98,1.51,39.98,39.96,51.19,1.85,51.24,51.22,94.87,4.16,94.88,94.87,16.32,1.73,16.33,16.32,202.4,9.71,202.38,202.36,58.95,4.58,58.95,58.9,2.7,0,6.72,6.68,128.45,6.54,128.55,128.45,129.21,6.07,129.27,129.25
"07/21/17",1.28,0,1.29,1.27,99.29,5.69,99.37,98.79,17.37,1.05,17.39,17.37,108.12,5.18,108.12,108.05,796.62,52.93,797.28,796.62,587.91,7.39,588.44,586.99,402.12,13.12,402.33,402.12,2.18,0.09,2.18,2.18,265.3,12.79,265.24,265.2,72.84,3.78,72.82,72.82,201.35,11.82,201.48,201.46,289.12,17.1,289.19,289.13,25.26,0.3,25.25,25.24,39.7,1.51,39.72,39.7,51.59,1.85,51.59,51.57,95.3,4.16,95.31,95.3,15.98,1.73,15.98,15.98,204.55,9.71,204.3,204.29,57.45,4.58,57.45,57.4,2.7,0,6.56,6.52,127.3,6.54,127.25,127.2,130.55,6.07,130.6,130.59
"07/24/17",1.28,0,1.29,1.27,99.38,5.69,99.41,98.84,17.3,1.05,17.33,17.29,107.35,5.18,107.36,107.34,790.05,52.93,790.05,789.4,585.15,7.39,585.15,584.23,403.42,13.12,403.64,403.42,2.22,0.09,2.22,2.22,265.27,12.79,265.52,265.89,72.62,3.78,72.71,72.72,201.66,11.82,201.79,201.66,290.28,17.1,290.73,290.76,25.37,0.3,25.37,25.36,39.12,1.51,39.12,39.11,51.96,1.85,51.82,51.75,95.97,4.16,95.95,95.07,15.73,1.73,15.73,15.72,204.93,9.71,205.25,205.2,57,4.58,57.05,57,2.7,0,6.39,6.36,127.45,6.54,127.5,127.45,131.85,6.07,131.6,131.86
