"BATS.EPS.","ID.GUD.EPS.","X.IMBBY.EPS.","U.VGR.EPS.","U.STZ.EPS.","U.TPB.EPS.","U.RLX.EPS.","U.PM.EPS."
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,1.49,0,4.48
3.02,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
