"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)"
"46",1.1,0.12,1.1,1.09,70.8,3.09,71.06,71,14.88,0.3,14.88,14.86,79.91,2.99,79.96,79.88,663.96,49.12,663.96,663.3,444.35,5.49,443.95,443.69,246.43,24.4,246.64,246.43,0.78,0,0.78,0.78
"47",1.15,0.12,1.16,1.13,70.8,3.09,70.5,70.51,14.88,0.3,14.53,14.51,79.69,2.99,79.79,79.57,656.21,49.12,656.34,656.21,450.26,5.49,450.26,449.21,244.52,24.4,244.74,244.52,0.78,0,0.78,0.78
"48",1.15,0.12,1.16,1.12,70.8,3.09,70.04,69.81,14.88,0.3,14.17,14.14,79.69,2.99,78.88,78.73,656.21,49.12,652.3,651.97,460.5,5.49,460.77,459.72,244.52,24.4,240.64,240.4,0.78,0,0.79,0.79
"49",1.15,0.12,1.16,1.13,70.02,3.09,70.22,69.76,14.27,0.3,14.29,14.27,78.46,2.99,78.46,78.42,648.2,49.12,648.2,647.67,446.58,5.49,446.71,446.58,238.15,24.4,238.15,237.94,0.8,0,0.8,0.79
"50",1.17,0.12,1.17,1.17,70.97,3.09,71.12,70.66,14.83,0.3,14.84,14.83,79.33,2.99,79.34,79.25,648.86,49.12,648.86,648.72,450.92,5.49,450.92,450.13,240.06,24.4,240.27,240.06,0.81,0,0.81,0.81
"51",1.11,0.12,1.12,1.11,69.98,3.09,70.29,69.83,14.48,0.3,14.52,14.48,78.94,2.99,78.99,78.93,673.16,49.12,673.16,672.5,445.53,5.49,445.79,445.53,238.15,24.4,238.57,238.15,0.81,0,0.81,0.81
"52",1.07,0.12,1.09,1.06,66.37,3.09,66.39,65.81,14.47,0.3,14.48,14.47,79.21,2.99,79.21,79.05,663.96,49.12,663.96,663.3,444.87,5.49,445.66,444.87,232.2,24.4,232.2,231.97,0.81,0,0.81,0.81
"53",1.05,0.12,1.09,1.05,68.33,3.09,68.09,67.63,14.28,0.3,14.29,14.28,79.86,2.99,79.87,79.86,682.35,49.12,683.01,682.35,443.3,5.49,443.3,443.03,237.94,24.4,238.15,237.94,0.83,0,0.83,0.83
"54",0.87,0.12,0.87,0.86,67.01,3.09,67.37,66.91,14.36,0.3,14.36,14.35,82.78,2.99,82.88,82.77,691.54,49.12,692.2,691.54,447.37,5.49,447.37,446.19,234.74,24.4,234.95,234.74,0.84,0,0.84,0.84
"55",0.81,0.12,0.82,0.8,68.56,3.09,68.32,67.86,14.52,0.3,14.53,14.52,83.57,2.99,83.6,83.54,684.98,49.12,685.63,684.98,445.27,5.49,445.4,445.27,236.44,24.4,236.65,236.44,0.87,0,0.87,0.87
"56",0.82,0.12,0.83,0.8,68.8,3.09,68.25,67.79,14.63,0.3,14.63,14.62,83.19,2.99,83.21,83.16,688.92,49.12,689.57,688.92,442.25,5.49,442.25,441.33,238.36,24.4,238.36,238.15,0.86,0,0.86,0.86
"57",0.82,0.12,0.83,0.81,65.58,3.09,66.06,65.61,13.98,0.3,13.99,13.98,80.77,2.99,80.78,80.77,681.04,49.12,681.04,680.38,433.45,5.49,433.58,433.45,236.65,24.4,236.87,236.65,0.85,0,0.85,0.85
"58",0.76,0.12,0.77,0.75,62.5,3.09,63.16,62.67,13.31,0.3,13.31,13.3,78.89,2.99,78.89,78.84,674.47,49.12,674.47,673.81,433.31,5.49,433.31,432.92,231.34,24.4,231.34,231.13,0.84,0,0.84,0.84
"59",0.75,0.12,0.77,0.74,63.91,3.09,64.35,63.89,13.07,0.3,13.08,13.07,78.07,2.99,78.12,78.07,668.56,49.12,669.22,668.56,439.36,5.49,439.36,439.23,229,24.4,229.21,229,0.83,0,0.83,0.83
"60",0.77,0.12,0.78,0.77,66.77,3.09,66.79,66.33,13.35,0.3,13.35,13.33,79.73,2.99,79.73,79.67,664.62,49.12,665.27,664.62,440.15,5.49,440.41,440.15,233.89,24.4,234.1,233.89,0.85,0,0.85,0.85
