Name,RHEINMETALL,RHEINMETALL - EARNINGS PER SHR,RHEINMETALL - ASK PRICE,RHEINMETALL - BID PRICE,NORTHROP GRUMMAN,NORTHROP GRUMMAN - EARNINGS PER SHR,NORTHROP GRUMMAN - ASK PRICE,NORTHROP GRUMMAN - BID PRICE,RAYTHEON TECHNOLOGIES,RAYTHEON TECHNOLOGIES - EARNINGS PER SHR,RAYTHEON TECHNOLOGIES - ASK PRICE,RAYTHEON TECHNOLOGIES - BID PRICE,HNTGTN.INGALLS INDS.,HNTGTN.INGALLS INDS. - EARNINGS PER SHR,HNTGTN.INGALLS INDS. - ASK PRICE,HNTGTN.INGALLS INDS. - BID PRICE,LEONARDO,LEONARDO - EARNINGS PER SHR,LEONARDO - ASK PRICE,LEONARDO - BID PRICE,THALES,THALES - EARNINGS PER SHR,THALES - ASK PRICE,THALES - BID PRICE,BAE SYSTEMS,BAE SYSTEMS - EARNINGS PER SHR,BAE SYSTEMS - ASK PRICE,BAE SYSTEMS - BID PRICE,LOCKHEED MARTIN,LOCKHEED MARTIN - EARNINGS PER SHR,LOCKHEED MARTIN - ASK PRICE,LOCKHEED MARTIN - BID PRICE,AXON ENTERPRISE,AXON ENTERPRISE - EARNINGS PER SHR,AXON ENTERPRISE - ASK PRICE,AXON ENTERPRISE - BID PRICE,MANTECH INTL.'A',MANTECH INTL.'A' - EARNINGS PER SHR,MANTECH INTL.'A' - ASK PRICE,MANTECH INTL.'A' - BID PRICE,BWX TECHNOLOGIES,BWX TECHNOLOGIES - EARNINGS PER SHR,BWX TECHNOLOGIES - ASK PRICE,BWX TECHNOLOGIES - BID PRICE,CURTISS WRIGHT,CURTISS WRIGHT - EARNINGS PER SHR,CURTISS WRIGHT - ASK PRICE,CURTISS WRIGHT - BID PRICE,ELBIT SYSTEMS,ELBIT SYSTEMS - EARNINGS PER SHR,ELBIT SYSTEMS - ASK PRICE,ELBIT SYSTEMS - BID PRICE,ROLLS-ROYCE HOLDINGS,ROLLS-ROYCE HOLDINGS - EARNINGS PER SHR,ROLLS-ROYCE HOLDINGS - ASK PRICE,ROLLS-ROYCE HOLDINGS - BID PRICE,SMITH WESSON BRANDS,SMITH WESSON BRANDS - EARNINGS PER SHR,SMITH WESSON BRANDS - ASK PRICE,SMITH WESSON BRANDS - BID PRICE,ASELSAN ELNK.SANVETC.,ASELSAN ELNK.SANVETC. - EARNINGS PER SHR,ASELSAN ELNK.SANVETC. - ASK PRICE,ASELSAN ELNK.SANVETC. - BID PRICE,GENERAL DYNAMICS,GENERAL DYNAMICS - EARNINGS PER SHR,GENERAL DYNAMICS - ASK PRICE,GENERAL DYNAMICS - BID PRICE,STURM RUGER & CO,STURM RUGER & CO - EARNINGS PER SHR,STURM RUGER & CO - ASK PRICE,STURM RUGER & CO - BID PRICE,AMMO,AMMO - EARNINGS PER SHR,AMMO - ASK PRICE,AMMO - BID PRICE,CACI INTERNATIONAL 'A',CACI INTERNATIONAL 'A' - EARNINGS PER SHR,CACI INTERNATIONAL 'A' - ASK PRICE,CACI INTERNATIONAL 'A' - BID PRICE,AUSTAL,AUSTAL - EARNINGS PER SHR,AUSTAL - ASK PRICE,AUSTAL - BID PRICE,HONEYWELL INTL.,HONEYWELL INTL. - EARNINGS PER SHR,HONEYWELL INTL. - ASK PRICE,HONEYWELL INTL. - BID PRICE
02/12/21,86.92,0,86.72,86.32,297.3601,19.03,297.5901,297.4299,72.61,0,72.65,72.61,176.13,14.58,176.13,175.91,6.054,0.86,6.054,6.052,77.9,2.96,77.9,77.88,480,42.6,480.1,480,337.73,24.3,337.73,337.7,195.54,0,195.87,195.5,85.06,3.18,85.23,85.05,59.15,2.86,59.15,59.14,115.51,5.57,115.58,115.51,466,5.09,466.1001,466,92.86,0,92.86,92.84,18.42,0.68,18.42,18.41,17.65,1.91,17.66,17.65,164.83,11,164.83,164.76,68.34,3.76,68.36,68.34,9.32,0,9.31,9.25,236.73,14.7,236.73,236.72,2.5,0.25,2.54,2.49,203.57,6.72,203.63,203.57
02/15/21,87.38,0,87.64,87.26,297.3601,19.03,NA,NA,72.61,0,NA,NA,176.13,17.14,NA,NA,6.208,0.86,6.21,6.208,77.84,2.96,77.86,77.84,485.5,42.6,485.5,485.4,337.73,24.3,NA,NA,195.54,0,NA,NA,85.06,3.18,NA,NA,59.15,2.86,NA,NA,115.51,5.57,NA,NA,467.1001,5.09,467.2,467.1001,96.08,0,96.12,96.08,18.42,0.68,NA,NA,17.84,1.91,17.85,17.84,164.83,11,NA,NA,68.34,3.76,NA,NA,9.32,0,NA,NA,236.73,14.7,NA,NA,2.51,0.25,2.52,2.5,203.57,6.72,NA,NA
02/16/21,85.34,0,86.14,85.34,290.8799,19.03,291.0601,290.8601,72.61,0,72.61,72.6,175.16,17.14,175.16,175.03,6.224,0.86,6.226,6.224,76.94,2.96,76.94,76.92,485.9,42.6,486,485.9,335.03,24.3,335,334.9299,175.93,0,176.11,175.92,83.26,3.18,83.43,83.23,59.43,2.86,59.43,59.42,115.24,5.57,115.24,115.23,464,5.09,464,463,99.94,0,99.96,99.94,18.78,0.68,18.78,18.77,17.48,1.91,17.49,17.48,163.32,11,163.33,163.32,69.22,3.76,69.22,69.1,8.96,0,8.94,8.9,237.3,14.7,237.3,237.29,2.58,0.25,2.59,2.55,203.44,6.72,203.37,203.27
02/17/21,84.48,0,84.86,84.52,297.1799,19.03,297.1899,297.1799,73.06,0,73.06,73.05,178.42,17.14,178.42,178.41,6.152,0.86,6.154,6.15,77.64,2.96,77.64,77.5,481.9,42.6,482,481.9,337,24.3,336.98,336.8799,178.38,0,178.26,178.25,81.55,3.18,81.6,81.29,59.69,2.86,59.69,59.68,115.04,5.57,115.05,115.04,461,5.09,461,460.8999,102.3,0,102.3,102.2,18.24,0.68,18.26,18.25,17.44,1.91,17.45,17.44,164.49,11,164.53,164.49,68.49,3.76,68.67,68.49,7.86,0,7.9,7.85,242.44,14.7,242.46,242.44,2.5,0.25,2.54,2.5,201.9,6.72,201.93,201.87
02/18/21,82.7,0,83.52,82.88,297.8601,19.03,297.8601,297.8401,72.88,0,72.89,72.88,178.43,17.14,178.43,178.3,5.988,0.86,5.99,5.988,76.18,2.96,76.18,76.1,472,42.6,472,471.9,337.9199,24.3,338,337.9299,173.75,0,173.89,173.67,82.81,3.18,82.93,82.81,58.91,2.86,58.97,58.95,113.52,5.57,113.54,113.53,453.8,5.09,453.8,453.7,93.34,0,93.38,93.34,18.56,0.68,18.56,18.55,17.35,1.91,17.36,17.35,163.23,11,163.23,163.21,69.11,3.76,69.17,69.11,7.66,0,7.63,7.61,237.16,14.7,237.34,237.16,2.51,0.25,2.52,2.49,203.52,6.72,203.62,203.52
02/19/21,83.86,0,84.48,84,297.24,19.03,297.25,297.24,74.26,0,74.28,74.27,182.13,17.14,182.2,182.19,6.59,0.86,6.592,6.59,76.74,2.96,76.74,76.66,465.3,42.6,465.9,465.3,335.4199,24.3,335.54,335.53,177,0,177.21,176.99,82.46,3.18,82.42,82.29,58.59,2.86,58.59,58.56,117.19,5.57,117.21,117.19,455.8999,5.09,455.8999,454.7,98.66,0,98.68,98.66,18.43,0.68,18.43,18.42,17.73,1.91,17.74,17.73,164.78,11,164.78,164.75,70.64,5.09,70.68,70.64,7.7,0,7.65,7.63,235.1,14.7,235.25,235.02,2.5,0.25,2.51,2.5,203.56,6.72,203.61,203.56
02/22/21,83,0,83.72,83.3,297.9399,19.03,298.02,298.01,73,0,73,72.99,190.64,17.14,190.65,190.64,6.586,0.86,6.588,6.586,78.1,2.96,78.1,78.08,471.8,42.6,471.9,471.8,340.47,24.3,340.75,340.47,170,0,170,169.91,80.56,2.97,80.76,80.56,57.73,2.86,57.6,57.59,118.12,5.57,117.93,117.92,452,5.09,452,451.5,105.45,0,105.45,105.4,18.28,0.68,18.28,18.27,17.52,1.91,17.53,17.52,166.42,11,166.42,166.34,71.31,5.09,71.31,71.3,8.2,0,8.21,8.11,234.28,14.7,234.45,234.28,2.47,0.25,2.49,2.47,203.62,6.72,203.64,203.62
02/23/21,83,0,83.7,82.9,298.6799,19.03,298.6899,298.6799,73.99,0,74.01,74,186.42,17.14,186.42,186.41,6.662,0.86,6.664,6.662,79.46,2.96,79.54,79.46,485.5,42.6,485.5,485.2,346.23,24.3,346.23,346.1399,169.14,0,169.34,168.76,80.54,2.97,80.54,80.42,57.45,2.86,57.5,57.49,117.56,5.57,117.55,117.37,444.8999,5.09,444.8999,444.3999,106.65,0,106.65,106.6,17.77,0.68,17.77,17.76,17.08,1.95,17.09,17.08,167.35,11,167.35,167.32,69.38,5.09,69.44,69.35,7.48,0,7.52,7.48,232.28,14.7,232.37,232.28,2.2,0.25,2.21,2.18,205.04,6.72,205.04,204.97
02/24/21,85.4,0,85.6,84.76,301.73,19.03,301.8601,301.6499,77.67,0,77.67,77.64,188.1,17.14,188.1,188.09,6.93,0.86,6.932,6.93,80.34,2.96,80.36,80.34,496,42.6,496.1,496,346.53,24.3,346.5701,346.53,161.45,0,161.51,161.11,80.35,2.97,80.35,80.24,60.29,2.91,60.31,60.3,119.72,5.57,119.71,119.57,442,5.09,442.5,442,111.9,0,111.9,111.85,17.98,0.68,17.98,17.97,17.4,1.95,17.41,17.4,168.06,11,168.02,168.01,70.26,5.09,70.35,70.26,7.46,0,7.46,7.43,228.5,14.7,229.03,228.5,2.21,0.25,2.22,2.2,211.03,6.72,211.03,210.92
02/25/21,84.7,0,84.32,83.7,301.8899,19.03,301.95,301.8899,73.32,0,73.32,73.31,183.23,17.14,183.24,183.23,6.796,0.86,6.798,6.796,79.24,2.96,79.24,79.22,501.6,46.8,501.6,501.4,341.6899,24.3,341.8201,341.5701,159.9,0,159.54,159.06,79.62,2.97,79.64,79.62,59.34,2.91,59.35,59.34,112.38,5.57,112.59,112.38,430.7,5.09,431,430.7,112.05,0,112.1,112.05,17.3,0.68,17.32,17.31,17.09,1.95,17.1,17.09,166.2,11,166.23,166.2,68.78,5.09,68.89,68.74,7.36,0,7.36,7.3,225.2,14.7,225.49,225.08,2.3,0.28,2.32,2.26,204.79,6.72,204.82,204.69
02/26/21,83.32,0,83.26,83.06,291.6599,19.03,291.6599,291.6499,71.99,0,72.01,71.99,175.91,17.14,176.05,175.82,6.63,0.86,6.63,6.628,78.44,2.96,78.64,78.42,483.9,46.8,484,483.9,330.25,24.3,330.3,330,165.49,0,165.87,165.43,78.16,2.97,78.3,78.16,58.01,2.91,58.01,58,110.49,4.79,110.49,110.48,429,5.09,429,428.8999,107.7,0,107.7,107.65,17.21,0.68,17.21,17.2,16.98,1.95,16.99,16.98,163.47,11,163.37,163.36,68.2,5.09,68.4,68.13,6.99,0,6.99,6.96,221.34,14.7,221.43,221.42,2.37,0.28,2.39,2.37,202.35,6.72,202.35,202.28
03/01/21,84.44,0,85.3,84.7,293.46,19.03,293.49,293.48,74.36,0,74.4,74.36,178.41,17.14,178.51,178.41,6.89,0.86,6.892,6.888,81.08,2.96,81.1,81.08,489.7,46.8,489.7,489.6,333.47,24.3,333.52,333.47,169.65,0,169.89,169.36,80.2,2.97,80.2,80.19,60,2.91,60,59.99,114.81,4.79,114.84,114.63,439.8999,5.09,439.8999,439.8,111.4,0,111.45,111.4,17.9,0.68,17.9,17.88,17.22,1.95,17.23,17.22,167.06,11,167.06,166.98,69.8,5.09,69.81,69.8,7.17,0,7.19,7.12,226.92,14.7,227.17,226.93,2.57,0.28,2.57,2.55,206.22,6.72,206.31,206.3
03/02/21,85,0,85.08,84.28,298.78,19.03,298.95,298.78,74.67,0,74.68,74.67,179.63,17.14,179.8,179.63,6.812,0.86,6.812,6.81,80.28,2.96,80.28,80.24,495.5,46.8,495.6,495.5,338.5901,24.3,338.5901,338.4399,166.15,0,166.14,166.04,76.93,2.97,77.09,76.93,60.45,2.91,60.48,60.47,113.44,4.79,113.44,113.21,437.2,5.09,437.3,437.2,110.15,0,110.15,110.1,17.33,0.68,17.34,17.33,17.19,1.95,17.2,17.19,167.68,11,167.7,167.68,68.06,5.09,68.11,68.03,7.74,0,7.75,7.74,218.72,14.7,219.15,218.72,2.55,0.28,2.57,2.55,206.58,6.72,206.7,206.58
03/03/21,86.1,0,86.38,85.74,299.1001,19.03,299.3301,299.1001,75.07,0,75.07,75.05,182.23,17.14,182.23,182.1,6.85,0.86,6.858,6.85,81.62,2.96,81.7,81.62,499.1,46.8,499.1,499,340.9099,24.3,342.26,341.8701,155.01,0,155.2,154.82,77.27,2.97,77.29,77.27,59.9,2.91,59.9,59.87,114.6,4.79,114.63,114.61,440.2,5.09,440.2,440.1001,114.45,0,114.45,114.4,16.31,0.68,16.31,16.3,17.21,1.95,17.22,17.21,167.95,11,167.98,167.95,65.96,5.09,65.98,65.96,7.16,0,7.14,7.09,216.37,14.7,216.52,216.37,2.47,0.28,2.47,2.46,207.01,6.72,207.07,207.01
03/04/21,85.6,0,85.88,85.08,297.51,19.03,297.6101,297.51,74.42,0,74.42,74.41,179.37,17.14,179.46,179.45,6.888,0.86,6.888,6.886,82.98,2.27,82.98,82.96,497.4,46.8,497.7,497.4,338.25,24.3,338.5,338.26,144.9,0,144.73,144.72,77.62,2.97,77.8,77.62,58.04,2.91,58.05,58.04,114.04,4.79,114.11,114.04,436.6001,5.09,436.6001,436.5,114.35,0,114.4,114.35,15.79,0.68,15.8,15.79,17.18,1.95,17.19,17.18,165.77,11,165.89,165.88,65.16,5.09,65.16,65.15,6.67,0,6.64,6.63,216.48,14.7,216.48,216.47,2.46,0.28,2.47,2.45,202.94,6.72,203.07,202.95
03/05/21,85.12,0,84.7,83.92,300.9099,19.03,300.9199,300.9099,75.18,0,75.18,75.16,185.61,17.14,185.61,185.6,6.748,0.86,6.748,6.746,79.48,2.27,79.48,79.42,483.5,46.8,483.5,483.4,340.4299,24.3,340.4299,340.3201,143.04,0,143.04,142.83,79.23,2.97,79.26,79.16,59.75,2.91,59.75,59.74,118.33,4.79,118.53,118.31,439.3,5.09,439.7,439.6001,108.55,0,108.6,108.55,16.07,0.68,16.07,16.02,17.22,1.95,17.23,17.22,170.52,11,170.53,170.52,66.21,5.09,66.36,66.35,6.91,0,6.91,6.86,218.27,14.7,218.53,218.27,2.45,0.28,2.47,2.43,206.58,6.72,206.58,206.57
03/08/21,87,0,87.14,86.44,305.6201,19.03,305.6201,305.3999,75.61,0,75.62,75.61,191.1,17.14,191.1,190.85,6.9,0.86,6.91,6.9,81.18,2.27,81.2,81.18,496.4,46.8,496.4,496.1,341.45,24.3,341.45,341.3301,138.59,0,138.61,138.51,79.74,2.97,79.74,79.7,59.99,2.91,60,59.95,119.26,4.79,119.36,119.25,434.5,5.09,435.2,434.5,116.5,0,116.5,116.4,16.69,1.7,16.68,16.67,17.03,1.95,17.03,17.02,172.69,11,172.73,172.7,67.59,5.09,67.59,67.49,6.04,0,6.04,6.03,218.56,14.7,218.56,218.55,2.41,0.28,2.41,2.38,207.7,6.72,207.76,207.61
03/09/21,87.96,0,88.04,87.86,298.3,19.03,298.3,298.1101,74.83,0,74.83,74.81,185.09,17.14,185.09,184.99,7.09,0.42,7.092,7.09,81.34,2.27,81.34,81.28,498.9,46.8,499,498.9,337.5,24.3,337.78,337.53,144.4,0,144.41,143.8,80.13,2.97,80.25,80.14,59.63,2.91,59.63,59.62,116.85,4.79,116.85,116.84,445.2,5.09,447,445.2,113.85,0,113.9,113.85,18.09,1.7,18.11,18.09,17.17,1.95,17.18,17.17,168.74,11,168.74,168.66,70.15,5.09,70.21,70.14,6.35,0,6.48,6.44,223.21,14.7,223.21,223.17,2.39,0.28,2.44,2.39,207.61,6.72,207.61,207.6
03/10/21,88.26,0,88.38,87.58,300,19.03,300,299.9399,76.56,0,76.56,76.53,187.86,17.14,187.92,187.86,7.484,0.42,7.484,7.482,82.8,2.27,82.9,82.8,500.4,46.8,500.6,500.4,340.8401,24.3,340.8401,340.8301,141.1,0,141.25,141.1,81.32,2.97,81.32,81.11,61.03,2.91,61.04,61.03,119.89,4.79,120.01,120,447,5.09,448.3999,447,113,0,113.05,113,18.77,1.7,18.79,18.77,17.21,1.95,17.22,17.21,172.42,11,172.47,172.42,71.19,5.09,71.19,71.18,6.32,0,6.32,6.29,224.99,14.7,225.1,224.99,2.49,0.28,2.52,2.48,212.91,6.72,212.82,212.78
