Name,IMPERIAL BRANDS ADR 1:1,IMPERIAL BRANDS ADR 1:1 - EARNINGS PER SHR,#ERROR,#ERROR,VECTOR GROUP,VECTOR GROUP - EARNINGS PER SHR,VECTOR GROUP - ASK PRICE,VECTOR GROUP - BID PRICE,BRITISH AMERICAN TOBACCO,BRITISH AMERICAN TOBACCO - EARNINGS PER SHR,BRITISH AMERICAN TOBACCO - ASK PRICE,BRITISH AMERICAN TOBACCO - BID PRICE,TAAT GLOBAL (FRA) ALTERNATIVES,#ERROR,TAAT GLOBAL (FRA) ALTERNATIVES - ASK PRICE,TAAT GLOBAL (FRA) ALTERNATIVES - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,TURNING POINT BRANDS,TURNING POINT BRANDS - EARNINGS PER SHR,TURNING POINT BRANDS - ASK PRICE,TURNING POINT BRANDS - BID PRICE,RLX TECH.AMER.DEPY. SHS. 1:1,RLX TECH.AMER.DEPY. SHS. 1:1 - EARNINGS PER SHR,RLX TECH.AMER.DEPY. SHS. 1:1 - ASK PRICE,RLX TECH.AMER.DEPY. SHS. 1:1 - BID PRICE,PHILIP MORRIS INTL.,PHILIP MORRIS INTL. - EARNINGS PER SHR,PHILIP MORRIS INTL. - ASK PRICE,PHILIP MORRIS INTL. - BID PRICE,GUDANG GARAM,GUDANG GARAM - EARNINGS PER SHR,GUDANG GARAM - ASK PRICE,GUDANG GARAM - BID PRICE
Code,@IMBBY(P),@IMBBY(EPS),,,U:VGR(P),U:VGR(EPS),U:VGR(PA),U:VGR(PB),BATS(P),BATS(EPS),BATS(PA),BATS(PB),D:2TP(P),,D:2TP(PA),D:2TP(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),U:TPB(P),U:TPB(EPS),U:TPB(PA),U:TPB(PB),U:RLX(P),U:RLX(EPS),U:RLX(PA),U:RLX(PB),U:PM(P),U:PM(EPS),U:PM(PA),U:PM(PB),ID:GUD(P),ID:GUD(EPS),ID:GUD(PA),ID:GUD(PB)
CURRENCY,U$,U$,,,U$,U$,U$,U$,£,£,£,£,E,,E,E,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,RI,RI,RI,RI
11/11/20,17.72,2.12,,,11.26,0.45,11.26,11.25,2780,296.5,2780,2775,1.8,,1.8,1.77,194.53,5.49,194.52,194.29,39.58,0.4,39.58,39.48,NA,NA,NA,NA,75.11,4.93,75.12,75.11,42225,4825.48,42250,42225
11/12/20,17.56,2.12,,,10.82,0.45,10.82,10.81,2803.5,296.5,2803.5,2801.5,1.79,,1.79,1.74,194.9,5.49,194.91,194.9,37.9,0.4,37.91,37.9,NA,NA,NA,NA,74.5,4.93,74.51,74.5,41475,4825.48,41525,41475
11/13/20,17.94,2.12,,,11.25,0.45,11.25,11.24,2790,296.5,2790,2789.5,1.77,,1.78,1.76,202.01,5.49,202.1,202,38.79,0.4,38.79,38.78,NA,NA,NA,NA,75.89,4.93,75.88,75.86,41650,4825.48,41675,41650
11/16/20,18.55,2.12,,,11.71,0.45,11.71,11.7,2842,296.5,2842,2841.5,1.95,,1.94,1.89,206.1,5.49,206.33,205.99,39.4,0.4,39.4,39.35,NA,NA,NA,NA,78.63,4.93,78.68,78.63,41650,4825.48,41750,41650
11/17/20,19.89,2.12,,,11.9,0.45,11.91,11.9,2850,296.5,2850,2849.5,2.05,,2.07,2.02,205.05,5.49,205.17,205.14,40.52,0.4,40.56,40.52,NA,NA,NA,NA,78.38,4.93,78.39,78.38,42425,4825.48,42450,42425
11/18/20,20.35,2.09,,,11.38,0.45,11.4,11.39,2875,296.5,2875,2873,2.32,,2.31,2.25,203.75,5.49,203.75,203.54,38.54,0.4,38.59,38.54,NA,NA,NA,NA,77.47,4.93,77.47,77.46,42875,4825.48,42900,42875
11/19/20,20.05,2.09,,,11.29,0.45,11.3,11.29,2780,296.5,2780,2779.5,2.44,,2.44,2.4,204.21,5.49,204.21,204.14,38.75,0.4,38.78,38.7,NA,NA,NA,NA,77.51,4.93,77.51,77.49,44925,4825.48,44925,44900
11/20/20,19.8775,2.09,,,11.05,0.45,11.06,11.05,2780,296.5,2780,2779.5,2.5,,2.5,2.44,200.57,5.49,200.59,200.51,38.44,0.4,38.44,38.43,NA,NA,NA,NA,76.73,4.93,76.75,76.74,44125,4825.48,44125,44100
11/23/20,19.8,2.09,,,11.21,0.45,11.21,11.2,2710.5,296.5,2711,2710.5,2.57,,2.59,2.53,201.58,5.49,201.58,201.46,38.44,0.4,38.44,38.43,NA,NA,NA,NA,76.63,4.93,76.65,76.63,44125,4825.48,44150,44125
11/24/20,20.219,2.09,,,11.64,0.45,11.65,11.64,2685.5,296.5,2686,2685.5,2.4,,2.4,2.34,207.8,5.49,207.83,207.8,38.99,0.4,39,38.99,NA,NA,NA,NA,78.02,4.93,78.02,78.01,44700,4825.48,44725,44700
11/25/20,19.934,2.09,,,11.37,0.45,11.38,11.37,2665.5,296.5,2666.5,2665.5,2.15,,2.15,2.1,204.7,5.49,204.85,204.7,38.41,0.4,38.47,38.38,NA,NA,NA,NA,76.89,4.93,76.9,76.89,43725,4825.48,43750,43725
11/26/20,19.934,2.09,,,11.37,0.45,NA,NA,2673,296.5,2673.5,2673,2.18,,2.18,2.13,204.7,5.49,NA,NA,38.41,0.4,NA,NA,NA,NA,NA,NA,76.89,4.93,NA,NA,44400,4825.48,44475,44400
11/27/20,18.96,2.09,,,11.27,0.45,11.3,11.27,2677,296.5,2677,2676.5,2.07,,2.08,2.03,204.81,5.49,204.81,204.52,39.12,0.4,39.21,39.13,NA,NA,NA,NA,75.9,4.93,75.99,75.94,44325,4825.48,44350,44325
11/30/20,18.39,2.09,,,11.24,0.45,11.24,11.23,2639.5,296.5,2639.5,2639,2.1,,2.09,2.04,205.84,5.49,205.9,205.79,39.02,0.4,39.08,39.03,NA,NA,NA,NA,75.75,4.93,75.86,75.85,42250,4825.48,42400,42250
12/01/20,18.78,2.09,,,11.34,0.45,11.34,11.33,2660.5,296.5,2660.5,2660,1.95,,2,1.95,205.74,5.49,205.77,205.73,40.36,0.4,40.41,40.36,NA,NA,NA,NA,77.03,4.93,77.02,77,43000,4825.48,43050,43000
12/02/20,19.17,2.09,,,11.27,0.45,11.27,11.26,2690,296.5,2690,2688,1.85,,1.85,1.8,204.99,5.49,205,204.99,39.82,0.4,39.82,39.81,NA,NA,NA,NA,78.07,4.93,78.11,78.1,44525,4825.48,44525,44500
12/03/20,19.6,2.09,,,11.36,0.45,11.36,11.35,2714.5,296.5,2714.5,2710,2.04,,2.11,2.04,209.78,5.49,210,209.95,39.94,0.4,39.95,39.94,NA,NA,NA,NA,78.5,4.93,78.55,78.52,44250,4825.48,44275,44250
